horizon,IC_mean,IC_median,IC_std,RankIC_mean,OOS_R2_mean,direction_acc_mean,negative_IC_ratio,n_folds,n_samples_mean
1,-0.028394883046715585,-0.00792497224243218,0.07978605197137223,-0.024382088559023383,-0.012604061950193694,0.49547694503510203,0.6470588235294118,17,182.7058823529412
2,-0.04096310051861912,-0.024134487485734456,0.08301084269852706,-0.042502200091464826,-0.01147841237429914,0.4912411433935717,0.7058823529411765,17,182.7058823529412
3,-0.06898013032174832,-0.04922283612822052,0.11036679465129846,-0.06615903680726007,-0.029843479961493523,0.5009184038591343,0.7058823529411765,17,182.7058823529412
5,-0.045230342346352245,-0.032042713546689056,0.13117687599770456,-0.04201962270544136,-0.027707693481543214,0.49633177551242075,0.7647058823529411,17,182.7058823529412
7,-0.01450490358241131,-0.04004132567965426,0.18011896168428038,-0.02419693072842669,-0.02187412633712522,0.5175399270662601,0.5882352941176471,17,182.7058823529412
10,-0.05607568765725508,-0.12283478004702372,0.17881146331761935,-0.06115677718431282,-0.04321024430133011,0.5162395922707234,0.5882352941176471,17,182.7058823529412
14,-0.0644358262684843,-0.04556157236312869,0.15083142922377601,-0.04729825612644207,-0.027580772956050346,0.5319677140695451,0.5294117647058824,17,182.7058823529412
21,0.015670703657918814,0.0005742182227733671,0.22400386348546825,-0.002083084991793927,-0.047377196299840045,0.49852489294715324,0.47058823529411764,17,182.7058823529412
30,0.10955859421449825,0.15491664666894944,0.2220080229938988,0.09437929714144894,-0.0781725640926204,0.5201709771174873,0.17647058823529413,17,182.7058823529412
45,0.04947714459907561,0.03545039722033254,0.3008325556070356,0.023520266480257852,-0.21971193289628735,0.5321617327613174,0.47058823529411764,17,182.7058823529412
60,0.11419797495632898,0.13402316645653173,0.3587125005183382,0.09654359157294559,-0.0672017249061425,0.5767457810855898,0.25,16,182.625
90,-0.019750292394740205,-0.030001709318039617,0.3781497574601141,-0.003681605859393618,-0.06789583300273205,0.6029553419637637,0.5625,16,182.625
120,0.128446192041367,0.2003026941938881,0.34682748647895845,0.14857954595855202,-0.08874976688125819,0.6080317879337492,0.375,16,182.625
180,0.17647460900611894,0.16306008515945614,0.34931332553200284,0.19318675655786655,-0.28062960880604754,0.6880649235423733,0.3333333333333333,15,182.6
