model,task,variant,best_return,best_return_strategy,best_sharpe,best_sharpe_strategy
xgboost,classification,all,12.858658246978344,quantile_ls_0.20,0.9105877676492681,quantile_long_only_0.20
rf,classification,all,6.371618826208346,long_only_band_0.005,0.4645200134438246,long_only_band_0.005
lgbm,classification,all,2.0200274231576185,long_only_sign,0.20506990124309696,long_only_sign
xgboost,classification,onchain,27.79714096989992,sign_band_0.0025,0.6848025561535491,long_only_sign
tcn,classification,onchain,24.505071500802654,full_exposure_sign,0.6928005420116012,long_only_sign
rf,classification,onchain,9.156963692569457,full_exposure_sign,0.5338942747237079,long_only_sign
lstm,classification,onchain,8.327991851333085,long_only_sign,0.40562876496345135,long_only_sign
gru,classification,onchain,3.797344686715994,quantile_ls_0.05,0.7227043230407207,quantile_long_only_0.05
lgbm,classification,onchain,3.7929146350416243,long_only_sign,0.3165745356834344,long_only_sign
svm,classification,onchain,3.6867564591381505,long_only_sign,0.3714357574555475,quantile_long_only_0.05
rf,classification,ta,20.531790447437707,sign_band_0.01,0.667920653688656,long_only_band_0.01
lgbm,classification,ta,7.872952204065502,long_only_band_0.005,0.47848309281348433,long_only_band_0.005
xgboost,classification,ta,3.5715697892973877,long_only_band_0.0025,0.4338913641741259,quantile_long_only_0.20
lgbm,classification,univariate,3.9346724047656023,long_only_band_0.01,0.3175212870686534,long_only_band_0.01
rf,classification,univariate,1.1179157432889473,long_only_band_0.005,0.17577966339607803,long_only_band_0.005
xgboost,classification,univariate,0.49330368593050444,long_only_band_0.01,0.09294021229314621,long_only_band_0.01
lgbm,regression,all,27.51472947089409,full_exposure_sign,0.6401058709811047,full_exposure_sign
xgboost,regression,all,14.665997452892041,quantile_ls_0.10,0.8412050632336017,quantile_ls_0.10
rf,regression,all,4.701969269701207,quantile_ls_0.20,0.589333882340501,quantile_long_only_0.20
xgboost,regression,onchain,10.090804848735534,full_exposure_sign,0.7441666491946539,quantile_long_only_0.05
gru,regression,onchain,5.4059736730988055,quantile_long_only_0.20,0.7802168596389926,long_only_band_0.005
tcn,regression,onchain,4.745601913246808,quantile_ls_0.10,0.524342630594066,quantile_ls_0.10
lstm,regression,onchain,3.5847599109693222,long_only_band_0.0025,0.5933531806485953,long_only_band_0.0025
lgbm,regression,onchain,2.3250267176069324,sign_band_0.005,0.39247524770316305,sign_band_0.005
rf,regression,onchain,1.2002724081601,long_only_sign,0.33517685213238213,quantile_long_only_0.05
svm,regression,onchain,-0.10667923487439557,quantile_long_only_0.05,-0.1092202213812062,quantile_long_only_0.05
rf,regression,ta,12.099169676464522,sign_band_0.0025,0.784412463547004,long_only_band_0.0025
xgboost,regression,ta,7.909500601706489,long_only_sign,0.644431457707903,long_only_sign
lgbm,regression,ta,5.3080701337047875,quantile_long_only_0.20,0.7552116642401444,quantile_long_only_0.20
lgbm,regression,univariate,1.329841311096211,long_only_sign,0.17375273743398986,long_only_sign
xgboost,regression,univariate,-0.1736289459920798,long_only_band_0.0025,-0.056432793476937436,long_only_sign
rf,regression,univariate,-0.38114055963233584,quantile_long_only_0.05,-0.13837188191766137,long_only_sign
