prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,cnn_lstm,classification,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,2.627405625684289,0.11807259101154921,0.67726423985383,-0.2682670770544467,0.0854295206454675,4214
oos,cnn_lstm,classification,onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,1.4305105470958983,0.07995980461560048,0.29415859164963953,-0.47666937040361534,0.16421452301850972,4214
oos,cnn_lstm,classification,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,1.266394318268429,0.07343994467768944,0.5918168470179519,-0.19606713122806618,0.051257712387280496,4214
oos,cnn_lstm,classification,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,0.8497179616993986,0.05471621383234937,0.22195502546257237,-0.5285447533212219,0.11627906976744186,4214
oos,cnn_lstm,classification,onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.6827923273962968,0.04611124196695093,0.21283808196646184,-0.3829298908543678,0.09539629805410536,4214
oos,cnn_lstm,classification,onchain,long_only_band_0.005,2018-03-17,5.0,0.42882373719533734,0.42882373719533734,0.0,-0.13321637785161644,-0.012306785133571085,-0.037127387923140694,-0.6611930801125271,0.17560512577123874,4214
oos,cnn_lstm,classification,onchain,long_only_band_0.01,2018-03-17,5.0,0.37795831861533025,0.37795831861533025,0.0,-0.20543793358794105,-0.019721522206697872,-0.0624938664016985,-0.6829567141874541,0.16896060749881348,4214
oos,cnn_lstm,classification,onchain,long_only_sign,2018-03-17,5.0,0.4841045566937478,0.4841045566937478,0.0,-0.2987744909084791,-0.0302745253447948,-0.08650388476959207,-0.6696090005093854,0.18319886093972473,4214
oos,cnn_lstm,classification,onchain,long_only_band_0.0025,2018-03-17,5.0,0.45602260685270224,0.45602260685270224,0.0,-0.3061761917664425,-0.031165414365464494,-0.09148942812167554,-0.6611930801125271,0.1779781680113906,4214
oos,cnn_lstm,classification,onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,-0.46511107747297964,-0.052752933581793116,-0.14154885964902703,-0.76687735161504,0.24157570004746085,4214
oos,cnn_lstm,classification,onchain,sign_band_0.01,2018-03-17,5.0,0.7827622748145532,0.37795831861533025,0.4048039561992229,-0.9053060702792487,-0.1846706509612962,-0.38874279156254776,-0.9213414276507016,0.33792121499762695,4214
oos,cnn_lstm,classification,onchain,sign_band_0.005,2018-03-17,5.0,0.8848463440480395,0.42882373719533734,0.45602260685270224,-0.9466716306487059,-0.22422788069594557,-0.4501751946015423,-0.9523467434540965,0.35500711912672045,4214
oos,cnn_lstm,classification,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.4841045566937478,0.5158954433062523,-0.9473385321308434,-0.22507302138917196,-0.4282863526399331,-0.9581732826115478,0.36639772187944947,4214
oos,cnn_lstm,classification,onchain,sign_band_0.0025,2018-03-17,5.0,0.94012716354645,0.45602260685270224,0.4841045566937478,-0.9625987459499368,-0.24770348772031214,-0.4851666131514322,-0.966068430172488,0.3578547698149027,4214
