prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,cnn_lstm,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5014129282938891,0.49858707170611094,14.686469657478659,0.26926312167620603,0.5127868296053215,-0.6896410488423821,0.3863312766967252,4214
oos,cnn_lstm,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5074324324324324,0.4925675675675676,0.4414880635446288,0.09995458968308579,0.17703987923274309,-0.5815452961531097,0.3747323340471092,1401
oos,cnn_lstm,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.54375,0.45625,10.63960449764372,0.8636892050219793,1.3848527936554667,-0.5567757482639232,0.48922863099374564,1439
oos,cnn_lstm,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.4009216589861751,0.5990783410138248,-0.06418680562565693,-0.03348271074803677,-0.0716797191457894,-0.5062584046499081,0.5583684950773559,711
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.290356764394207,0.290356764394207,0.0,7.403030379958633,0.20246094974635742,0.6480203773225173,-0.43625717407622006,0.1537731371618415,4214
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.33513513513513515,0.33513513513513515,0.0,0.1555817931383512,0.03839204055324896,0.11186478851249307,-0.43625717407622006,0.16773733047822983,1401
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.31527777777777777,0.31527777777777777,0.0,6.45164718270698,0.6643527095000927,1.777404061815889,-0.3333666921383114,0.2050034746351633,1439
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.18433179723502305,0.18433179723502305,0.0,-0.006607358306683353,-0.0033974343050290345,-0.013542334311755581,-0.23552702741959283,0.1659634317862166,711
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.1363475803602967,0.1363475803602967,0.0,1.452562717006944,0.08080501895080028,0.34447988845531474,-0.41215611139597574,0.09492168960607499,4214
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.19256756756756757,0.19256756756756757,0.0,-0.24789356297678666,-0.07153129296604255,-0.2684811925158593,-0.41215611139597574,0.12919343326195576,1401
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.146875,0.146875,0.0,3.10690342223716,0.4309252540460353,1.5540753509599015,-0.3571623425851209,0.12300208478109799,1439
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.04915514592933948,0.04915514592933948,0.0,-0.19171539729624343,-0.10350664083859995,-0.5979624522900366,-0.3219132788748305,0.05907172995780591,711
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.030907806428823736,0.030907806428823736,0.0,0.7276277637703277,0.04849652214625877,0.38710972059965787,-0.23967462317955382,0.029900332225913623,4214
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.06283783783783783,0.06283783783783783,0.0,0.4509225877028653,0.10182566032868334,0.6621686462367153,-0.23967462317955382,0.047109207708779445,1401
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.025347222222222222,0.025347222222222222,0.0,0.23692701175091258,0.05541417669722093,0.48036804479968126,-0.20446612546348178,0.03613620569840167,1439
oos,cnn_lstm,regression,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0069124423963133645,0.0069124423963133645,0.0,-0.03736453148557406,-0.019359205413275293,-0.13857203236262608,-0.14408452994226306,0.011251758087201125,711
oos,cnn_lstm,regression,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5014129282938891,0.5014129282938891,0.0,11.102464938528309,0.2410641917489016,0.6270729315442917,-0.5293007336914481,0.1931656383483626,4214
oos,cnn_lstm,regression,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5074324324324324,0.5074324324324324,0.0,0.2623607429510064,0.06257880625853596,0.1561661328554303,-0.4385087771228622,0.18772305496074232,1401
oos,cnn_lstm,regression,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.54375,0.54375,0.0,8.294651872429823,0.760316467432588,1.6035469566375924,-0.5293007336914475,0.24461431549687282,1439
oos,cnn_lstm,regression,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.4009216589861751,0.4009216589861751,0.0,0.03193727975262406,0.016269938209765744,0.050545737784446675,-0.324141581840927,0.27848101265822783,711
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.33528194737421035,0.025360620834616876,0.17252104526641268,-0.3524924425204611,0.045562411010915994,4214
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.09121621621621621,0.09121621621621621,0.0,0.46340747630558243,0.10428790386313813,0.5885768872160714,-0.2636285254808179,0.06780870806566738,1401
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.04652777777777778,0.04652777777777778,0.0,-0.021556988961794255,-0.005512442064413148,-0.036381095443407854,-0.33055496840032805,0.061153578874218205,1439
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.01152073732718894,0.01152073732718894,0.0,-0.05021064126653563,-0.02609921082054467,-0.18641262359119667,-0.15776778318735973,0.011251758087201125,711
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,2.8814451291807774,0.12464713530661253,0.6396938753146241,-0.31829949944598407,0.07878500237304224,4214
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.14864864864864866,0.14864864864864866,0.0,0.4111600814051293,0.09387787634960687,0.4137897985572981,-0.31829949944598407,0.11063526052819414,1401
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.10520833333333333,0.10520833333333333,0.0,1.9189097817097402,0.31220734296948893,1.4116958497962235,-0.20475227995235268,0.103544127866574,1439
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.03379416282642089,0.03379416282642089,0.0,-0.0407441066212364,-0.02112811218094357,-0.13540365515765962,-0.19621337980973047,0.03938115330520394,711
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,5.567011500490805,0.1770560976412976,0.6573832220198987,-0.3893162881152934,0.12956810631229235,4214
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.25472972972972974,0.25472972972972974,0.0,-0.06477603584001168,-0.01729605221438435,-0.05905463798173223,-0.3893162881152934,0.14489650249821556,1401
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.21736111111111112,0.21736111111111112,0.0,5.814808108585606,0.6270621883377465,1.9468316224719229,-0.3523782327162653,0.17998610145934676,1439
oos,cnn_lstm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.09984639016897082,0.09984639016897082,0.0,0.04890582777906527,0.02481463585232979,0.11082776283597345,-0.25787874640157504,0.11814345991561181,711
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,2.491175820260859,0.1143716661912626,0.48498853126371205,-0.32066773771435486,0.09254864736592311,4214
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.175,0.09121621621621621,0.08378378378378379,1.1031515457517407,0.21371546558881782,0.6419094262893744,-0.32066773771435486,0.12491077801570306,1401
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.09097222222222222,0.04652777777777778,0.044444444444444446,0.5423237703072845,0.11617019512966431,0.5681827344522461,-0.24626185575721124,0.12230715774843641,1439
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.03609831029185868,0.01152073732718894,0.02457757296466974,0.09672533390523808,0.04853927900115895,0.2981852036337495,-0.14184826003075746,0.052039381153305204,711
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,5.542777358143004,0.1766792303836815,0.6139578599932045,-0.3452103129050309,0.16943521594684385,4214
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3054054054054054,0.14864864864864866,0.15675675675675677,0.407731518507469,0.09318484973484731,0.2477917352556213,-0.33255328520039773,0.20485367594575304,1401
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.18715277777777778,0.10520833333333333,0.08194444444444444,3.248311850821932,0.4432649377854383,1.5276434860736323,-0.34521031290503085,0.21612230715774844,1439
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1098310291858679,0.03379416282642089,0.07603686635944701,0.11424590230940934,0.05710531959626275,0.2804016147900403,-0.16645059690021569,0.1617440225035162,711
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,11.249835663826005,0.24236593929013828,0.6628427877764681,-0.6387323046290351,0.2686283815851922,4214
oos,cnn_lstm,regression,boruta_onchain,quantile_ls_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5094594594594595,0.25472972972972974,0.25472972972972974,0.05872027551764347,0.01497701916799743,0.03430622498632371,-0.4305154646599304,0.2690935046395432,1401
