prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,cnn_lstm,regression,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.6488873189685623,0.35111268103143767,0.4439070721540661,0.03233026017604956,0.06145859478340871,-0.6592586734558901,0.3678215472235406,4214
oos,cnn_lstm,regression,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.7189189189189189,0.2810810810810811,0.012099923095765241,0.0031383662428650094,0.005557207474844663,-0.6592586734558901,0.2919343326195575,1401
oos,cnn_lstm,regression,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.6545138888888888,0.3454861111111111,1.2265843131734382,0.22511850960020308,0.3599326348491244,-0.5105543576640666,0.5225851285615011,1439
oos,cnn_lstm,regression,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.5568356374807988,0.4431643625192012,-0.3346620053951401,-0.18874619075294785,-0.402230370391496,-0.6123182173849617,0.5414908579465542,711
oos,cnn_lstm,regression,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.49982338396326387,0.49982338396326387,0.0,0.5692470497432252,0.039800465726752776,0.10795456312730974,-0.7268849776008939,0.19743711438063596,4214
oos,cnn_lstm,regression,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6047297297297297,0.6047297297297297,0.0,-0.24362886633217884,-0.07016254854744575,-0.1738472689965775,-0.7268849776008939,0.1763026409707352,1401
oos,cnn_lstm,regression,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5107638888888889,0.5107638888888889,0.0,0.9774199229647389,0.18878961851317966,0.4292701196572393,-0.5134359175815552,0.27936066712995133,1439
oos,cnn_lstm,regression,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.3563748079877112,0.3563748079877112,0.0,0.06912809813393639,0.03491040080287422,0.11430247934454657,-0.3505044869047832,0.2545710267229255,711
oos,cnn_lstm,regression,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.35040621688449314,0.35040621688449314,0.0,1.0702190327222167,0.06505511091961491,0.20774552347258715,-0.7414050291603603,0.1817750355956336,4214
oos,cnn_lstm,regression,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.48445945945945945,0.48445945945945945,0.0,-0.29986967005884013,-0.08869293691540114,-0.24013299569143334,-0.7414050291603603,0.1812990720913633,1401
oos,cnn_lstm,regression,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.3625,0.3625,0.0,1.3724528309623545,0.24499685713683017,0.6651357460210411,-0.3174644741361459,0.2640722724113968,1439
oos,cnn_lstm,regression,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.17127496159754224,0.17127496159754224,0.0,0.24697275808725627,0.1199774336116266,0.6170165243404923,-0.15404027575031243,0.18424753867791843,711
oos,cnn_lstm,regression,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.16125044154009183,0.16125044154009183,0.0,-0.5790806308616723,-0.07221019245488569,-0.35041126851062326,-0.6166876915362914,0.09587090650213574,4214
oos,cnn_lstm,regression,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.29121621621621624,0.29121621621621624,0.0,-0.5099758719676721,-0.16958934024529482,-0.6317090183878392,-0.6166876915362914,0.13418986438258387,1401
oos,cnn_lstm,regression,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.15555555555555556,0.15555555555555556,0.0,-0.020525031276572125,-0.0052465000722417,-0.02288834930615239,-0.2810189284256371,0.1348158443363447,1439
oos,cnn_lstm,regression,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.026113671274961597,0.026113671274961597,0.0,-0.12302319983398968,-0.06517075575609355,-1.1264798162396337,-0.13267677424081578,0.030942334739803096,711
oos,cnn_lstm,regression,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.6488873189685623,0.6488873189685623,0.0,2.6699800276208427,0.11920317804476421,0.28692011826327474,-0.6584229577994333,0.1841480778357855,4214
oos,cnn_lstm,regression,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.7189189189189189,0.7189189189189189,0.0,0.05776611623996164,0.014738625150416462,0.03408000309395911,-0.6584229577994333,0.14632405424696646,1401
oos,cnn_lstm,regression,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.6545138888888888,0.6545138888888888,0.0,3.0652156494221217,0.4272270151230615,0.8508856746367662,-0.583855726544664,0.26129256428075054,1439
oos,cnn_lstm,regression,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5568356374807988,0.5568356374807988,0.0,-0.13031348697280443,-0.06916829997769824,-0.1821908871294466,-0.489281738475545,0.2714486638537271,711
oos,cnn_lstm,regression,onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,-0.5328712738079175,-0.06380157839688871,-0.694493104146195,-0.539669111981979,0.03322259136212625,4214
