prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,gru,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.4871070293182621,0.5128929706817379,-0.3855684867076312,-0.04130952989078729,-0.07850719896741705,-0.7696929894695794,0.14475557664926436,4214
oos,gru,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.8689189189189189,0.13108108108108107,0.3280959087581079,0.07672486688051028,0.13578242192979492,-0.6716664292494328,0.08779443254817987,1401
oos,gru,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.4822916666666667,0.5177083333333333,-0.1291509194221675,-0.03446812855746073,-0.05509295432717687,-0.7316389982183952,0.2738012508686588,1439
oos,gru,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.06374807987711213,0.9362519201228878,-0.4494482154935381,-0.26390177278188587,-0.5626769273489751,-0.5938711689513655,0.1308016877637131,711
oos,gru,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.46132108795478627,0.46132108795478627,0.0,1.60671341685453,0.08652657623943605,0.24623283473140975,-0.6716664292494331,0.06691979117228286,4214
oos,gru,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8621621621621621,0.8621621621621621,0.0,0.27182257921551845,0.06464803172067479,0.1354968908790824,-0.6716664292494331,0.044967880085653104,1401
oos,gru,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.4552083333333333,0.4552083333333333,0.0,1.5583402264152615,0.2690477295923963,0.7511010835220149,-0.4319112519205306,0.14107018763029883,1439
oos,gru,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.019201228878648235,0.019201228878648235,0.0,-0.18445780370400833,-0.09938326408867881,-0.6474639807545618,-0.2157072786255405,0.02250351617440225,711
oos,gru,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4420699399505475,0.4420699399505475,0.0,2.1681167374357533,0.10503851599028602,0.30614861342869654,-0.6716664292494331,0.06549596582819174,4214
oos,gru,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8547297297297297,0.8547297297297297,0.0,0.17489595869245322,0.042885957888775694,0.09003040437284024,-0.6716664292494331,0.04354032833690221,1401
oos,gru,classification,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.42604166666666665,0.42604166666666665,0.0,1.535773251941683,0.2661989445995221,0.769086611408304,-0.5072237467986616,0.14662960389159138,1439
oos,gru,classification,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.008448540706605223,0.008448540706605223,0.0,0.0825035497053801,0.04153697159285841,0.46129521636072224,-0.05939862065699529,0.005625879043600563,711
