prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,gru,classification,onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,3.797344686715994,0.14547497171631885,0.5706640548440386,-0.4449534743770066,0.045087802562885616,4214
oos,gru,classification,onchain,long_only_band_0.005,2018-03-17,5.0,0.4420699399505475,0.4420699399505475,0.0,2.1681167374357533,0.10503851599028602,0.30614861342869654,-0.6716664292494331,0.06549596582819174,4214
oos,gru,classification,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,2.0642964704441984,0.10185398639641052,0.7227043230407207,-0.187740555698953,0.018984337921214997,4214
oos,gru,classification,onchain,long_only_band_0.0025,2018-03-17,5.0,0.46132108795478627,0.46132108795478627,0.0,1.60671341685453,0.08652657623943605,0.24623283473140975,-0.6716664292494331,0.06691979117228286,4214
oos,gru,classification,onchain,long_only_band_0.01,2018-03-17,5.0,0.4012716354645002,0.4012716354645002,0.0,1.400417051838497,0.0787950100611301,0.23776742240625612,-0.671666429249433,0.0664451827242525,4214
oos,gru,classification,onchain,long_only_sign,2018-03-17,5.0,0.4871070293182621,0.4871070293182621,0.0,1.3964320236472312,0.07863976726683397,0.21931537373749188,-0.6716664292494331,0.07214048410061699,4214
oos,gru,classification,onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,1.1052315401762294,0.06660337818364814,0.21150110004872727,-0.5574135387133579,0.061224489795918366,4214
oos,gru,classification,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,0.9280817581000775,0.05851358834664788,0.32550365408267445,-0.5574135387133579,0.028476506881822496,4214
oos,gru,classification,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,0.21551900738108598,0.017048649968560037,0.06507405682162312,-0.6242932776893545,0.03132415757000474,4214
oos,gru,classification,onchain,sign_band_0.005,2018-03-17,5.0,0.8853761921582479,0.4420699399505475,0.4433062522077005,-0.35933976351151453,-0.037832102173891546,-0.07499684239839283,-0.7630631851861073,0.140484100616991,4214
oos,gru,classification,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.4871070293182621,0.5128929706817379,-0.3855684867076312,-0.04130952989078729,-0.07850719896741705,-0.7696929894695794,0.14475557664926436,4214
oos,gru,classification,onchain,sign_band_0.0025,2018-03-17,5.0,0.9362416107382551,0.46132108795478627,0.47492052278346875,-0.39555472677786996,-0.04266925302972302,-0.08258784317088741,-0.7829151124209317,0.13953488372093023,4214
oos,gru,classification,onchain,sign_band_0.01,2018-03-17,5.0,0.7956552454962911,0.4012716354645002,0.3943836100317909,-0.6389602997458177,-0.08446034040354067,-0.17247232101495893,-0.8373200670052078,0.136687233032748,4214
oos,gru,classification,onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,-0.7561748917502972,-0.11506543375234624,-0.2853302707942898,-0.8935671966802885,0.09539629805410536,4214
