prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,gru,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5475097138820205,0.45249028611797953,4.00730816176002,0.1497328945854075,0.2849470004003603,-0.6927066580319918,0.3640246796392976,4214
oos,gru,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5033783783783784,0.4966216216216216,0.491236404646624,0.10972087475066838,0.19431800971883126,-0.5516103393708326,0.3461812990720914,1401
oos,gru,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5565972222222222,0.44340277777777776,5.394065351886566,0.6009731120081216,0.9626627616452348,-0.6417628034400088,0.4947880472550382,1439
oos,gru,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.5775729646697388,0.42242703533026116,-0.4743532588659418,-0.28118844291522127,-0.6010176617804495,-0.6503303426275411,0.4711673699015471,711
oos,gru,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.3617096432356058,0.3617096432356058,0.0,4.6845393714376415,0.16243510716090914,0.5133740013593853,-0.49770503498684304,0.17560512577123874,4214
oos,gru,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3655405405405405,0.3655405405405405,0.0,0.2948424313540152,0.06963516492902966,0.23438268864145975,-0.49770503498684304,0.16488222698072805,1401
oos,gru,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.38298611111111114,0.38298611111111114,0.0,5.634289919944553,0.616020327183102,1.520702268505684,-0.4225646541579311,0.2689367616400278,1439
oos,gru,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.3102918586789555,0.3102918586789555,0.0,-0.3263692720136637,-0.18357102345204934,-0.6243916522332392,-0.45978936310101215,0.17158931082981715,711
oos,gru,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20770045920169553,0.20770045920169553,0.0,1.3214896685591873,0.0756754788713172,0.30176491766723895,-0.5058821288476497,0.12102515424774561,4214
oos,gru,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.23445945945945945,0.23445945945945945,0.0,0.2457406856814741,0.05891620121535035,0.23668429819440964,-0.5058821288476497,0.11277658815132048,1401
