prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,gru,regression,boruta_onchain,sign_band_0.0025,2018-03-17,5.0,0.6464146944542565,0.3617096432356058,0.28470505121865064,10.409541073740893,0.23474246481806937,0.5345379851271045,-0.5916914186572166,0.3331751305173232,4214
oos,gru,regression,boruta_onchain,long_only_sign,2018-03-17,5.0,0.5475097138820205,0.5475097138820205,0.0,5.834334622332334,0.1811310438499909,0.4869674347957757,-0.5245249602625249,0.18224964404366398,4214
oos,gru,regression,boruta_onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,5.766890129641629,0.18011687111983865,0.4897661345586131,-0.5989469162466596,0.24347413383958236,4214
oos,gru,regression,boruta_onchain,sign_band_0.005,2018-03-17,5.0,0.3700105969622042,0.20770045920169553,0.16231013776050865,4.778750555189372,0.16409129353516705,0.4616421870757254,-0.5694423032869856,0.2292358803986711,4214
oos,gru,regression,boruta_onchain,long_only_band_0.0025,2018-03-17,5.0,0.3617096432356058,0.3617096432356058,0.0,4.6845393714376415,0.16243510716090914,0.5133740013593853,-0.49770503498684304,0.17560512577123874,4214
oos,gru,regression,boruta_onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.5475097138820205,0.45249028611797953,4.00730816176002,0.1497328945854075,0.2849470004003603,-0.6927066580319918,0.3640246796392976,4214
oos,gru,regression,boruta_onchain,sign_band_0.01,2018-03-17,5.0,0.08247968915577535,0.04662663369833981,0.035853055457435536,2.01877482038087,0.10042649303101636,0.4273535300913539,-0.3249999930199829,0.07071665875652587,4214
oos,gru,regression,boruta_onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,1.5718963201513962,0.08526183491383965,0.3417488434115469,-0.49295448067388786,0.12007593735168486,4214
oos,gru,regression,boruta_onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,1.4593737895737386,0.08106467048020605,0.27241674047303077,-0.41013596832750615,0.14238253440911247,4214
oos,gru,regression,boruta_onchain,long_only_band_0.005,2018-03-17,5.0,0.20770045920169553,0.20770045920169553,0.0,1.3214896685591873,0.0756754788713172,0.30176491766723895,-0.5058821288476497,0.12102515424774561,4214
oos,gru,regression,boruta_onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,1.1551248218178727,0.06876952510289125,0.2839669964913897,-0.327778067925524,0.08400569530137636,4214
oos,gru,regression,boruta_onchain,long_only_band_0.01,2018-03-17,5.0,0.04662663369833981,0.04662663369833981,0.0,0.1150380741055308,0.009476112034436657,0.06465278902732954,-0.3873412011713529,0.037968675842429994,4214
oos,gru,regression,boruta_onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.04719030874554542,0.0040019110281850345,0.027005578949674244,-0.4134797173142428,0.04081632653061224,4214
oos,gru,regression,boruta_onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,0.03836941354267642,0.0032665571326719878,0.016766575948372,-0.4112353193818573,0.07071665875652587,4214
