prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,classification,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.7608618862592723,0.23913811374072766,0.034840642577977476,0.002970782296043417,0.0056508954356899515,-0.9242782022755145,0.40389178927384906,4214
oos,lgbm,classification,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.8993243243243243,0.10067567567567567,0.7187449637209056,0.1515404854573401,0.26821679904773765,-0.6855011177927881,0.17201998572448252,1401
oos,lgbm,classification,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.7496527777777777,0.2503472222222222,0.3386575749737415,0.07678627622025957,0.12285257691718746,-0.8430055904450295,0.6296038915913829,1439
oos,lgbm,classification,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.6282642089093702,0.3717357910906298,-0.5334224242982396,-0.32385744616084866,-0.6929633305011909,-0.6099639916163968,0.7777777777777778,711
oos,lgbm,classification,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7479689155775344,0.7479689155775344,0.0,1.0558415531650587,0.06441239618945005,0.1417184607805008,-0.7651233398241941,0.2083531086853346,4214
oos,lgbm,classification,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8932432432432432,0.8932432432432432,0.0,0.2526910910216129,0.06045224953142769,0.12359864731085815,-0.6576403567005888,0.09493219129193434,1401
oos,lgbm,classification,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7385416666666667,0.7385416666666667,0.0,1.6740701294683418,0.28336940382666187,0.5135105714240382,-0.6951086732231249,0.32175121612230717,1439
oos,lgbm,classification,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6036866359447005,0.6036866359447005,0.0,-0.37493096486358735,-0.21433520718447996,-0.5796537819834849,-0.4903023683149041,0.3952180028129395,711
oos,lgbm,classification,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7366654892264217,0.7366654892264217,0.0,1.7993549144829055,0.0932573133879957,0.20714900548909898,-0.7377897892217705,0.21357380161366873,4214
oos,lgbm,classification,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8905405405405405,0.8905405405405405,0.0,0.31136753761877234,0.07317496476118168,0.14970913842492847,-0.6576403567005888,0.09778729478943611,1401
oos,lgbm,classification,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7284722222222222,0.7284722222222222,0.0,2.1036735992948907,0.33279561371091027,0.6123566825928093,-0.6687744471146118,0.330090340514246,1439
oos,lgbm,classification,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5798771121351767,0.5798771121351767,0.0,-0.29949277339680014,-0.16700806529405343,-0.4583948076208152,-0.46944865242105976,0.40365682137834036,711
oos,lgbm,classification,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7149417167078771,0.7149417167078771,0.0,2.3402297095279683,0.1101136246403891,0.24753651374424657,-0.707346323911913,0.2273374466065496,4214
oos,lgbm,classification,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8763513513513513,0.8763513513513513,0.0,0.33369322679758806,0.07790528099612404,0.1601726571791426,-0.6603473681666809,0.11206281227694503,1401
oos,lgbm,classification,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7041666666666667,0.7041666666666667,0.0,2.949987462955531,0.4168553988904977,0.7808910771157118,-0.6207296408247421,0.35510771369006255,1439
oos,lgbm,classification,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5552995391705069,0.5552995391705069,0.0,-0.3545499312749788,-0.2012868906722154,-0.5588480819408684,-0.47015281070982584,0.4078762306610408,711
oos,lgbm,classification,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7608618862592723,0.7608618862592723,0.0,2.106925342102064,0.10317331154337173,0.22466423645399647,-0.7192496572889675,0.20218319886093972,4214
oos,lgbm,classification,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8993243243243243,0.8993243243243243,0.0,0.3784266924403714,0.08720984644291518,0.17575170260833797,-0.6786582177927125,0.08636688079942897,1401
oos,lgbm,classification,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7496527777777777,0.7496527777777777,0.0,2.1520911394606923,0.3380389714531944,0.6085659914962133,-0.7153677646591827,0.31480194579569143,1439
oos,lgbm,classification,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6282642089093702,0.6282642089093702,0.0,-0.27171141358255313,-0.1502093950946678,-0.4008829279596744,-0.4895967072072781,0.38959212376933894,711
oos,lgbm,classification,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.41809983633563075,0.03071890823276968,0.2505749727225028,-0.18300681532113863,0.06264831514000949,4214
