prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,classification,boruta_onchain,long_only_band_0.01,2018-03-17,5.0,0.7149417167078771,0.7149417167078771,0.0,2.3402297095279683,0.1101136246403891,0.24753651374424657,-0.707346323911913,0.2273374466065496,4214
oos,lgbm,classification,boruta_onchain,long_only_sign,2018-03-17,5.0,0.7608618862592723,0.7608618862592723,0.0,2.106925342102064,0.10317331154337173,0.22466423645399647,-0.7192496572889675,0.20218319886093972,4214
oos,lgbm,classification,boruta_onchain,long_only_band_0.005,2018-03-17,5.0,0.7366654892264217,0.7366654892264217,0.0,1.7993549144829055,0.0932573133879957,0.20714900548909898,-0.7377897892217705,0.21357380161366873,4214
oos,lgbm,classification,boruta_onchain,long_only_band_0.0025,2018-03-17,5.0,0.7479689155775344,0.7479689155775344,0.0,1.0558415531650587,0.06441239618945005,0.1417184607805008,-0.7651233398241941,0.2083531086853346,4214
oos,lgbm,classification,boruta_onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.41809983633563075,0.03071890823276968,0.2505749727225028,-0.18300681532113863,0.06264831514000949,4214
oos,lgbm,classification,boruta_onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,0.3071453694009856,0.02347093718485138,0.14279269776344722,-0.4921737555228897,0.1115329852871381,4214
oos,lgbm,classification,boruta_onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,0.2695681567242514,0.02088841206137304,0.08955344770301503,-0.6596013862221207,0.19553868058851448,4214
oos,lgbm,classification,boruta_onchain,sign_band_0.01,2018-03-17,5.0,0.9159307665135994,0.7149417167078771,0.20098904980572235,0.18857513219541566,0.01507588526492265,0.029812547241488276,-0.9160603599503606,0.41006169909824397,4214
oos,lgbm,classification,boruta_onchain,sign_band_0.005,2018-03-17,5.0,0.9563758389261745,0.7366654892264217,0.21971034969975273,0.08510036526012632,0.007099228281983505,0.013782366827947925,-0.9277523949602967,0.4072140484100617,4214
oos,lgbm,classification,boruta_onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.7608618862592723,0.23913811374072766,0.034840642577977476,0.002970782296043417,0.0056508954356899515,-0.9242782022755145,0.40389178927384906,4214
oos,lgbm,classification,boruta_onchain,sign_band_0.0025,2018-03-17,5.0,0.9786294595549276,0.7479689155775344,0.23066054397739313,-0.31800235075938976,-0.03260702169846785,-0.06261020475215806,-0.9396976942463803,0.40389178927384906,4214
oos,lgbm,classification,boruta_onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,-0.3187451875185682,-0.03269833370816955,-0.20527109269287105,-0.6608687122131102,0.12434741338395823,4214
oos,lgbm,classification,boruta_onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,-0.3609566903892767,-0.03804268012752299,-0.1479900057613581,-0.8570693056779803,0.22021831988609397,4214
oos,lgbm,classification,boruta_onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,-0.5620960454945592,-0.0690257755833068,-0.2061712500793928,-0.918351298836857,0.37731371618414805,4214
