prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,classification,boruta_ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.8096079123984458,0.1903920876015542,12.859198106212558,0.2557200688807555,0.4866451267558433,-0.7633950053732598,0.31751305173232086,4214
oos,lgbm,classification,boruta_ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.8702702702702703,0.12972972972972974,6.6204487828930505,0.6973867182688709,1.2364638162628336,-0.6716664292494331,0.14489650249821556,1401
oos,lgbm,classification,boruta_ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.8059027777777777,0.19409722222222223,0.9915314982411261,0.19093576983562288,0.30546996270769694,-0.7633950053732584,0.5086865879082696,1439
oos,lgbm,classification,boruta_ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.7488479262672811,0.2511520737327189,-0.11703816061864214,-0.06190100153342548,-0.1323464378429465,-0.5076251325256405,0.5611814345991561,711
oos,lgbm,classification,boruta_ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.7983044860473331,0.7983044860473331,0.0,8.853281430963897,0.21915814269245293,0.4732320958304309,-0.7623114405328391,0.1646891314665401,4214
oos,lgbm,classification,boruta_ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.8662162162162163,0.8662162162162163,0.0,1.9024732733745169,0.3199703353492904,0.66037982651241,-0.6716664292494331,0.0728051391862955,1401
oos,lgbm,classification,boruta_ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.7947916666666667,0.7947916666666667,0.0,2.4698715018534845,0.3710383711342624,0.6598123075065342,-0.762311440532837,0.26546212647671996,1439
oos,lgbm,classification,boruta_ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.7288786482334869,0.7288786482334869,0.0,-0.03800124307663966,-0.019692235927522672,-0.04793682226634256,-0.47920733780991365,0.29254571026722925,711
oos,lgbm,classification,boruta_ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.782585658777817,0.782585658777817,0.0,11.163791906404118,0.24160765135846352,0.5250969117624599,-0.7282598353008156,0.16943521594684385,4214
oos,lgbm,classification,boruta_ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.8614864864864865,0.8614864864864865,0.0,1.964334599368041,0.3272427056579772,0.6755313150520621,-0.6716664292494331,0.0728051391862955,1401
oos,lgbm,classification,boruta_ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.7756944444444445,0.7756944444444445,0.0,2.992925627976362,0.4207463084463554,0.7566731564461994,-0.7282598353008122,0.28214037526059765,1439
oos,lgbm,classification,boruta_ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.7081413210445469,0.7081413210445469,0.0,0.010475487025087826,0.005364074854108614,0.013134004203054763,-0.45697850689672564,0.2869198312236287,711
oos,lgbm,classification,boruta_ta,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.7523843164959378,0.7523843164959378,0.0,9.003744415624125,0.22075953311729157,0.48696686401170663,-0.764452245195172,0.18035121025154247,4214
oos,lgbm,classification,boruta_ta,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.8425675675675676,0.8425675675675676,0.0,1.6617250300874367,0.2905267105584197,0.6030549310821046,-0.6716664292494331,0.08137044967880086,1401
oos,lgbm,classification,boruta_ta,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.7496527777777777,0.7496527777777777,0.0,2.7246112749883373,0.3958982129517541,0.7246567318891907,-0.764452245195169,0.29881862404447534,1439
oos,lgbm,classification,boruta_ta,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.6559139784946236,0.6559139784946236,0.0,-0.007812639688183909,-0.004018362018491373,-0.010146449564825298,-0.48982321595440736,0.3009845288326301,711
oos,lgbm,classification,boruta_ta,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.8096079123984458,0.8096079123984458,0.0,10.370069788737235,0.23437189082820642,0.5053182135954202,-0.7391811803407671,0.1589938300901756,4214
