prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.7516778523489933,0.2483221476510067,1.4626984097881839,0.08119117310580681,0.15452477562037795,-0.9391305955551054,0.3906027527289986,4214
oos,lgbm,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.8689189189189189,0.13108108108108107,3.11455407557571,0.44560087705645945,0.7901524671678344,-0.6769938866445333,0.20199857244825126,1401
oos,lgbm,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.6899305555555556,0.31006944444444445,-0.4632988384807898,-0.14602118143331788,-0.2336432251948259,-0.8995334344066099,0.6560111188325226,1439
oos,lgbm,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.7549923195084486,0.24500768049155147,0.1163780393601519,0.058143262661489725,0.12429273602236068,-0.45140571306565647,0.5864978902953587,711
oos,lgbm,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7186506534793359,0.7186506534793359,0.0,2.2730108454521063,0.10816061106744401,0.2408415374818935,-0.802100614674246,0.21452301850972946,4214
oos,lgbm,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8594594594594595,0.8594594594594595,0.0,0.6332533052628506,0.13633518849791204,0.2761270413579867,-0.6716664292494331,0.10849393290506781,1401
oos,lgbm,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.6538194444444444,0.6538194444444444,0.0,0.46389083774960893,0.10149114355561117,0.19068950010128208,-0.802100614674247,0.3683113273106324,1439
oos,lgbm,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.7019969278033794,0.7019969278033794,0.0,0.3696271400838851,0.1752395112045857,0.46453613710532465,-0.4382043948048617,0.3108298171589311,711
oos,lgbm,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.699222889438361,0.699222889438361,0.0,1.5672239506361407,0.08509092109450522,0.1907035674823993,-0.8250896619549042,0.22259136212624583,4214
oos,lgbm,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.85,0.85,0.0,0.540708183006116,0.11919678517833066,0.24156876548187828,-0.6716664292494331,0.11705924339757316,1401
oos,lgbm,classification,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.6399305555555556,0.6399305555555556,0.0,0.3806905869341455,0.08526354258654067,0.16162190895976009,-0.8250896619549047,0.38082001389854064,1439
oos,lgbm,classification,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6589861751152074,0.6589861751152074,0.0,0.20743608216381415,0.10160500323158139,0.273929103916776,-0.4304980363035303,0.31645569620253167,711
oos,lgbm,classification,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.6633698339809254,0.6633698339809254,0.0,2.3391878760968976,0.11008362959029916,0.2510981415563614,-0.7692359255363905,0.24822021831988608,4214
oos,lgbm,classification,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8195945945945946,0.8195945945945946,0.0,0.3533050021959192,0.08201250765042412,0.16862557450345547,-0.6434164905596466,0.1470378301213419,1401
oos,lgbm,classification,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.6253472222222223,0.6253472222222223,0.0,0.9660335567314875,0.18704958076517664,0.36072099015026565,-0.7692359255363909,0.3919388464211258,1439
oos,lgbm,classification,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5698924731182796,0.5698924731182796,0.0,0.2556580603733425,0.12397528272737834,0.34462180087219296,-0.40074919366861,0.38677918424753865,711
oos,lgbm,classification,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7516778523489933,0.7516778523489933,0.0,3.7929146350416243,0.14538331273437755,0.3165745356834344,-0.8054464845301532,0.19553868058851448,4214
oos,lgbm,classification,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8689189189189189,0.8689189189189189,0.0,1.1327470125600576,0.21814215553696759,0.4383884375585012,-0.6716664292494331,0.10135617416131334,1401
oos,lgbm,classification,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.6899305555555556,0.6899305555555556,0.0,0.9958609627583255,0.19159193835634203,0.3483657875160957,-0.8054464845301533,0.3280055594162613,1439
oos,lgbm,classification,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.7549923195084486,0.7549923195084486,0.0,0.12654155194687466,0.06307774384372467,0.16259425223406565,-0.4382043948048619,0.2939521800281294,711
oos,lgbm,classification,onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05121865065347934,0.05121865065347934,0.0,-0.007356772705138459,-0.00063936553142252,-0.005409096031138397,-0.35279162208702225,0.054105363075462744,4214
oos,lgbm,classification,onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.0722972972972973,0.0722972972972973,0.0,-0.22042032679308454,-0.06281222879699488,-0.43279855135949674,-0.35279162208702225,0.06138472519628837,1401
