prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,all,full_exposure_sign,5.0,1.0,0.796891557753444,0.203108442246556,27.51472947089409,0.33669504885113954,0.6401058709811047,-0.725094091575925,0.27669672520170857,4214
oos,lgbm,regression,all,long_only_sign,5.0,0.796891557753444,0.796891557753444,0.0,15.309051601716924,0.27354934115765195,0.6198591896086453,-0.7465577681320524,0.13858566682486947,4214
oos,lgbm,regression,all,sign_band_0.0025,5.0,0.35923701872129987,0.21494171670787707,0.14429530201342283,9.47266015109546,0.22561283567858004,0.6180695442452693,-0.45986404506309275,0.26245847176079734,4214
oos,lgbm,regression,all,quantile_ls_0.20,5.0,0.40109501942776404,0.20098904980572235,0.2001059696220417,7.762024944310987,0.20682603158326218,0.540784642988778,-0.5444741733460934,0.28144280968201235,4214
oos,lgbm,regression,all,long_only_band_0.0025,5.0,0.21494171670787707,0.21494171670787707,0.0,4.234340238955543,0.15415723032107032,0.5948377387305511,-0.4365786357180042,0.15045087802562884,4214
oos,lgbm,regression,all,quantile_long_only_0.20,5.0,0.20098904980572235,0.20098904980572235,0.0,3.987111751184056,0.1493304867181422,0.5862860983944478,-0.4315730128892218,0.14428096820123398,4214
oos,lgbm,regression,all,sign_band_0.005,5.0,0.1511833274461321,0.10826563051925114,0.04291769692688096,3.0657267721890546,0.1291746999270813,0.46470320113512986,-0.47293310029643226,0.14095870906502136,4214
oos,lgbm,regression,all,quantile_ls_0.10,5.0,0.205757682797598,0.10049452490286118,0.10526315789473684,2.5586523262551064,0.11622095956832479,0.38299797108246286,-0.4924126019315462,0.17655434266729947,4214
oos,lgbm,regression,all,quantile_ls_0.05,5.0,0.1040268456375839,0.05015895443306252,0.05386789120452137,1.6080832146363968,0.08657601842448637,0.33921369139385765,-0.4747409079392636,0.11058376839107736,4214
oos,lgbm,regression,all,long_only_band_0.005,5.0,0.10826563051925114,0.10826563051925114,0.0,1.4115494770604022,0.07922744646851543,0.4005503605625915,-0.3739921026515967,0.09302325581395349,4214
oos,lgbm,regression,all,sign_band_0.01,5.0,0.032320734722712824,0.02066407629812787,0.011656658424584953,1.36843769487554,0.07754251169923343,0.4427613872091923,-0.3571321372559449,0.04318936877076412,4214
oos,lgbm,regression,all,quantile_long_only_0.10,5.0,0.10049452490286118,0.10049452490286118,0.0,1.15557854805322,0.06878901287105621,0.3567021923330629,-0.35572164196819317,0.08685334598955861,4214
oos,lgbm,regression,all,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,0.654846404447279,0.04459495799523583,0.310801504019568,-0.2567249638961914,0.054105363075462744,4214
oos,lgbm,regression,all,long_only_band_0.01,5.0,0.02066407629812787,0.02066407629812787,0.0,0.4316740920739861,0.0315697654122753,0.33695111033563624,-0.234045646036962,0.026578073089700997,4214
