prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,boruta_all,long_only_sign,5.0,0.8143765453903214,0.8143765453903214,0.0,4.944569359855196,0.16694730343572295,0.3540066055582582,-0.7173917059332158,0.14285714285714285,4214
oos,lgbm,regression,boruta_all,quantile_long_only_0.20,5.0,0.20098904980572235,0.20098904980572235,0.0,3.843096448858433,0.14641709263881508,0.5633959452518508,-0.5381449455947921,0.13146654010441386,4214
oos,lgbm,regression,boruta_all,sign_band_0.0025,5.0,0.24390674673260332,0.18791946308724833,0.055987283645355,3.3256607271957757,0.13525218351745782,0.4807469717753414,-0.4021833306416734,0.1817750355956336,4214
oos,lgbm,regression,boruta_all,long_only_band_0.0025,5.0,0.18791946308724833,0.18791946308724833,0.0,3.0664797144939806,0.12919281108651015,0.5152001927526189,-0.5005355284169727,0.12956810631229235,4214
oos,lgbm,regression,boruta_all,full_exposure_sign,5.0,1.0,0.8143765453903214,0.18562345460967855,2.784585706651747,0.122188105390449,0.23195734827256034,-0.733918965799785,0.2857142857142857,4214
oos,lgbm,regression,boruta_all,quantile_ls_0.20,5.0,0.4108089014482515,0.20098904980572235,0.20981985164252914,1.479141860716319,0.08181456601519699,0.22988913547703055,-0.5919100874991782,0.28334124347413386,4214
oos,lgbm,regression,boruta_all,quantile_ls_0.10,5.0,0.2006358177322501,0.10014129282938891,0.10049452490286118,1.2327841274286637,0.07205168427715436,0.2912779018329042,-0.4370730692503615,0.18462268628381584,4214
oos,lgbm,regression,boruta_all,quantile_long_only_0.10,5.0,0.10014129282938891,0.10014129282938891,0.0,1.1251449136614964,0.06747349467359509,0.3503481863156201,-0.4666110620047866,0.09207403891789274,4214
oos,lgbm,regression,boruta_all,quantile_ls_0.05,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.8414962443311875,0.054309326490049825,0.30829718060578876,-0.27648534267366787,0.09682012339819648,4214
oos,lgbm,regression,boruta_all,long_only_band_0.005,5.0,0.08689509007417874,0.08689509007417874,0.0,0.6137901541749333,0.04232436490729263,0.25127228505043003,-0.47333646988163525,0.08258186995728524,4214
oos,lgbm,regression,boruta_all,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,0.5571934903791242,0.03910624015541697,0.3122833318087049,-0.22833646762913243,0.051257712387280496,4214
oos,lgbm,regression,boruta_all,sign_band_0.005,5.0,0.11921582479689156,0.08689509007417874,0.032320734722712824,0.30325254984807026,0.023206571167755374,0.12280438845371189,-0.5449638506182085,0.11390602752728998,4214
oos,lgbm,regression,boruta_all,long_only_band_0.01,5.0,0.02507947721653126,0.02507947721653126,0.0,-0.02729453512026625,-0.0023941375540255105,-0.02537070578238797,-0.21139387570773505,0.02895111532985287,4214
oos,lgbm,regression,boruta_all,sign_band_0.01,5.0,0.038678912045213704,0.02507947721653126,0.013599434828682444,-0.2872678556323405,-0.028906466336364844,-0.27484282910807517,-0.39293170632418184,0.045562411010915994,4214
