prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.7520310844224656,0.24796891557753445,22.635746397066388,0.3151434845198322,0.598934259385551,-0.8731850441995996,0.35453251067869007,4214
oos,lgbm,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.6966216216216217,0.3033783783783784,4.949473416447908,0.5913785222726982,1.047208256429498,-0.5317277684980556,0.3804425410421128,1401
oos,lgbm,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.7788194444444444,0.22118055555555555,3.2653063275777106,0.44472718985265636,0.7108468465951282,-0.8731850441995999,0.453092425295344,1439
oos,lgbm,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.7557603686635944,0.24423963133640553,-0.06863589460837494,-0.03584437472890223,-0.07638312649603748,-0.5688516224661005,0.4345991561181435,711
oos,lgbm,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.22518544683857294,0.22518544683857294,0.0,2.0745231645655933,0.10217201474821946,0.40687870936833637,-0.5110920692845856,0.1499762695775985,4214
oos,lgbm,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3398648648648649,0.3398648648648649,0.0,0.6322338971065808,0.1361503655080818,0.4457123048126783,-0.5110920692845856,0.17416131334760884,1401
oos,lgbm,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.2076388888888889,0.2076388888888889,0.0,0.33315212207752865,0.07566127562293423,0.2669267086329075,-0.4364976946451999,0.21820708825573315,1439
oos,lgbm,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1336405529953917,0.1336405529953917,0.0,0.4129138050312815,0.19416296780354347,1.1730225059000574,-0.10629722523030197,0.10407876230661041,711
oos,lgbm,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.08636524196397033,0.08636524196397033,0.0,1.5170160707595115,0.08323618133729838,0.4765026121025003,-0.4503335625445666,0.08448030374940674,4214
oos,lgbm,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.11351351351351352,0.11351351351351352,0.0,1.1078490451102776,0.2144211482420324,1.0163389753047394,-0.21720496944435605,0.092790863668808,1401
oos,lgbm,regression,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.09479166666666666,0.09479166666666666,0.0,0.0595994598099836,0.014792288467136538,0.0737866001077292,-0.45033356254456747,0.13620569840166782,1439
oos,lgbm,regression,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.03686635944700461,0.03686635944700461,0.0,0.12695027753650212,0.06327572988383401,0.58286036879227,-0.06881772738615997,0.04219409282700422,711
oos,lgbm,regression,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.02755210173083716,0.02755210173083716,0.0,0.47845868936781,0.034446894721357424,0.3937451939522529,-0.23425578456811036,0.03132415757000474,4214
oos,lgbm,regression,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.03783783783783784,0.03783783783783784,0.0,0.2644843067820355,0.0630442077563329,0.8000485903346306,-0.11934263739987476,0.034261241970021415,1401
oos,lgbm,regression,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.034722222222222224,0.034722222222222224,0.0,0.16921869369048403,0.04045103412286699,0.316130481763268,-0.2342557845681106,0.05837387074357193,1439
oos,lgbm,regression,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,lgbm,regression,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7520310844224656,0.7520310844224656,0.0,13.848368590252726,0.2632408891283491,0.5840473076632798,-0.8007886692851176,0.17750355956336022,4214
oos,lgbm,regression,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6966216216216217,0.6966216216216217,0.0,1.5645857172393431,0.27808729441765334,0.6411678055740483,-0.5550994496046475,0.1905781584582441,1401
oos,lgbm,regression,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7788194444444444,0.7788194444444444,0.0,4.626510448977244,0.5498759173332741,0.9713246143168613,-0.8007886692851162,0.226546212647672,1439
oos,lgbm,regression,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.7557603686635944,0.7557603686635944,0.0,0.0289667018014661,0.014767057485116197,0.03437064178701656,-0.521310616996305,0.2180028129395218,711
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.7133191476359833,0.04774149759856772,0.37751919923454963,-0.36199103916681263,0.054579971523493115,4214
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.06824324324324324,0.06824324324324324,0.0,0.645755921263506,0.13859505627430369,0.8886063438379794,-0.2951670855653694,0.06281227694503926,1401
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.060069444444444446,0.060069444444444446,0.0,0.05353127093606069,0.013315028790679362,0.08903218529684963,-0.36199103916681313,0.0917303683113273,1439
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.007680491551459293,0.007680491551459293,0.0,-0.011844229111290128,-0.00609799759295615,-0.15378177960968248,-0.03082125515368543,0.014064697609001406,711
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,1.5924378684032838,0.08600989006725701,0.45770904857052286,-0.521625797743178,0.09397247271001424,4214
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1277027027027027,0.1277027027027027,0.0,1.1541406098923597,0.22131386063531155,0.9880237812092747,-0.2733606339317217,0.09992862241256245,1401
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.1111111111111111,0.1111111111111111,0.0,0.06314205108052162,0.015651791505610024,0.07097055983153022,-0.5216257977431787,0.15149409312022238,1439
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0445468509984639,0.0445468509984639,0.0,0.13199109953456922,0.06571462930609329,0.6006215473729334,-0.06881772738616013,0.053445850914205346,711
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20204874602613918,0.20204874602613918,0.0,1.6781439550521489,0.08907372520552359,0.3641003595291362,-0.5241646862720597,0.140484100616991,4214
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.31216216216216214,0.31216216216216214,0.0,0.46425545241442623,0.10445457575584549,0.3494794725009923,-0.5241646862720597,0.17273376159885795,1401
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.1798611111111111,0.1798611111111111,0.0,0.3118175980734812,0.07126868214227255,0.2600821577428451,-0.44131064419067245,0.1931897150799166,1439
oos,lgbm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1259600614439324,0.1259600614439324,0.0,0.3942595081953504,0.18604303985836212,1.1351690688073088,-0.11778342692562882,0.10126582278481013,711
