prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.6727304839279407,0.32726951607205934,0.011779715905388288,0.0010148642769223226,0.0019273751863298511,-0.8652544541512609,0.39107736117702896,4214
oos,lgbm,regression,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.6594594594594595,0.34054054054054056,2.635528157013942,0.39972797255462655,0.7072571689502126,-0.7325486464903542,0.3747323340471092,1401
oos,lgbm,regression,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.7086805555555555,0.29131944444444446,-0.2983693689126202,-0.08595898757421627,-0.1372785526266737,-0.8247870673103592,0.4461431549687283,1439
oos,lgbm,regression,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.6082949308755761,0.391705069124424,-0.6168690995205257,-0.3889081396063452,-0.8299174449214684,-0.7398645266895003,0.6736990154711674,711
oos,lgbm,regression,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.28258565877781705,0.28258565877781705,0.0,0.9166103662850462,0.05796661222442734,0.20280971252625374,-0.5472588241173878,0.19933554817275748,4214
oos,lgbm,regression,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.4391891891891892,0.4391891891891892,0.0,0.34194559737258,0.07963895307169189,0.22514278548410807,-0.5472588241173878,0.198429693076374,1401
oos,lgbm,regression,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.22083333333333333,0.22083333333333333,0.0,0.8570965663164989,0.17000960923562092,0.560754778144128,-0.5175016370300166,0.26685198054204307,1439
oos,lgbm,regression,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.2411674347158218,0.2411674347158218,0.0,-0.23093254070674074,-0.12610644580486186,-0.5546726319237969,-0.3514547087930823,0.25035161744022505,711
oos,lgbm,regression,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.15577534440127164,0.15577534440127164,0.0,0.35802347841052384,0.02686157368853448,0.12331713406783117,-0.5296742369282418,0.13953488372093023,4214
oos,lgbm,regression,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.28986486486486485,0.28986486486486485,0.0,0.4312603526178842,0.09791595504383799,0.347248669045025,-0.37638384851373946,0.16987865810135616,1401
oos,lgbm,regression,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.12083333333333333,0.12083333333333333,0.0,-0.026480491757279956,-0.006784149554695085,-0.030239068459550374,-0.5296742369282417,0.18485059068797777,1439
oos,lgbm,regression,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.08064516129032258,0.08064516129032258,0.0,-0.025360566842985488,-0.013100500903767243,-0.08678809427021357,-0.19854047005095976,0.11814345991561181,711
oos,lgbm,regression,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.02401978099611445,0.02401978099611445,0.0,-0.22264952621495737,-0.02157922398783274,-0.2323521731588595,-0.28334782746869325,0.030849549121974372,4214
oos,lgbm,regression,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.032432432432432434,0.032432432432432434,0.0,-0.17752367379268374,-0.04964195754320977,-0.5162924571629066,-0.2094478605866713,0.028551034975017844,1401
oos,lgbm,regression,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.024305555555555556,0.024305555555555556,0.0,-0.03893446265681233,-0.010022491935587019,-0.083620117720673,-0.17799521114131878,0.04586518415566365,1439
oos,lgbm,regression,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.013824884792626729,0.013824884792626729,0.0,-0.01657678293178022,-0.008544490618582312,-0.13772666179384135,-0.09336597995751106,0.03375527426160337,711
