prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,onchain,sign_band_0.005,2018-03-17,5.0,0.23896149770399153,0.15577534440127164,0.08318615330271989,2.3250267176069324,0.10967507080001337,0.39247524770316305,-0.5483345847424597,0.21831988609397246,4214
oos,lgbm,regression,onchain,long_only_sign,2018-03-17,5.0,0.6727304839279407,0.6727304839279407,0.0,2.073648571122802,0.10214485457175959,0.24857907457573125,-0.7344440746016676,0.19553868058851448,4214
oos,lgbm,regression,onchain,long_only_band_0.0025,2018-03-17,5.0,0.28258565877781705,0.28258565877781705,0.0,0.9166103662850462,0.05796661222442734,0.20280971252625374,-0.5472588241173878,0.19933554817275748,4214
oos,lgbm,regression,onchain,sign_band_0.0025,2018-03-17,5.0,0.48834334157541504,0.28258565877781705,0.205757682797598,0.8310172958914113,0.053788318331752016,0.1319185005930413,-0.771332119338731,0.35310868533459894,4214
oos,lgbm,regression,onchain,quantile_ls_0.20,2018-03-17,5.0,0.40303779583186156,0.20293182620981984,0.2001059696220417,0.6252164997582381,0.0429615435998576,0.11381954312889908,-0.6940354972959115,0.3160892263882297,4214
oos,lgbm,regression,onchain,sign_band_0.01,2018-03-17,5.0,0.047333097845284354,0.02401978099611445,0.023313316849169905,0.3816512382888868,0.02839689406244217,0.21123857391278858,-0.21809920250934325,0.054579971523493115,4214
oos,lgbm,regression,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.20293182620981984,0.20293182620981984,0.0,0.3740120544252561,0.027903144489718645,0.11434499619770651,-0.5084691812812353,0.16421452301850972,4214
oos,lgbm,regression,onchain,long_only_band_0.005,2018-03-17,5.0,0.15577534440127164,0.15577534440127164,0.0,0.35802347841052384,0.02686157368853448,0.12331713406783117,-0.5296742369282418,0.13953488372093023,4214
oos,lgbm,regression,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.6727304839279407,0.32726951607205934,0.011779715905388288,0.0010148642769223226,0.0019273751863298511,-0.8652544541512609,0.39107736117702896,4214
oos,lgbm,regression,onchain,quantile_ls_0.10,2018-03-17,5.0,0.2006358177322501,0.10049452490286118,0.10014129282938891,-0.0015540173406748403,-0.00013469845427982463,-0.0004956842057117597,-0.5165414742259193,0.1760797342192691,4214
oos,lgbm,regression,onchain,long_only_band_0.01,2018-03-17,5.0,0.02401978099611445,0.02401978099611445,0.0,-0.22264952621495737,-0.02157922398783274,-0.2323521731588595,-0.28334782746869325,0.030849549121974372,4214
oos,lgbm,regression,onchain,quantile_ls_0.05,2018-03-17,5.0,0.126280466266337,0.07612151183327447,0.05015895443306252,-0.326421684220653,-0.03364731805767118,-0.1635982202833894,-0.5263447565733029,0.11865211200759374,4214
oos,lgbm,regression,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10049452490286118,0.10049452490286118,0.0,-0.3817158558338556,-0.040790347191628884,-0.22396052724374024,-0.5819393879038224,0.08732795443758899,4214
oos,lgbm,regression,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.07612151183327447,0.07612151183327447,0.0,-0.6393717082262509,-0.08455075111555144,-0.5698952892781715,-0.6648287394806832,0.064546748932131,4214
