prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.7211232779936418,0.27887672200635816,3.2304004771557935,0.1330646350112188,0.25259577414701206,-0.7011610048721205,0.2586616041765543,4214
oos,lgbm,regression,ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.7858108108108108,0.2141891891891892,2.763764041681446,0.41242651378853346,0.7296076556176145,-0.7011610048721205,0.1934332619557459,1401
oos,lgbm,regression,ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.659375,0.340625,-0.1954802527254259,-0.053676684468402014,-0.08565163865350514,-0.6713390235097949,0.45031271716469773,1439
oos,lgbm,regression,ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.7841781874039938,0.21582181259600614,0.397151351182109,0.18730526202147502,0.3990077561049244,-0.5173380979757999,0.24050632911392406,711
oos,lgbm,regression,ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.234369480748852,0.234369480748852,0.0,3.7911910027073388,0.1453476293974565,0.573800360076405,-0.38755767499893595,0.12434741338395823,4214
oos,lgbm,regression,ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.3222972972972973,0.3222972972972973,0.0,0.49321960251457053,0.11010517847950019,0.36999719472856235,-0.38755767499893595,0.13704496788008566,1401
oos,lgbm,regression,ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.24305555555555555,0.24305555555555555,0.0,1.9270599346636503,0.3131357268583894,1.060455360586843,-0.24087864340362058,0.1834607366226546,1439
oos,lgbm,regression,ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.1152073732718894,0.1152073732718894,0.0,0.09619593381501401,0.04827941559815141,0.2818227757873297,-0.18647043559388074,0.09563994374120956,711
oos,lgbm,regression,ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.09660897209466619,0.09660897209466619,0.0,1.0950328055873673,0.06615482858941224,0.37161796203759095,-0.3665771799282493,0.07688656858092074,4214
oos,lgbm,regression,ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.17905405405405406,0.17905405405405406,0.0,0.7891230122159802,0.16364335962085153,0.68651377135291,-0.3665771799282493,0.10278372591006424,1401
oos,lgbm,regression,ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.08888888888888889,0.08888888888888889,0.0,0.23671085732252717,0.05536739204759944,0.28842894994557366,-0.17892726634582903,0.11118832522585129,1439
oos,lgbm,regression,ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.019969278033794162,0.019969278033794162,0.0,-0.05314723326725046,-0.027646179043726238,-0.7673494514854878,-0.0691511937314705,0.02812939521800281,711
oos,lgbm,regression,ta,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.023843164959378313,0.023843164959378313,0.0,0.7655649157766531,0.05047104967364313,0.4834081291819126,-0.17445283039276582,0.021831988609397248,4214
oos,lgbm,regression,ta,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.05202702702702703,0.05202702702702703,0.0,0.697468307024512,0.1478095008701381,0.8891356887368426,-0.17445283039276582,0.034261241970021415,1401
oos,lgbm,regression,ta,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.019791666666666666,0.019791666666666666,0.0,0.04011657152616044,0.010026632368511201,0.1418005526932485,-0.1004685408141248,0.030576789437109102,1439
oos,lgbm,regression,ta,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0007680491551459293,0.0007680491551459293,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,lgbm,regression,ta,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.7211232779936418,0.7211232779936418,0.0,5.281810342471759,0.17253805871619665,0.40558670460512036,-0.6940224805604756,0.12956810631229235,4214
oos,lgbm,regression,ta,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.7858108108108108,0.7858108108108108,0.0,1.0398073365269007,0.2040837686578132,0.45925361348336236,-0.6688780159027686,0.09707351891506068,1401
oos,lgbm,regression,ta,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.659375,0.659375,0.0,1.4436126826238462,0.25436456534534235,0.5060374368461845,-0.6940224805604758,0.22515635858234886,1439
oos,lgbm,regression,ta,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.7841781874039938,0.7841781874039938,0.0,0.26026913529655404,0.1260922945960654,0.3035016778825424,-0.4973881729854682,0.1209563994374121,711
oos,lgbm,regression,ta,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.05015895443306252,0.05015895443306252,0.0,0.1122758102232615,0.009259260905390754,0.06785066660038229,-0.37655451024286296,0.04081632653061224,4214
oos,lgbm,regression,ta,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.09797297297297297,0.09797297297297297,0.0,0.7123177555459932,0.1504170549290358,0.8124731199093703,-0.2145684443261829,0.059957173447537475,1401
oos,lgbm,regression,ta,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.04548611111111111,0.04548611111111111,0.0,-0.33997868961349564,-0.10002349720794934,-0.689162229906177,-0.3693444195263854,0.05837387074357193,1439
oos,lgbm,regression,ta,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.006144393241167435,0.006144393241167435,0.0,-0.01582988276482311,-0.008158000531492293,-0.8650351008586691,-0.01582988276482311,0.005625879043600563,711
oos,lgbm,regression,ta,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,5.0,0.10120098904980572,0.10120098904980572,0.0,1.2040321227559967,0.07084885755147807,0.38668688614323743,-0.43769485383411105,0.07831039392501186,4214
oos,lgbm,regression,ta,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.1885135135135135,0.1885135135135135,0.0,0.4959706995442448,0.11063766112424767,0.4570275135317037,-0.43769485383411105,0.10706638115631692,1401
oos,lgbm,regression,ta,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.09305555555555556,0.09305555555555556,0.0,0.5560099863240573,0.11867421169428316,0.5887646103945341,-0.17892726634582903,0.11118832522585129,1439
oos,lgbm,regression,ta,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.019969278033794162,0.019969278033794162,0.0,-0.05314723326725046,-0.027646179043726238,-0.7673494514854878,-0.0691511937314705,0.02812939521800281,711
oos,lgbm,regression,ta,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,5.0,0.2001059696220417,0.2001059696220417,0.0,5.3080701337047875,0.1729618031748894,0.7552116642401444,-0.2778197445539866,0.11817750355956336,4214
oos,lgbm,regression,ta,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.29121621621621624,0.29121621621621624,0.0,0.8271354133241715,0.1700344709812609,0.6250955392179411,-0.2778197445539866,0.13418986438258387,1401
oos,lgbm,regression,ta,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.20173611111111112,0.20173611111111112,0.0,2.1332244390258364,0.33600300612719747,1.2454873962053645,-0.19923541679681359,0.1723419041000695,1439
oos,lgbm,regression,ta,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.09293394777265745,0.09293394777265745,0.0,0.10187992988484296,0.05106630049119065,0.38333837014214994,-0.09219691732902759,0.08720112517580872,711
oos,lgbm,regression,ta,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,-0.17084115250426057,-0.01609600713499304,-0.08631976893871172,-0.601960913068512,0.07783578547698149,4214
oos,lgbm,regression,ta,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.10878378378378378,0.09797297297297297,0.010810810810810811,0.7519002190472153,0.15728694930695797,0.8307593652025199,-0.2145684443261829,0.06780870806566738,1401
oos,lgbm,regression,ta,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.12986111111111112,0.04548611111111111,0.084375,-0.5185396711496946,-0.16922773129905821,-0.6742078629206721,-0.6019609130685115,0.13968033356497567,1439
oos,lgbm,regression,ta,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.02534562211981567,0.006144393241167435,0.019201228878648235,-0.0159362623030892,-0.008213038843717602,-0.0954036242670119,-0.1060138171135292,0.04219409282700422,711
oos,lgbm,regression,ta,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,5.0,0.21264570823030732,0.10120098904980572,0.11144471918050158,0.5776200354308547,0.040279847373499766,0.13119564575287196,-0.554413979360505,0.15424774560987187,4214
oos,lgbm,regression,ta,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.30202702702702705,0.1885135135135135,0.11351351351351352,1.2559155745855097,0.2360913352689975,0.5999902710263078,-0.4999963038326409,0.15917201998572447,1401
oos,lgbm,regression,ta,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.2378472222222222,0.09305555555555556,0.14479166666666668,-0.18267741130124193,-0.04987935518158726,-0.14535032860947447,-0.5544139793605051,0.2550382209867964,1439
oos,lgbm,regression,ta,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.055299539170506916,0.019969278033794162,0.03533026113671275,-0.1434722596233543,-0.07642526566761121,-0.6254050499082888,-0.19978048029244708,0.08157524613220815,711
oos,lgbm,regression,ta,quantile_ls_0.20,full_sample,1677-09-21,2026-04-02,5.0,0.4085128929706817,0.2001059696220417,0.20840692334864006,1.7273645289665827,0.0907930198580904,0.24895911328111128,-0.46005170721248684,0.24110109159943047,4214
oos,lgbm,regression,ta,quantile_ls_0.20,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.47702702702702704,0.29121621621621624,0.1858108108108108,1.9209533391203837,0.3221547464108394,0.7499720912643023,-0.4469287823996878,0.21770164168451106,1401
oos,lgbm,regression,ta,quantile_ls_0.20,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.4774305555555556,0.20173611111111112,0.27569444444444446,0.0058737251609928265,0.0014866062421539095,0.0034086148737107027,-0.44705265645524056,0.4044475330090341,1439
oos,lgbm,regression,ta,quantile_ls_0.20,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.1781874039938556,0.09293394777265745,0.08525345622119816,-0.07121900147315052,-0.03721805817011847,-0.18733946519950043,-0.22701686652919525,0.180028129395218,711
oos,lgbm,regression,ta,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.38466972801130345,0.234369480748852,0.15030024726245142,2.506352486832205,0.11479043313113935,0.31131474969898915,-0.5065419046013241,0.21737066919791173,4214
oos,lgbm,regression,ta,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.44594594594594594,0.3222972972972973,0.12364864864864865,1.457646032352716,0.2639831852566983,0.6101358816240597,-0.5065419046013241,0.1934332619557459,1401
oos,lgbm,regression,ta,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.4534722222222222,0.24305555555555555,0.21041666666666667,0.4532074358618836,0.09944658220121738,0.2264640177245665,-0.4679950151717219,0.3683113273106324,1439
oos,lgbm,regression,ta,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.16282642089093702,0.1152073732718894,0.047619047619047616,-0.01769388954309581,-0.009122813994794088,-0.042263339823121124,-0.22799304885740063,0.16033755274261605,711
oos,lgbm,regression,ta,sign_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.15736488873189686,0.09660897209466619,0.06075591663723066,1.382594438319305,0.07809886608258987,0.29957796376414053,-0.4801898850467678,0.12434741338395823,4214
oos,lgbm,regression,ta,sign_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.20270270270270271,0.17905405405405406,0.02364864864864865,2.091227804656068,0.341815941479094,1.0033844257688846,-0.3665771799282493,0.11777301927194861,1401
oos,lgbm,regression,ta,sign_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.1840277777777778,0.08888888888888889,0.09513888888888888,-0.18497461645164548,-0.050557422993020684,-0.17746890350750294,-0.4801898850467693,0.21195274496177902,1439
oos,lgbm,regression,ta,sign_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.04685099846390169,0.019969278033794162,0.026881720430107527,-0.05331969475001974,-0.02773710261817819,-0.2868260383546569,-0.12516743987974943,0.07313642756680731,711
oos,lgbm,regression,ta,sign_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.04821617802896503,0.023843164959378313,0.024373013069586717,0.7631629484813021,0.05034718832574914,0.3758186576962223,-0.26939108102119,0.04271476032273375,4214
oos,lgbm,regression,ta,sign_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.05878378378378379,0.05202702702702703,0.006756756756756757,0.83107356565097,0.17069096286135554,1.0088828772496423,-0.17445283039276582,0.037116345467523196,1401
oos,lgbm,regression,ta,sign_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.06388888888888888,0.019791666666666666,0.044097222222222225,0.010637840598144876,0.0026876251907090865,0.017220278283918828,-0.2605720333653646,0.08686587908269632,1439
oos,lgbm,regression,ta,sign_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0015360983102918587,0.0007680491551459293,0.0007680491551459293,-0.02956310508557225,-0.015287357329582307,-0.7229624917069938,-0.029077765313283228,0.0028129395218002813,711
