prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,univariate,long_only_sign,5.0,0.7077004592016956,0.7077004592016956,0.0,1.329841311096211,0.0760101145642913,0.17375273743398986,-0.7663456370856905,0.05932605600379687,4214
oos,lgbm,regression,univariate,long_only_band_0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214
oos,lgbm,regression,univariate,sign_band_0.01,5.0,0.0008830801836806782,0.0,0.0008830801836806782,0.0,0.0,0.0,0.0,0.0,4214
oos,lgbm,regression,univariate,long_only_band_0.005,5.0,0.021370540445072413,0.021370540445072413,0.0,-0.34085029235325837,-0.03545806039596522,-0.5475148091143219,-0.406370950920904,0.018035121025154248,4214
oos,lgbm,regression,univariate,full_exposure_sign,5.0,1.0,0.7077004592016956,0.2922995407983045,-0.41807833653771376,-0.04581299884052803,-0.08709271644656348,-0.8893309537344939,0.11817750355956336,4214
oos,lgbm,regression,univariate,long_only_band_0.0025,5.0,0.21688449311197458,0.21688449311197458,0.0,-0.5801221231093874,-0.0724092580993354,-0.2894981134375508,-0.7212394606838021,0.05932605600379687,4214
oos,lgbm,regression,univariate,quantile_long_only_0.20,5.0,0.2165312610385023,0.2165312610385023,0.0,-0.5883303439967207,-0.07399411304684778,-0.2959202038296735,-0.7212394606838021,0.05885144755576649,4214
oos,lgbm,regression,univariate,sign_band_0.005,5.0,0.06004945249028612,0.021370540445072413,0.038678912045213704,-0.6310606773876897,-0.08274233093306971,-0.5506389442429095,-0.7261083352962553,0.041765543426673,4214
oos,lgbm,regression,univariate,quantile_long_only_0.05,5.0,0.05121865065347934,0.05121865065347934,0.0,-0.6503225487186038,-0.08699260279892573,-0.7812374464732328,-0.6649939856306233,0.036070242050308496,4214
oos,lgbm,regression,univariate,sign_band_0.0025,5.0,0.28823737195337334,0.21688449311197458,0.07135287884139879,-0.785263333369463,-0.12474951489474462,-0.4225386213036688,-0.8422095282468721,0.10393925011865211,4214
oos,lgbm,regression,univariate,quantile_ls_0.05,5.0,0.12204168138466973,0.05121865065347934,0.0708230307311904,-0.8287493997473665,-0.14173728492268767,-0.7387348543614124,-0.8429965543046035,0.08020882771713336,4214
oos,lgbm,regression,univariate,quantile_long_only_0.10,5.0,0.126280466266337,0.126280466266337,0.0,-0.8321053109064797,-0.1432072778014163,-0.7216168088870272,-0.8419899086649184,0.051257712387280496,4214
oos,lgbm,regression,univariate,quantile_ls_0.20,5.0,0.4330625220770046,0.2165312610385023,0.2165312610385023,-0.8933257739763703,-0.17621408701500352,-0.5039358597490372,-0.9295536104460224,0.11960132890365449,4214
oos,lgbm,regression,univariate,quantile_ls_0.10,5.0,0.2432002825856588,0.126280466266337,0.1169198163193218,-0.9425749008177099,-0.21923865113743624,-0.7568377106312159,-0.947352368822539,0.10678690080683437,4214
