prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lstm,classification,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.879018014835747,0.12098198516425292,17.265796452947907,0.28611008235452395,0.544452721010612,-0.6716664292494331,0.1551969625059326,4214
oos,lstm,classification,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.902027027027027,0.09797297297297297,0.3920496230632493,0.08999901131904431,0.15940186145342142,-0.6716664292494331,0.09493219129193434,1401
oos,lstm,classification,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.840625,0.159375,13.513580940773773,0.9709800333721832,1.5565657175048044,-0.5671914543024856,0.30020847810979845,1439
oos,lstm,classification,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.9377880184331797,0.06221198156682028,-0.09595874924574466,-0.05046990380525429,-0.10759347670931259,-0.5728071417766506,0.12517580872011252,711
oos,lstm,classification,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.8592370187212999,0.8592370187212999,0.0,11.019711932396051,0.24032686070797737,0.5133586514186623,-0.6716664292494332,0.08780256288561937,4214
oos,lstm,classification,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8993243243243243,0.8993243243243243,0.0,0.15826492052535057,0.03901964236378164,0.08050960655136553,-0.6716664292494332,0.052105638829407566,1401
oos,lstm,classification,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.828125,0.828125,0.0,8.821939672345742,0.7851273967218197,1.3879351768708943,-0.6681745702768606,0.1556636553161918,1439
oos,lstm,classification,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.8824884792626728,0.8824884792626728,0.0,0.05649591884728933,0.02861492346983674,0.06604142390688418,-0.5313256530634822,0.10267229254571027,711
oos,lstm,classification,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.832038149063935,0.832038149063935,0.0,12.97589739197785,0.25663240929019104,0.5517883041935933,-0.6716664292494331,0.09919316563834836,4214
oos,lstm,classification,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8932432432432432,0.8932432432432432,0.0,0.23475883804348174,0.056476230654773696,0.11673605319635037,-0.6716664292494331,0.05353319057815846,1401
oos,lstm,classification,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.8107638888888888,0.8107638888888888,0.0,8.971483163892787,0.7919825742830324,1.4055081349398875,-0.6612189887644415,0.16817234190410008,1439
oos,lstm,classification,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.8095238095238095,0.8095238095238095,0.0,0.13505453932163225,0.06719423107592215,0.1594680550266141,-0.4469355579927282,0.1420534458509142,711
oos,lstm,classification,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7566231013776051,0.7566231013776051,0.0,7.023523177272319,0.19765719054636333,0.44342801238893986,-0.6657255952045078,0.10631229235880399,4214
oos,lstm,classification,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8770270270270271,0.8770270270270271,0.0,0.09949897542641661,0.02502017715430327,0.052556177422829815,-0.6657255952045078,0.057815845824411134,1401
oos,lstm,classification,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7711805555555555,0.7711805555555555,0.0,7.322909448514968,0.7116946525109162,1.3100323028272343,-0.6595923160284424,0.17790132036136205,1439
oos,lstm,classification,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5875576036866359,0.5875576036866359,0.0,-0.12325349574949229,-0.06529678793280236,-0.17909450592884205,-0.4664469077424226,0.15611814345991562,711
oos,lstm,classification,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.879018014835747,0.879018014835747,0.0,12.053091605868909,0.24921927676457756,0.5285482238260621,-0.6734836265793258,0.07783578547698149,4214
oos,lstm,classification,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.902027027027027,0.902027027027027,0.0,0.24052440781464157,0.05775922913976461,0.11893589277307116,-0.6716664292494331,0.04782298358315489,1401
oos,lstm,classification,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.840625,0.840625,0.0,9.37889948184862,0.8102773570125104,1.4280284226194166,-0.6734836265793235,0.15010423905489922,1439
oos,lstm,classification,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.9377880184331797,0.9377880184331797,0.0,0.013761272699177152,0.007041012350334386,0.01571870134540224,-0.5165299067834137,0.06329113924050633,711
oos,lstm,classification,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.8232215538785455,0.053398948187288076,0.42620000222029114,-0.21360789545736106,0.02800189843379212,4214
oos,lstm,classification,boruta_onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.12837837837837837,0.12837837837837837,0.0,0.9726782777335183,0.19363206031181024,0.9581392440307509,-0.21360789545736106,0.05281941470378301,1401
oos,lstm,classification,boruta_onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.02638888888888889,0.02638888888888889,0.0,0.012951213520832727,0.0032692958746911582,0.047961365432525646,-0.09905864551366184,0.022237665045170257,1439
oos,lstm,classification,boruta_onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.013824884792626729,0.013824884792626729,0.0,-0.0875802969879036,-0.045962446934288415,-0.8290491626954739,-0.09753221606581822,0.016877637130801686,711
oos,lstm,classification,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,2.183090603251578,0.10548992776742683,0.5784082480905142,-0.267388906328127,0.04888467014712862,4214
oos,lstm,classification,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.21486486486486486,0.21486486486486486,0.0,0.9178372523701552,0.18489654888471962,0.7384499491383867,-0.267388906328127,0.06852248394004283,1401
oos,lstm,classification,boruta_onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.07673611111111112,0.07673611111111112,0.0,0.7518191970844244,0.15281776014877724,0.8382405751460612,-0.1660100597733868,0.06810284920083391,1439
oos,lstm,classification,boruta_onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.021505376344086023,0.021505376344086023,0.0,-0.052568174535012724,-0.027340951908016442,-0.34359245711008574,-0.08842786863234042,0.016877637130801686,711
oos,lstm,classification,boruta_onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,6.619674364601802,0.19231179723371317,0.7628974932142774,-0.3386621686060461,0.07641196013289037,4214
oos,lstm,classification,boruta_onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.4060810810810811,0.4060810810810811,0.0,1.2209387195484331,0.2310694334953114,0.7215095259804066,-0.3386621686060461,0.10278372591006424,1401
oos,lstm,classification,boruta_onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.1736111111111111,0.1736111111111111,0.0,2.571383517434813,0.3811030134128859,1.3231485434896977,-0.2846787765454415,0.11535788742182071,1439
oos,lstm,classification,boruta_onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.02457757296466974,0.02457757296466974,0.0,-0.039354072170022514,-0.020400186294743272,-0.25328914554323245,-0.08842786863234042,0.016877637130801686,711
oos,lstm,classification,boruta_onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,1.260862675622235,0.07321275986078746,0.3226817126423677,-0.3035611464119743,0.07071665875652587,4214
oos,lstm,classification,boruta_onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1858108108108108,0.12837837837837837,0.057432432432432436,1.4052720792892086,0.25690954212471384,0.768139436057775,-0.2696931128275634,0.08565310492505353,1401
oos,lstm,classification,boruta_onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.09166666666666666,0.02638888888888889,0.06527777777777778,0.058402071749317,0.014501293385123182,0.07336304631003594,-0.25500168121215117,0.11118832522585129,1439
oos,lstm,classification,boruta_onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.02227342549923195,0.013824884792626729,0.008448540706605223,-0.1119052700123413,-0.05910537572772667,-0.7937643204036029,-0.1229939210536243,0.02531645569620253,711
oos,lstm,classification,boruta_onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,2.614667411188801,0.11773196463742575,0.40977881179123715,-0.3862834507372966,0.11817750355956336,4214
oos,lstm,classification,boruta_onchain,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.30202702702702705,0.21486486486486486,0.08716216216216216,1.0223472514796237,0.20139007769289763,0.5361013536412945,-0.2788723231726521,0.11134903640256959,1401
oos,lstm,classification,boruta_onchain,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.21805555555555556,0.07673611111111112,0.14131944444444444,1.2195426746874918,0.22413459378918832,0.7188253728411118,-0.31269512316680864,0.21125781792911744,1439
oos,lstm,classification,boruta_onchain,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.04531490015360983,0.021505376344086023,0.023809523809523808,-0.1947159171112277,-0.10521663787050672,-0.8770922405441467,-0.20627751352474702,0.053445850914205346,711
oos,lstm,classification,boruta_onchain,quantile_ls_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,7.524559767088615,0.20395740261302708,0.5659236127806843,-0.48309271453018376,0.1760797342192691,4214
oos,lstm,classification,boruta_onchain,quantile_ls_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5182432432432432,0.4060810810810811,0.11216216216216217,1.1521304624095055,0.22101684057267867,0.5045837821331208,-0.31028050729637363,0.15560314061384725,1401
oos,lstm,classification,boruta_onchain,quantile_ls_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.3770833333333333,0.1736111111111111,0.20347222222222222,4.184661742721223,0.5180555685173343,1.3028784611011461,-0.32931334226535885,0.27658095899930507,1439
oos,lstm,classification,boruta_onchain,quantile_ls_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.3172043010752688,0.02457757296466974,0.2926267281105991,-0.23601833174750042,-0.129077950450596,-0.48268591593346244,-0.3473761491084957,0.17721518987341772,711
oos,lstm,classification,boruta_onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.9662663369833981,0.8592370187212999,0.1070293182620982,14.262382007876534,0.2662535626061102,0.5125227993563465,-0.6716664292494332,0.15946843853820597,4214
oos,lstm,classification,boruta_onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.9905405405405405,0.8993243243243243,0.09121621621621621,0.3795194090418408,0.08743431975845772,0.15532109186437065,-0.6716664292494332,0.09635974304068523,1401
oos,lstm,classification,boruta_onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.9763888888888889,0.828125,0.1482638888888889,12.012996846141686,0.9171671923980174,1.4803656825998472,-0.5692064165540277,0.30020847810979845,1439
oos,lstm,classification,boruta_onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.9162826420890937,0.8824884792626728,0.03379416282642089,-0.14984892189520893,-0.07996146058706866,-0.1800235489978284,-0.5609452695834258,0.14767932489451477,711
