prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lstm,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,-0.6033369731552397,-0.07696774176718935,-0.5102974208906258,-0.6452992200512221,0.029425723777883245,4214
oos,lstm,classification,onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1918918918918919,0.1918918918918919,0.0,-0.6033369731552397,-0.2140814558239018,-0.818840137563853,-0.6452992200512221,0.08850820842255532,1401
oos,lstm,classification,onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439
oos,lstm,classification,onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,lstm,classification,onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,0.11070279863360932,0.009135551942692999,0.04219292638329663,-0.5879597783994155,0.03132415757000474,4214
oos,lstm,classification,onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3831081081081081,0.3831081081081081,0.0,0.11070279863360932,0.02773117309379991,0.07383180642337785,-0.5879597783994155,0.09421841541755889,1401
oos,lstm,classification,onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439
oos,lstm,classification,onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,lstm,classification,onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,1.2040930947811441,0.07085142341601514,0.26313515520230146,-0.579310727127062,0.037019458946369245,4214
oos,lstm,classification,onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.7391891891891892,0.7391891891891892,0.0,0.8295710171724289,0.17044061060934368,0.37120737625086236,-0.579310727127062,0.09635974304068523,1401
oos,lstm,classification,onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.013541666666666667,0.013541666666666667,0.0,0.22636187785389494,0.05312027437531719,0.6329843758506822,-0.06144315724461916,0.014593467685892982,1439
oos,lstm,classification,onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,lstm,classification,onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,-0.5835249135981159,-0.0730628094262945,-0.43251017856466434,-0.6981139058900816,0.05742762221167537,4214
oos,lstm,classification,onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1918918918918919,0.1918918918918919,0.0,-0.6033369731552397,-0.2140814558239018,-0.818840137563853,-0.6452992200512221,0.08850820842255532,1401
oos,lstm,classification,onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439
oos,lstm,classification,onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.21812596006144394,0.0,0.21812596006144394,0.04994682694456465,0.025336644417594645,0.1367520217717034,-0.18409607653554425,0.1659634317862166,711
oos,lstm,classification,onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,-0.2570193821299783,-0.02540409915092201,-0.10486229123231161,-0.7638599101808039,0.06929283341243474,4214
oos,lstm,classification,onchain,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3831081081081081,0.3831081081081081,0.0,0.11070279863360932,0.02773117309379991,0.07383180642337785,-0.5879597783994155,0.09421841541755889,1401
oos,lstm,classification,onchain,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.0024305555555555556,0.0,0.0024305555555555556,-0.07735232288482885,-0.020213590129562475,-0.7009000197448721,-0.07735232288482885,0.004169562195969423,1439
oos,lstm,classification,onchain,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.43010752688172044,0.0,0.43010752688172044,-0.2749904526977186,-0.15217571811186514,-0.5821641776621062,-0.42029573458424047,0.21659634317862167,711
oos,lstm,classification,onchain,quantile_ls_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,-0.059737935504352024,-0.005321050845579101,-0.016454339159455746,-0.7495826763453413,0.08590412909349786,4214
oos,lstm,classification,onchain,quantile_ls_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.7391891891891892,0.7391891891891892,0.0,0.8295710171724289,0.17044061060934368,0.37120737625086236,-0.579310727127062,0.09635974304068523,1401
oos,lstm,classification,onchain,quantile_ls_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.13368055555555555,0.013541666666666667,0.12013888888888889,-0.48886723703653223,-0.15652919698362122,-0.8373903911747893,-0.6276229545100167,0.05837387074357193,1439
oos,lstm,classification,onchain,quantile_ls_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6044546850998463,0.0,0.6044546850998463,0.04250968814956391,0.021601745718972554,0.059136581228352504,-0.43450093709379317,0.19971870604781997,711
oos,lstm,classification,onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,sign_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,sign_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,sign_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,sign_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
oos,lstm,classification,onchain,sign_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,8.327991851333085,0.21338664773023663,0.40562876496345135,-0.7663456370856907,0.00047460844803037496,4214
oos,lstm,classification,onchain,sign_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,1.0,0.0,0.10549277905586796,0.026473029068517562,0.046848311168524455,-0.6716664292494331,0.0007137758743754461,1401
oos,lstm,classification,onchain,sign_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,1.0,0.0,6.422121039177069,0.6626774771053099,1.0602187917749417,-0.7663456370856907,0.0,1439
oos,lstm,classification,onchain,sign_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,1.0,0.0,0.13679759321515483,0.06803523618654306,0.14502392729371621,-0.4973881729854681,0.0014064697609001407,711
