prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lstm,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.549452490286118,0.450547509713882,15.129445117555385,0.27232838078017774,0.5180699148208218,-0.7740417219260113,0.4608448030374941,4214
oos,lstm,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5013513513513513,0.49864864864864866,0.6335321689721396,0.1363857328022975,0.2413593355002623,-0.7740417219260113,0.3961456102783726,1401
oos,lstm,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5760416666666667,0.4239583333333333,12.87501568285591,0.9486132779282386,1.519969004698591,-0.7605018200296797,0.6323835997220292,1439
oos,lstm,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.5453149001536098,0.45468509984639016,-0.2625114495277092,-0.1447153882906349,-0.3091624462858667,-0.44068068138042343,0.6708860759493671,711
oos,lstm,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.3472271282232427,0.3472271282232427,0.0,5.46742460263584,0.1754992126924113,0.535705022753909,-0.6515739026222872,0.20930232558139536,4214
oos,lstm,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3547297297297297,0.3547297297297297,0.0,0.811008808861329,0.16733519179229606,0.5024290705091229,-0.43781243343078624,0.19129193433261957,1401
oos,lstm,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.40555555555555556,0.40555555555555556,0.0,2.013772436860531,0.32289563935280907,0.7745915776276937,-0.651573902622287,0.31758165392633775,1439
oos,lstm,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.20967741935483872,0.20967741935483872,0.0,0.1855435232419962,0.0913056334412714,0.355378461300961,-0.17657088055738873,0.21940928270042195,711
oos,lstm,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.21034969975273754,0.21034969975273754,0.0,5.804247201761812,0.18067974951847976,0.6840549981409236,-0.48026161624212177,0.1589938300901756,4214
oos,lstm,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.23243243243243245,0.23243243243243245,0.0,0.6081033600862782,0.13175026085063335,0.517103568818778,-0.48026161624212177,0.16416845110635261,1401
