prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,all,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.6285764747439068,0.37142352525609323,2.9188394405557556,0.12558151497156622,0.23940574803002554,-0.7903220198466167,0.5111532985287138,4214
oos,rf,classification,all,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.702027027027027,0.297972972972973,6.041639042824269,0.6628110952459818,1.1772701243682069,-0.6073698320903999,0.3975731620271235,1401
oos,rf,classification,all,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.6416666666666667,0.35833333333333334,0.07948979396432998,0.019590613384562472,0.031401492453845985,-0.7903220198466165,0.749131341209173,1439
oos,rf,classification,all,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.5161290322580645,0.4838709677419355,-0.46572826413221147,-0.27515757506506533,-0.5898405691524459,-0.6385261914876952,0.729957805907173,711
oos,rf,classification,all,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.6110914871070293,0.6110914871070293,0.0,4.466954101403169,0.1585121391376787,0.3838123319690744,-0.7756575469872306,0.2629330802088277,4214
oos,rf,classification,all,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6851351351351351,0.6851351351351351,0.0,1.6813402925543444,0.29299771063510316,0.6714886259853847,-0.5980899433048982,0.20770877944325483,1401
oos,rf,classification,all,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.625,0.625,0.0,2.4032326671618938,0.3643112056872049,0.7351518953819502,-0.7756575469872301,0.3898540653231411,1439
oos,rf,classification,all,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.49615975422427033,0.49615975422427033,0.0,-0.39012640348983907,-0.2241988735374758,-0.6026384856402978,-0.5253365416531629,0.360056258790436,711
oos,rf,classification,all,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.5923701872129989,0.5923701872129989,0.0,6.371618826208346,0.18889872641855954,0.4645200134438246,-0.7317135927405799,0.26625533934504036,4214
oos,rf,classification,all,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6716216216216216,0.6716216216216216,0.0,1.9597883720933504,0.3267120956841292,0.7690105314977879,-0.6024816808679949,0.2091363311920057,1401
oos,rf,classification,all,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.6041666666666666,0.6041666666666666,0.0,3.3177888051464866,0.4492156511694154,0.9157331635272455,-0.7317135927405769,0.3940236275191105,1439
oos,rf,classification,all,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.47619047619047616,0.47619047619047616,0.0,-0.41280980572761405,-0.23914842540193793,-0.646378443031664,-0.5340046019124421,0.36849507735583686,711
oos,rf,classification,all,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.5542211232779937,0.5542211232779937,0.0,3.6461393034293472,0.14230187114592807,0.36209894747374133,-0.7044753931277642,0.273374466065496,4214
oos,rf,classification,all,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6432432432432432,0.6432432432432432,0.0,2.4523081346107394,0.38099691918116485,0.9110424124841132,-0.5950097996021824,0.21484653818700927,1401
oos,rf,classification,all,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5590277777777778,0.5590277777777778,0.0,1.6552242147856608,0.28106916157262596,0.5972638822366353,-0.7044753931277632,0.40931202223766505,1439
oos,rf,classification,all,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.4423963133640553,0.4423963133640553,0.0,-0.4840359358153824,-0.2880165427271447,-0.8247649506855232,-0.5268199288049853,0.36849507735583686,711
oos,rf,classification,all,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.6285764747439068,0.6285764747439068,0.0,5.046065031753047,0.16865973713415405,0.4031514917522412,-0.7582184178300514,0.2558139534883721,4214
oos,rf,classification,all,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.702027027027027,0.702027027027027,0.0,1.790068299264406,0.3064573248697724,0.699820849545743,-0.6067651718855613,0.19914346895074947,1401
oos,rf,classification,all,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.6416666666666667,0.6416666666666667,0.0,1.8305660054765855,0.3020177989345998,0.5974123293737694,-0.7582184178300515,0.3745656706045865,1439
oos,rf,classification,all,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.5161290322580645,0.5161290322580645,0.0,-0.22066770665050395,-0.12013793665517669,-0.3185979254396631,-0.47904456968156645,0.3656821378340366,711
oos,rf,classification,all,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.05015895443306252,0.05015895443306252,0.0,0.21080909864981123,0.01670670159236276,0.11266872441150699,-0.48598986008585987,0.05600379686758424,4214
