prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.6716707877075239,0.32832921229247614,23.46798739540033,0.31909138465474274,0.6086609812422568,-0.6808851365476185,0.50640721404841,4214
oos,rf,classification,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.7141891891891892,0.28581081081081083,8.708341217716994,0.8079195978986797,1.4360450210271305,-0.5416313594978668,0.3947180585296217,1401
oos,rf,classification,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.7444444444444445,0.25555555555555554,4.22624287087471,0.5211344990700875,0.8355595465637916,-0.6694998618480087,0.6615705350938151,1439
oos,rf,classification,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.46236559139784944,0.5376344086021505,-0.5173004960472907,-0.31196285305708005,-0.6703854089597046,-0.6808851365476174,0.8818565400843882,711
oos,rf,classification,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.6465913104909926,0.6465913104909926,0.0,12.813527789248232,0.25536111259536876,0.5876122229134476,-0.6738216333229151,0.25961082107261507,4214
oos,rf,classification,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6918918918918919,0.6918918918918919,0.0,1.8822742704139541,0.3175709435940246,0.7280622848448125,-0.4889259099071873,0.20628122769450394,1401
oos,rf,classification,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.715625,0.715625,0.0,5.852195834350295,0.6293217511426852,1.1354021134617593,-0.6738216333229073,0.3460736622654621,1439
oos,rf,classification,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.4423963133640553,0.4423963133640553,0.0,-0.3002617546528732,-0.16747761680618078,-0.4796025974586092,-0.5751961251770088,0.43037974683544306,711
oos,rf,classification,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.6245143058989756,0.6245143058989756,0.0,17.547703878565997,0.2878173533418198,0.672623519191483,-0.5984546408634401,0.26578073089701,4214
oos,rf,classification,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6777027027027027,0.6777027027027027,0.0,1.8946436798229613,0.3190417464035784,0.738923578328575,-0.4805017595654532,0.21341898643825838,1401
oos,rf,classification,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.690625,0.690625,0.0,7.727151651848439,0.7324103866855403,1.3457937382923997,-0.5984546408634279,0.35858234885337037,1439
oos,rf,classification,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.41781874039938555,0.41781874039938555,0.0,-0.265454678632024,-0.14646937001950588,-0.42713172979414676,-0.5458599578218131,0.42756680731364277,711
oos,rf,classification,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5805369127516778,0.5805369127516778,0.0,8.386868085302506,0.2140481034275452,0.5138641159382242,-0.6885184346892762,0.26957759848125296,4214
oos,rf,classification,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6432432432432432,0.6432432432432432,0.0,1.7158437323343017,0.2973119784544678,0.6961408757557919,-0.49784144408636394,0.21912919343326195,1401
oos,rf,classification,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.64375,0.64375,0.0,5.509772208220129,0.608272494542931,1.1538129698900763,-0.6885184346892682,0.3863794301598332,1439
oos,rf,classification,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.369431643625192,0.369431643625192,0.0,-0.468814486020098,-0.27731007701751076,-0.8541628388441337,-0.5746545185899853,0.38255977496483823,711
oos,rf,classification,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.6716707877075239,0.6716707877075239,0.0,14.107520876794933,0.2651355157753079,0.5979753600742005,-0.6877672143890614,0.2534409112482202,4214
oos,rf,classification,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.7141891891891892,0.7141891891891892,0.0,2.276049620014429,0.36227042321537395,0.806764866583145,-0.5547278164649468,0.19771591720199858,1401
oos,rf,classification,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7444444444444445,0.7444444444444445,0.0,5.2281463669192485,0.5903320632030604,1.0478485498364152,-0.6877672143890544,0.33078526754690757,1439
oos,rf,classification,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.46236559139784944,0.46236559139784944,0.0,-0.25923577682261856,-0.14276729137281696,-0.4039268837331918,-0.542514971990629,0.44163150492264414,711
oos,rf,classification,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,4.176837924182931,0.15305346836161782,1.0450031653942429,-0.16059894703754435,0.04935927859515899,4214
oos,rf,classification,boruta_onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.08648648648648649,0.08648648648648649,0.0,1.6784872347118105,0.2926391339427201,1.706521122640074,-0.14669533362609335,0.07137758743754462,1401
oos,rf,classification,boruta_onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.05381944444444445,0.05381944444444445,0.0,0.985652580489637,0.1900430614943056,1.0315156273669843,-0.14555446935911812,0.07366226546212648,1439
oos,rf,classification,boruta_onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0007680491551459293,0.0007680491551459293,0.0,-0.026643971772127517,-0.013767853161839372,-0.7248618247857579,-0.026643971772127517,0.0028129395218002813,711
oos,rf,classification,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,2.726148204095912,0.1206765663366578,0.6038262396496445,-0.5220098871998109,0.09349786426198387,4214
oos,rf,classification,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.14662162162162162,0.14662162162162162,0.0,1.640747069430187,0.2878691002314506,1.4625932091289575,-0.16234163314926645,0.11777301927194861,1401
