prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,boruta_ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.4425997880607559,0.557400211939244,2.3856167594056146,0.11141212248335863,0.21204611549095187,-0.7967586502765903,0.4736592311343142,4214
oos,rf,classification,boruta_ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.581081081081081,0.4189189189189189,7.960790626694205,0.7705698701462373,1.3662115406356614,-0.4810831133887653,0.3361884368308351,1401
oos,rf,classification,boruta_ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.45208333333333334,0.5479166666666667,-0.7019197136097133,-0.2643597411434695,-0.4232010492524323,-0.7956728448971172,0.7449617790132036,1439
oos,rf,classification,boruta_ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.2642089093701997,0.7357910906298003,0.2688596165645507,0.130026282059313,0.2784795010840701,-0.33328801761587357,0.6343178621659634,711
oos,rf,classification,boruta_ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.43429883433415756,0.43429883433415756,0.0,4.3354500862981755,0.15607145775615372,0.46022527932912366,-0.6886719020071687,0.23825344091124823,4214
oos,rf,classification,boruta_ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5743243243243243,0.5743243243243243,0.0,2.240380993983789,0.3583906189590844,0.9537974326137488,-0.511308326792235,0.17273376159885795,1401
oos,rf,classification,boruta_ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.44375,0.44375,0.0,0.4574786068672354,0.10026532928290033,0.25589988154205834,-0.6886719020071697,0.3752605976372481,1439
oos,rf,classification,boruta_ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.2542242703533026,0.2542242703533026,0.0,0.13029015173921188,0.06489225215054062,0.2129700121221915,-0.35649258413389484,0.3108298171589311,711
oos,rf,classification,boruta_ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.424408336276934,0.424408336276934,0.0,3.7565205641284525,0.14462736655107467,0.43271253855745634,-0.6692530209971179,0.23967726625533933,4214
oos,rf,classification,boruta_ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5635135135135135,0.5635135135135135,0.0,2.226733623100053,0.3568977910971034,0.961480889275216,-0.49406392733172433,0.17987152034261242,1401
oos,rf,classification,boruta_ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.4357638888888889,0.4357638888888889,0.0,0.4621959561130782,0.10116752643525229,0.2605005916798791,-0.6692530209971189,0.38082001389854064,1439
oos,rf,classification,boruta_ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.2411674347158218,0.2411674347158218,0.0,0.00864382235023875,0.004428112259289518,0.015147156117950525,-0.36390838554916116,0.2939521800281294,711
