prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.6080890144825151,0.391910985517485,9.156963692569457,0.22236780830863445,0.42356549288941486,-0.7218663348930398,0.50640721404841,4214
oos,rf,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.6614864864864864,0.3385135135135135,7.269176473433324,0.7339029515770266,1.3028652327932824,-0.6738769236028436,0.4161313347608851,1401
oos,rf,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.6326388888888889,0.36736111111111114,-0.03976285484444786,-0.010239003017948,-0.016394743507537266,-0.7218663348930388,0.7102154273801251,1439
oos,rf,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.4930875576036866,0.5069124423963134,0.32562341619256396,0.15570181676472172,0.33314020575279085,-0.4041529359025984,0.7440225035161744,711
oos,rf,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5874249381843871,0.5874249381843871,0.0,5.12765784012723,0.17001743624894305,0.4242805933493218,-0.7339354015531977,0.25486473659231135,4214
oos,rf,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6486486486486487,0.6486486486486487,0.0,1.9059327373093287,0.32038003743943855,0.7955205923902323,-0.621340530762405,0.20628122769450394,1401
oos,rf,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.6100694444444444,0.6100694444444444,0.0,0.6315519179248732,0.13220709119171836,0.26685949476849596,-0.7339354015531981,0.36205698401667824,1439
oos,rf,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.46774193548387094,0.46774193548387094,0.0,0.3156671488699192,0.15123764039306864,0.4107186090684,-0.4245066528187408,0.37130801687763715,711
oos,rf,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5687036382903567,0.5687036382903567,0.0,5.044531431540525,0.16863405825429578,0.4258241083581898,-0.7411737816177997,0.258186995728524,4214
oos,rf,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.6371621621621621,0.6371621621621621,0.0,1.8697965180987328,0.316082521415314,0.7895772285096992,-0.6228722893990417,0.2105638829407566,1401
oos,rf,classification,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5854166666666667,0.5854166666666667,0.0,0.6196663091762431,0.13010929867619758,0.2672671344405572,-0.7411737816178,0.37178596247394025,1439
