prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.6080890144825151,0.391910985517485,9.156963692569457,0.22236780830863445,0.42356549288941486,-0.7218663348930398,0.50640721404841,4214
oos,rf,classification,onchain,long_only_sign,2018-03-17,5.0,0.6080890144825151,0.6080890144825151,0.0,8.743395317969332,0.2179744406707087,0.5338942747237079,-0.7158325987323135,0.25296630280018984,4214
oos,rf,classification,onchain,sign_band_0.0025,2018-03-17,5.0,0.9602613917343695,0.5874249381843871,0.37283645354998235,6.656266528040482,0.19280666507176414,0.3736409812583926,-0.7543157694293332,0.5021357380161366,4214
oos,rf,classification,onchain,sign_band_0.005,2018-03-17,5.0,0.9277640409749205,0.5687036382903567,0.35906040268456374,5.148855318285256,0.17036745814312027,0.3338818147206832,-0.7458281151143251,0.5049833887043189,4214
oos,rf,classification,onchain,long_only_band_0.0025,2018-03-17,5.0,0.5874249381843871,0.5874249381843871,0.0,5.12765784012723,0.17001743624894305,0.4242805933493218,-0.7339354015531977,0.25486473659231135,4214
oos,rf,classification,onchain,long_only_band_0.005,2018-03-17,5.0,0.5687036382903567,0.5687036382903567,0.0,5.044531431540525,0.16863405825429578,0.4258241083581898,-0.7411737816177997,0.258186995728524,4214
oos,rf,classification,onchain,long_only_band_0.01,2018-03-17,5.0,0.5291416460614624,0.5291416460614624,0.0,3.993379995230529,0.14945553879107543,0.3889560860925425,-0.7156130965890706,0.2638822971048885,4214
oos,rf,classification,onchain,sign_band_0.01,2018-03-17,5.0,0.854291769692688,0.5291416460614624,0.3251501236312257,3.7413853784280695,0.1443114351679886,0.2916859729378599,-0.7932409148010884,0.4959658281917418,4214
oos,rf,classification,onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,1.2414531249869953,0.07241157226659656,0.21522115871382289,-0.6070184365823594,0.3554817275747508,4214
oos,rf,classification,onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,0.9413652064188289,0.05914326493507427,0.22529825838369855,-0.7130741030441071,0.2097769340294257,4214
oos,rf,classification,onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.491941474121371,0.03526061457053942,0.2184055584964197,-0.48605738916766383,0.11200759373516848,4214
oos,rf,classification,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,0.1463771226358348,0.011902605455841764,0.07116610612394465,-0.539072508013403,0.10299003322259136,4214
oos,rf,classification,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.14021698446605968,0.01143046835375805,0.0913248290499584,-0.358608485614035,0.054105363075462744,4214
oos,rf,classification,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,0.12424741630277181,0.01019556214297257,0.0456028703371671,-0.4922579584578367,0.17987660180351212,4214
