prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.49841045566937475,0.5015895443306252,14.055047385961254,0.2647542989909004,0.5048415423801036,-0.728989111431999,0.4238253440911248,4214
oos,rf,classification,ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.6864864864864865,0.31351351351351353,5.426219279610645,0.6236603974790156,1.1075345842945115,-0.728989111431999,0.2790863668807994,1401
oos,rf,classification,ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.49930555555555556,0.5006944444444444,2.491451326539847,0.37319616888536133,0.5985188784496044,-0.5531812316579963,0.6907574704656011,1439
oos,rf,classification,ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.282642089093702,0.717357910906298,-0.32829905635431944,-0.1847725451327441,-0.3958184960962086,-0.5981148952901716,0.5611814345991561,711
oos,rf,classification,ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.48904980572235957,0.48904980572235957,0.0,10.498927502231105,0.2355773547632638,0.6305190761629783,-0.6715004972537314,0.21309919316563836,4214
oos,rf,classification,ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6790540540540541,0.6790540540540541,0.0,1.676159902214836,0.2923464219931222,0.6560506348719213,-0.6715004972537314,0.1441827266238401,1401
oos,rf,classification,ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.48993055555555554,0.48993055555555554,0.0,3.821572815892603,0.49035492006272285,1.1867725244098777,-0.5909292515347087,0.3467685892981237,1439
oos,rf,classification,ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.27112135176651303,0.27112135176651303,0.0,-0.10839253909800084,-0.0571966985248048,-0.19014237578446627,-0.36282653790855846,0.27566807313642755,711
oos,rf,classification,ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.4798657718120805,0.4798657718120805,0.0,9.953333520122715,0.23038601674851655,0.6198915113770274,-0.6692155768800031,0.21404841006169908,4214
oos,rf,classification,ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6743243243243243,0.6743243243243243,0.0,1.6947742752437298,0.2946823324386876,0.6613177224569691,-0.6692155768800031,0.1441827266238401,1401
oos,rf,classification,ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.4777777777777778,0.4777777777777778,0.0,3.846199843724567,0.4922820851669054,1.2030896686224406,-0.5663525186337366,0.3481584433634468,1439
oos,rf,classification,ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.26344086021505375,0.26344086021505375,0.0,-0.16084971402706427,-0.08609245857505043,-0.2895244680241962,-0.3777589228730371,0.27848101265822783,711
oos,rf,classification,ta,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.45831861533027196,0.45831861533027196,0.0,11.437081651988747,0.2439994320232044,0.667920653688656,-0.6323954004414588,0.21689606074988135,4214
oos,rf,classification,ta,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6554054054054054,0.6554054054054054,0.0,1.8482495865192656,0.3135009663739923,0.717961855688717,-0.6323954004414588,0.15132048536759457,1401
oos,rf,classification,ta,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.4545138888888889,0.4545138888888889,0.0,4.055822163888565,0.5083969238127859,1.2612296800611085,-0.5588148367698825,0.35232800555941624,1439
