prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,classification,univariate,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.546803249735076,0.45319675026492406,-0.6289260815570867,-0.08228386659109588,-0.1564521512948855,-0.857079068225531,0.1879449454200285,4214
oos,rf,classification,univariate,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.7952702702702703,0.20472972972972972,0.1431587869805473,0.035472088582133354,0.06277811425598785,-0.6303247936118956,0.11634546752319772,1401
oos,rf,classification,univariate,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.5649305555555556,0.43506944444444445,-0.4280035643110348,-0.13211294143937458,-0.21129244551773818,-0.8118286794299819,0.24878387769284224,1439
oos,rf,classification,univariate,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.22427035330261136,0.7757296466973886,-0.411891335216506,-0.2385377021762214,-0.5091952585657912,-0.6780427512410748,0.38115330520393814,711
oos,rf,classification,univariate,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.5333804309431296,0.5333804309431296,0.0,0.812873665503528,0.05287975161060987,0.13737963701161873,-0.6045255253571677,0.09349786426198387,4214
oos,rf,classification,univariate,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.7709459459459459,0.7709459459459459,0.0,0.09313215699922606,0.023470480330596732,0.04704977886988228,-0.5913630832544554,0.06209850107066381,1401
oos,rf,classification,univariate,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5520833333333334,0.5520833333333334,0.0,1.0359154228096843,0.19761272501210225,0.4766874107155711,-0.604525525357168,0.1202223766504517,1439
oos,rf,classification,univariate,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.22196620583717358,0.22196620583717358,0.0,-0.17077360548519216,-0.09165691874182058,-0.45781308857686875,-0.39312511770485054,0.18846694796061886,711
oos,rf,classification,univariate,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.520840692334864,0.520840692334864,0.0,1.1179157432889473,0.06715847985752021,0.17577966339607803,-0.6055019473636073,0.08875177978168011,4214
oos,rf,classification,univariate,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.7567567567567568,0.7567567567567568,0.0,0.1361308716776961,0.0338098143581651,0.06824108952110461,-0.5752892150787488,0.06209850107066381,1401
oos,rf,classification,univariate,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5375,0.5375,0.0,1.0518372361656412,0.1999814668028561,0.4857330426286049,-0.6055019473636076,0.11188325225851285,1439
oos,rf,classification,univariate,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.21582181259600614,0.21582181259600614,0.0,-0.07514129123466684,-0.03930747225316811,-0.20022348081436497,-0.38136184734029105,0.17721518987341772,711
oos,rf,classification,univariate,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.4975273754856941,0.4975273754856941,0.0,0.897479902570544,0.0570477512666252,0.15166994280179807,-0.6258099626170531,0.09065021357380161,4214
oos,rf,classification,univariate,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.7385135135135135,0.7385135135135135,0.0,-0.05789779447870225,-0.015418198905790104,-0.03145446738847529,-0.6258099626170531,0.06566738044254104,1401
oos,rf,classification,univariate,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5090277777777777,0.5090277777777777,0.0,1.0855793595169039,0.20495640968047413,0.5050963638763263,-0.5854270846508832,0.12369701181375956,1439
oos,rf,classification,univariate,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.19815668202764977,0.19815668202764977,0.0,-0.0342772906723644,-0.017745949095430702,-0.09908356252457208,-0.3321576676906109,0.15752461322081576,711
oos,rf,classification,univariate,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.546803249735076,0.546803249735076,0.0,0.8614074226857351,0.05529188269376539,0.14280866382710522,-0.6261024109594476,0.09397247271001424,4214
oos,rf,classification,univariate,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.7952702702702703,0.7952702702702703,0.0,0.12473026552731814,0.031097046184921817,0.06198888612029042,-0.6207809318221608,0.057815845824411134,1401
oos,rf,classification,univariate,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5649305555555556,0.5649305555555556,0.0,1.0604433454141295,0.2012561196264222,0.48223297648533386,-0.6261024109594479,0.12439193884642112,1439
oos,rf,classification,univariate,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.22427035330261136,0.22427035330261136,0.0,-0.18234450122630852,-0.09818595869028113,-0.4898713930477191,-0.3931251177048505,0.19127988748241911,711
oos,rf,classification,univariate,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.05263157894736842,0.05263157894736842,0.0,-0.07416071645460898,-0.00665194334253183,-0.05201227005296714,-0.38988480495949296,0.021831988609397248,4214
oos,rf,classification,univariate,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.14527027027027026,0.14527027027027026,0.0,-0.14047667987622348,-0.038670503509521836,-0.19851045384405414,-0.38988480495949296,0.05424696645253391,1401
oos,rf,classification,univariate,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.025347222222222222,0.025347222222222222,0.0,0.09776159565703213,0.02394067791241472,0.2294912995724912,-0.14731598466745233,0.009728978457261988,1439
