prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,boruta_all,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.6388202048746026,0.3611797951253974,3.800205457335898,0.1455341207706895,0.27599957703412487,-0.764755993852726,0.40816326530612246,4214
oos,rf,regression,boruta_all,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.6324324324324324,0.3675675675675676,2.369754068175947,0.3723162561338471,0.6576324757176257,-0.5777528396429382,0.29764453961456105,1401
oos,rf,regression,boruta_all,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.59375,0.40625,2.3916531704658195,0.36313225473090416,0.5792843489368027,-0.6763203145082316,0.6365531619179986,1439
oos,rf,regression,boruta_all,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.7457757296466974,0.2542242703533026,-0.59391051457703,-0.37037569219313293,-0.7890885489816679,-0.6467299868347258,0.5386779184247539,711
oos,rf,regression,boruta_all,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.24814553161427058,0.24814553161427058,0.0,9.70877457694734,0.22798195086207307,0.8226645708037909,-0.46584915877251354,0.11770289511153298,4214
oos,rf,regression,boruta_all,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.31486486486486487,0.31486486486486487,0.0,1.9487457163596824,0.32542074480921346,1.0844784268669856,-0.2934482256103787,0.12276945039257674,1401
oos,rf,regression,boruta_all,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.2520833333333333,0.2520833333333333,0.0,2.8543998913163673,0.40807885864915394,1.2163592508887644,-0.4658491587725112,0.1723419041000695,1439
oos,rf,regression,boruta_all,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.16359447004608296,0.16359447004608296,0.0,-0.0577943954752671,-0.030099037922813543,-0.13487515800846975,-0.25993990632007524,0.10689170182841069,711
oos,rf,regression,boruta_all,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.1218650653479336,0.1218650653479336,0.0,4.748882134891704,0.1635689081683529,0.8357715021358815,-0.37924497488121867,0.0854295206454675,4214
oos,rf,regression,boruta_all,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.1331081081081081,0.1331081081081081,0.0,1.0917010540098282,0.21199041709264965,0.9699876318528194,-0.37924497488121867,0.0913633119200571,1401
oos,rf,regression,boruta_all,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.12465277777777778,0.12465277777777778,0.0,1.2374174900331019,0.22662768546159584,0.9726665490840569,-0.21079973863176663,0.12369701181375956,1439
oos,rf,regression,boruta_all,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.10291858678955453,0.10291858678955453,0.0,0.22839138169679463,0.11137865161664884,0.7335018860688967,-0.09033904336157539,0.0759493670886076,711
oos,rf,regression,boruta_all,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.019604380077711057,0.019604380077711057,0.0,0.5952372231860488,0.04128094841015728,0.351804370887801,-0.228490170013449,0.022306597057427623,4214
oos,rf,regression,boruta_all,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.03783783783783784,0.03783783783783784,0.0,0.1862538726800529,0.04550320247714068,0.2994115322609075,-0.228490170013449,0.028551034975017844,1401
oos,rf,regression,boruta_all,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.018055555555555554,0.018055555555555554,0.0,0.19151691678135618,0.04544862238677805,0.37945286008074525,-0.1966661319001918,0.03474635163307853,1439
oos,rf,regression,boruta_all,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.002304147465437788,0.002304147465437788,0.0,0.12861916037734433,0.06408377173955193,0.7606411942656143,-0.000499875020830709,0.005625879043600563,711
oos,rf,regression,boruta_all,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.6388202048746026,0.6388202048746026,0.0,5.6948544467932205,0.17902341201490124,0.44987027255973033,-0.6887718226969306,0.20408163265306123,4214
oos,rf,regression,boruta_all,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6324324324324324,0.6324324324324324,0.0,0.9310530525059744,0.18701839243727947,0.4679141984755956,-0.5622408667469013,0.14846538187009278,1401
oos,rf,regression,boruta_all,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.59375,0.59375,0.0,4.0172961198345245,0.5054731144251141,1.0648155066394551,-0.6887718226969296,0.3182765809589993,1439
oos,rf,regression,boruta_all,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.7457757296466974,0.7457757296466974,0.0,-0.3205579129470908,-0.17996283846566075,-0.4398943070373759,-0.5528701262724515,0.270042194092827,711
oos,rf,regression,boruta_all,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.05015895443306252,0.05015895443306252,0.0,1.2189869286210873,0.07147626161237519,0.4969073343298884,-0.276958317586013,0.04983388704318937,4214
