prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,boruta_all,sign_band_0.0025,5.0,0.304662663369834,0.24814553161427058,0.0565171317555634,30.193974466647173,0.3471330504773438,1.0111750747101051,-0.471968399694811,0.17750355956336022,4214
oos,rf,regression,boruta_all,quantile_ls_0.10,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,13.14514947541213,0.25794331300874274,0.8676165357371647,-0.391601156009155,0.17560512577123874,4214
oos,rf,regression,boruta_all,sign_band_0.005,5.0,0.14676792652772871,0.1218650653479336,0.024902861179795125,12.035121846657724,0.24907022432700487,0.9395496770941395,-0.3946399430916809,0.11485524442335074,4214
oos,rf,regression,boruta_all,quantile_ls_0.20,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,10.04259185448567,0.23125124620659432,0.6172356267789466,-0.49426257737100077,0.2510678690080683,4214
oos,rf,regression,boruta_all,long_only_band_0.0025,5.0,0.24814553161427058,0.24814553161427058,0.0,9.70877457694734,0.22798195086207307,0.8226645708037909,-0.46584915877251354,0.11770289511153298,4214
oos,rf,regression,boruta_all,quantile_long_only_0.20,5.0,0.2001059696220417,0.2001059696220417,0.0,6.603879548926007,0.19209751912210016,0.7809319637330315,-0.40731550815511885,0.10726150925486473,4214
oos,rf,regression,boruta_all,quantile_ls_0.05,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,6.104043357722159,0.1850973988708473,0.7512211033891149,-0.3907182400077257,0.10393925011865211,4214
oos,rf,regression,boruta_all,long_only_sign,5.0,0.6388202048746026,0.6388202048746026,0.0,5.6948544467932205,0.17902341201490124,0.44987027255973033,-0.6887718226969306,0.20408163265306123,4214
oos,rf,regression,boruta_all,long_only_band_0.005,5.0,0.1218650653479336,0.1218650653479336,0.0,4.748882134891704,0.1635689081683529,0.8357715021358815,-0.37924497488121867,0.0854295206454675,4214
oos,rf,regression,boruta_all,quantile_long_only_0.10,5.0,0.10014129282938891,0.10014129282938891,0.0,4.041028566527986,0.15040147208549226,0.8243851468348922,-0.36617296871260596,0.08258186995728524,4214
oos,rf,regression,boruta_all,full_exposure_sign,5.0,1.0,0.6388202048746026,0.3611797951253974,3.800205457335898,0.1455341207706895,0.27599957703412487,-0.764755993852726,0.40816326530612246,4214
oos,rf,regression,boruta_all,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,1.2189869286210873,0.07147626161237519,0.4969073343298884,-0.276958317586013,0.04983388704318937,4214
oos,rf,regression,boruta_all,sign_band_0.01,5.0,0.03179088661250441,0.019604380077711057,0.012186506534793359,0.9553997597875807,0.059804285221562115,0.4054252446121724,-0.28076341755295203,0.037019458946369245,4214
oos,rf,regression,boruta_all,long_only_band_0.01,5.0,0.019604380077711057,0.019604380077711057,0.0,0.5952372231860488,0.04128094841015728,0.351804370887801,-0.228490170013449,0.022306597057427623,4214
