prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5828329212292476,0.4171670787707524,2.5019664847836025,0.11466958135222449,0.21759336562244555,-0.8271178414547399,0.5030849549121974,4214
oos,rf,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.6155405405405405,0.3844594594594595,2.2583871724029825,0.36035314101954286,0.6370399426656773,-0.8010866457766062,0.38900785153461814,1401
oos,rf,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5784722222222223,0.4215277777777778,2.300048937179862,0.35369818819122867,0.564736751497733,-0.8271178414547397,0.7394023627519111,1439
oos,rf,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.5552995391705069,0.4447004608294931,-0.685108833606533,-0.44744574355749445,-0.9530255546786691,-0.7004966487739521,0.7130801687763713,711
oos,rf,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2393147297774638,0.2393147297774638,0.0,6.586260115581219,0.19185800736005398,0.722292136132203,-0.5941400546356156,0.15994304698623635,4214
oos,rf,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.20270270270270271,0.20270270270270271,0.0,2.4685807773512787,0.3826898550504596,1.6057783083675898,-0.18222972533337906,0.14846538187009278,1401
oos,rf,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.27743055555555557,0.27743055555555557,0.0,1.3481147476558721,0.24174479755152745,0.6905196305063173,-0.5941400546356134,0.25573314801945796,1439
oos,rf,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1966205837173579,0.1966205837173579,0.0,-0.06855631962901843,-0.03580208660548678,-0.14852363571010793,-0.2790206506107354,0.13783403656821377,711
oos,rf,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.1139173436948075,0.1139173436948075,0.0,1.803732869819752,0.09340530057009522,0.5015764284322354,-0.4109231790799351,0.1006169909824395,4214
oos,rf,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.12094594594594595,0.12094594594594595,0.0,1.2409332396709227,0.23394730363697858,1.1975447027351533,-0.2570301122333811,0.09850107066381156,1401
oos,rf,regression,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.1326388888888889,0.1326388888888889,0.0,0.29976459307849823,0.06876345626326508,0.2940622714467187,-0.4019853648292662,0.15983321751216123,1439
oos,rf,regression,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.06451612903225806,0.06451612903225806,0.0,-0.03740630555890434,-0.019381051958636375,-0.13828287083559312,-0.15518955173859827,0.07876230661040788,711
oos,rf,regression,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.027375485694101025,0.027375485694101025,0.0,0.23196955257294682,0.018233570127337284,0.16995596060509885,-0.3544568896135287,0.030374940673943997,4214
oos,rf,regression,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.04527027027027027,0.04527027027027027,0.0,0.2335767527263799,0.05621263701826851,0.48074291403522856,-0.21487214418932235,0.03997144896502498,1401
oos,rf,regression,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.030208333333333334,0.030208333333333334,0.0,-0.11157665437983366,-0.029562573782934587,-0.2274196013083488,-0.3544568896135289,0.048644892286309936,1439
oos,rf,regression,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0007680491551459293,0.0007680491551459293,0.0,0.12412300600741144,0.06190548784639671,0.7352945695730546,-0.000499875020830709,0.0028129395218002813,711
oos,rf,regression,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5828329212292476,0.5828329212292476,0.0,4.718303724631931,0.1630315309980186,0.41291280771997846,-0.7561114635467682,0.2515424774560987,4214
