prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,boruta_onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,13.212349000247075,0.25845982171019166,0.6944792703046592,-0.6370285736483073,0.3146654010441386,4214
oos,rf,regression,boruta_onchain,sign_band_0.0025,2018-03-17,5.0,0.30801836806782057,0.2393147297774638,0.06870363829035676,9.333659562404714,0.2241952210816116,0.6736973073804893,-0.7013494669298899,0.23113431419079258,4214
oos,rf,regression,boruta_onchain,long_only_band_0.0025,2018-03-17,5.0,0.2393147297774638,0.2393147297774638,0.0,6.586260115581219,0.19185800736005398,0.722292136132203,-0.5941400546356156,0.15994304698623635,4214
oos,rf,regression,boruta_onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,6.500112408980864,0.19067958310587252,0.7612259983745882,-0.5559585313640931,0.14570479354532512,4214
oos,rf,regression,boruta_onchain,sign_band_0.005,2018-03-17,5.0,0.14659131049099258,0.1139173436948075,0.032673966796185096,5.574848159766273,0.17717769443209486,0.6956111379468651,-0.39518995595528195,0.136687233032748,4214
oos,rf,regression,boruta_onchain,long_only_sign,2018-03-17,5.0,0.5828329212292476,0.5828329212292476,0.0,4.718303724631931,0.1630315309980186,0.41291280771997846,-0.7561114635467682,0.2515424774560987,4214
oos,rf,regression,boruta_onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,3.9984942710164706,0.14955746291361383,0.5184856486774989,-0.5093335940604946,0.1879449454200285,4214
oos,rf,regression,boruta_onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,2.594247012270523,0.11718361828169965,0.5080331396204961,-0.35360490139959455,0.10583768391077361,4214
oos,rf,regression,boruta_onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.5828329212292476,0.4171670787707524,2.5019664847836025,0.11466958135222449,0.21759336562244555,-0.8271178414547399,0.5030849549121974,4214
oos,rf,regression,boruta_onchain,long_only_band_0.005,2018-03-17,5.0,0.1139173436948075,0.1139173436948075,0.0,1.803732869819752,0.09340530057009522,0.5015764284322354,-0.4109231790799351,0.1006169909824395,4214
oos,rf,regression,boruta_onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,1.6493243178656,0.08805359876665086,0.48751770546639017,-0.3709670222114468,0.09017560512577123,4214
oos,rf,regression,boruta_onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.6333050819259007,0.043410126480379674,0.3181424250272118,-0.4214328533632736,0.053156146179401995,4214
oos,rf,regression,boruta_onchain,sign_band_0.01,2018-03-17,5.0,0.0430943129636171,0.027375485694101025,0.01571882726951607,0.5327553134526752,0.03768352690355625,0.27341622852938813,-0.2443866179755406,0.04888467014712862,4214
oos,rf,regression,boruta_onchain,long_only_band_0.01,2018-03-17,5.0,0.027375485694101025,0.027375485694101025,0.0,0.23196955257294682,0.018233570127337284,0.16995596060509885,-0.3544568896135287,0.030374940673943997,4214
