prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,boruta_ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.41504768632991873,0.5849523136700813,-0.09357666803914821,-0.008473817697492003,-0.01608959741088488,-0.9076083491968026,0.19269102990033224,4214
oos,rf,regression,boruta_ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.547972972972973,0.452027027027027,7.130118201088061,0.726258743753146,1.2858322280256118,-0.5981137237757694,0.16059957173447537,1401
oos,rf,regression,boruta_ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.4545138888888889,0.5454861111111111,-0.7526075155277245,-0.2983290818302192,-0.47668750145736255,-0.8832119402686824,0.2529534398888117,1439
oos,rf,regression,boruta_ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.17665130568356374,0.8233486943164362,-0.5493194826628627,-0.33578363319369653,-0.7151246357156463,-0.6464997659273959,0.3136427566807314,711
oos,rf,regression,boruta_ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.21052631578947367,0.21052631578947367,0.0,-0.037957557409835085,-0.00334614500134911,-0.013720217791193623,-0.5870240803943639,0.07878500237304224,4214
oos,rf,regression,boruta_ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.35,0.35,0.0,-0.02678492558675849,-0.007048429494524333,-0.022507474045517017,-0.5870240803943639,0.10278372591006424,1401
oos,rf,regression,boruta_ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.23194444444444445,0.23194444444444445,0.0,-0.005045545159357956,-0.0012822110852475088,-0.004569863758271094,-0.45719256539241615,0.12786657400972898,1439
oos,rf,regression,boruta_ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.004608294930875576,0.004608294930875576,0.0,-0.006467211596475675,-0.0033252583853949913,-0.30533621165881436,-0.013524982839373633,0.005625879043600563,711
oos,rf,regression,boruta_ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.08442246555987283,0.08442246555987283,0.0,-0.008148108656972797,-0.0007083968950042374,-0.004278335710269865,-0.42366686373812057,0.05505457997152349,4214
oos,rf,regression,boruta_ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.16486486486486487,0.16486486486486487,0.0,0.6478418503373358,0.13897085449062674,0.6311039464368187,-0.18285694061489347,0.07566024268379729,1401
oos,rf,regression,boruta_ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.08125,0.08125,0.0,-0.39809036216674476,-0.12081863632885304,-0.664845613705624,-0.39809036216674476,0.08756080611535788,1439
oos,rf,regression,boruta_ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,rf,regression,boruta_ta,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.013246202755210172,0.013246202755210172,0.0,0.48444932739097957,0.03480927794962785,0.342411244888573,-0.17401928485000787,0.010915994304698624,4214
