prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.46255740021193925,0.5374425997880607,-0.4815218571892437,-0.05530616545041467,-0.10506803443811273,-0.928946722353095,0.3692453725676317,4214
oos,rf,regression,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.4101351351351351,0.5898648648648649,4.771885205651094,0.5788639972340075,1.0254411689445935,-0.47598484249275896,0.27480371163454675,1401
oos,rf,regression,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.4982638888888889,0.5017361111111112,-0.7581155160333228,-0.3023249718799278,-0.4833328397059412,-0.9287454446251421,0.48922863099374564,1439
oos,rf,regression,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.4431643625192012,0.5568356374807988,-0.6409323191306465,-0.4089221794690745,-0.8707856778514086,-0.6611405453961383,0.6511954992967651,711
oos,rf,regression,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.29494878134934654,0.29494878134934654,0.0,0.6583228523309754,0.044784850570857904,0.1681135261066544,-0.7125087430677217,0.14902705268153774,4214
oos,rf,regression,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.2905405405405405,0.2905405405405405,0.0,0.6121329568810387,0.1324884216790021,0.5030594008323156,-0.3132104932122939,0.13990007137758745,1401
oos,rf,regression,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.36875,0.36875,0.0,-0.0809868594782085,-0.02119401892584627,-0.05937000881779819,-0.712508743067721,0.2404447533009034,1439
oos,rf,regression,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.13671274961597543,0.13671274961597543,0.0,0.1193000108345581,0.059564138434098135,0.3682082381482433,-0.0931068811628516,0.1209563994374121,711
oos,rf,regression,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.21299894030377958,0.21299894030377958,0.0,0.054670724941059845,0.004621095916914175,0.02008273490847204,-0.7256305378863355,0.11960132890365449,4214
oos,rf,regression,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.22972972972972974,0.22972972972972974,0.0,0.26060221110747217,0.06219296697154886,0.25395329282320217,-0.32825752359571764,0.12134189864382584,1401
oos,rf,regression,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.27152777777777776,0.27152777777777776,0.0,-0.14164814578305307,-0.038001656375630466,-0.12650310900789596,-0.7256305378863352,0.19874913134120917,1439
oos,rf,regression,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.06451612903225806,0.06451612903225806,0.0,-0.02529436452206113,-0.013066088243161578,-0.11407225667029601,-0.1531153158131855,0.06751054852320675,711
oos,rf,regression,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.13263864358883787,0.13263864358883787,0.0,0.05586926278563764,0.004719930787507209,0.026762675888726665,-0.3759836130727824,0.06929283341243474,4214
oos,rf,regression,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1608108108108108,0.1608108108108108,0.0,-0.31524947663437297,-0.09395129054829043,-0.4690354747891124,-0.3759836130727824,0.08850820842255532,1401
oos,rf,regression,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.17152777777777778,0.17152777777777778,0.0,0.5129873493717916,0.11074643835269482,0.5058470460620405,-0.24972273320163074,0.10701876302988186,1439
oos,rf,regression,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.014592933947772658,0.014592933947772658,0.0,0.019160252630345598,0.009790708958130168,0.10775682502566641,-0.09382621436081873,0.01969057665260197,711
oos,rf,regression,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.46255740021193925,0.46255740021193925,0.0,1.2002724081601,0.07069051339560106,0.21700470069493735,-0.6807227076158405,0.18462268628381584,4214
oos,rf,regression,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.4101351351351351,0.4101351351351351,0.0,1.5272834002650995,0.2732178103915637,0.8495831018506143,-0.3132104932122939,0.13704496788008566,1401
oos,rf,regression,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.4982638888888889,0.4982638888888889,0.0,0.3398865315763062,0.07703693325440697,0.19170192974073857,-0.6807227076158396,0.24461431549687282,1439
oos,rf,regression,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.4431643625192012,0.4431643625192012,0.0,-0.36110464439500867,-0.20546117800615038,-0.6559727113988658,-0.4609513715685197,0.3263009845288326,711
oos,rf,regression,onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.32845189018348253,0.024905273312341825,0.33517685213238213,-0.18269212923534534,0.024679639297579496,4214
oos,rf,regression,onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.006756756756756757,0.006756756756756757,0.0,0.060421383144821705,0.015401642309823993,0.4102432989997812,-0.0407050083094735,0.004282655246252677,1401
oos,rf,regression,onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.09479166666666666,0.09479166666666666,0.0,0.25609257097094273,0.059538346181454704,0.4894441445499323,-0.18269212923534542,0.06671299513551077,1439
oos,rf,regression,onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0007680491551459293,0.0007680491551459293,0.0,-0.002654327831088543,-0.0013635108305345423,-0.8594140076900465,-0.002654327831088543,0.0028129395218002813,711
