prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,univariate,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.4925821264570823,0.5074178735429177,-0.9678392063694246,-0.25747590339702553,-0.48935814566844615,-0.9761000212736193,0.24774560987185573,4214
oos,rf,regression,univariate,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.6628378378378378,0.33716216216216216,-0.38310333081496695,-0.1182521243349457,-0.20911402075878477,-0.7180599115307664,0.20342612419700215,1401
oos,rf,regression,univariate,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.5388888888888889,0.46111111111111114,-0.9116760928061264,-0.45965084703498993,-0.7354114950901388,-0.948053021718465,0.37387074357192496,1439
oos,rf,regression,univariate,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.1966205837173579,0.8033794162826421,-0.4091307030025302,-0.23670484984547313,-0.5050574513713865,-0.619884094942107,0.3080168776371308,711
oos,rf,regression,univariate,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.30148357470858356,0.30148357470858356,0.0,-0.5444006213808802,-0.06582590164309876,-0.2243534124542051,-0.7264264786319128,0.09871855719031798,4214
oos,rf,regression,univariate,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.43648648648648647,0.43648648648648647,0.0,-0.07543722740879077,-0.02022698818638402,-0.0595607542412468,-0.6200919721327276,0.08137044967880086,1401
oos,rf,regression,univariate,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.35208333333333336,0.35208333333333336,0.0,-0.4300033882316544,-0.13288359844387487,-0.358817476288977,-0.7264264786319128,0.19457956914523974,1439
oos,rf,regression,univariate,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.03609831029185868,0.03609831029185868,0.0,-0.1354811912930619,-0.07201183549717627,-0.9649536525806212,-0.1638786501925938,0.030942334739803096,711
oos,rf,regression,univariate,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.21246909219357119,0.21246909219357119,0.0,-0.7475854326279625,-0.1124077179378723,-0.46478467274778373,-0.7642974426584855,0.07451352634076887,4214
oos,rf,regression,univariate,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.3344594594594595,0.3344594594594595,0.0,-0.5211130325970115,-0.17454826315360794,-0.7014057772257671,-0.5295674236277699,0.06138472519628837,1401
oos,rf,regression,univariate,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.23958333333333334,0.23958333333333334,0.0,-0.4619452346030636,-0.1454753860194702,-0.43770842121628806,-0.7060618423676641,0.15427380125086865,1439
oos,rf,regression,univariate,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.013824884792626729,0.013824884792626729,0.0,-0.020386153707927956,-0.01051790917188189,-0.31248908563876004,-0.04904976834236862,0.008438818565400843,711
oos,rf,regression,univariate,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.10102437301306959,0.10102437301306959,0.0,-0.6843346416664813,-0.0950490956928215,-0.519484658497595,-0.6897531663632688,0.053630754627432366,4214
oos,rf,regression,univariate,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.06013513513513514,0.06013513513513514,0.0,-0.4371294575883824,-0.13905703308925166,-1.0518572992490243,-0.4394892055054755,0.027123483226266953,1401
oos,rf,regression,univariate,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.16701388888888888,0.16701388888888888,0.0,-0.4391865721360171,-0.1364485886933896,-0.4793531594986017,-0.6648144957074067,0.13064628214037527,1439
oos,rf,regression,univariate,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0015360983102918587,0.0015360983102918587,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,rf,regression,univariate,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.4925821264570823,0.4925821264570823,0.0,-0.4520075122894871,-0.05076511538549289,-0.13837188191766137,-0.7405434957095457,0.12387280493592787,4214
oos,rf,regression,univariate,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6628378378378378,0.6628378378378378,0.0,-0.1737693245092049,-0.04851366531170087,-0.10618253727787164,-0.6070501754072287,0.10135617416131334,1401
oos,rf,regression,univariate,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5388888888888889,0.5388888888888889,0.0,-0.19033912664253527,-0.05214644253035894,-0.12432739454506075,-0.7405434957095456,0.18693537178596248,1439
