prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,svm,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.8920876015542212,0.10791239844577888,1.3548140325758742,0.07700423171996351,0.1463974371772267,-0.7908870975132125,0.14950166112956811,4214
oos,svm,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.9824324324324324,0.01756756756756757,0.84881726477647,0.17363596267702452,0.3074329295748073,-0.6716664292494331,0.03783012134189864,1401
oos,svm,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.8048611111111111,0.1951388888888889,0.2151791058677508,0.05067614565178169,0.08101563693980825,-0.7908870975132123,0.3752605976372481,1439
oos,svm,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.9823348694316436,0.017665130568356373,0.048096482957703524,0.024408616029069075,0.05205458826956794,-0.5273477140734301,0.052039381153305204,711
oos,svm,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.8468738961497704,0.8468738961497704,0.0,2.4462703281066167,0.1131227858774797,0.23330168889676417,-0.7322905807967744,0.1006169909824395,4214
oos,svm,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.956081081081081,0.956081081081081,0.0,0.024591599018297883,0.0063493685533630995,0.01158482774511894,-0.6716664292494331,0.046395431834404,1401
oos,svm,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7413194444444444,0.7413194444444444,0.0,2.0657142605689405,0.3286419622986918,0.6118304934329151,-0.7322905807967744,0.21959694232105628,1439
oos,svm,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.956221198156682,0.956221198156682,0.0,0.09709896728707457,0.04872264540472648,0.1044001125339756,-0.5159846523914925,0.06047819971870605,711
oos,svm,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.8468738961497704,0.8468738961497704,0.0,2.4462703281066167,0.1131227858774797,0.23330168889676417,-0.7322905807967744,0.1006169909824395,4214
oos,svm,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.956081081081081,0.956081081081081,0.0,0.024591599018297883,0.0063493685533630995,0.01158482774511894,-0.6716664292494331,0.046395431834404,1401
