prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,svm,regression,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.576827975980219,0.423172024019781,-0.9793621924812983,-0.2854661160479358,-0.5428436220297457,-0.984748795352967,0.45514950166112955,4214
oos,svm,regression,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5452702702702703,0.45472972972972975,-0.5908604549981541,-0.20771474801006928,-0.368117351909829,-0.6598258342568897,0.3404710920770878,1401
oos,svm,regression,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5399305555555556,0.4600694444444444,-0.9226169939195347,-0.47747536504518795,-0.7636950138884563,-0.9412606769880203,0.6560111188325226,1439
oos,svm,regression,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.6943164362519201,0.30568356374807987,-0.34818337503481855,-0.19725213255571405,-0.4203838984278237,-0.511612453359815,0.69901547116737,711
oos,svm,regression,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5535146591310491,0.5535146591310491,0.0,-0.5646372727467458,-0.06949497165083085,-0.18790160244263537,-0.7420889270026507,0.23540579022306596,4214
oos,svm,regression,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.522972972972973,0.522972972972973,0.0,-0.5218255582387109,-0.1748684127437271,-0.4859295927964891,-0.6399208121601868,0.17059243397573162,1401
oos,svm,regression,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5225694444444444,0.5225694444444444,0.0,-0.16885576309903227,-0.045829359163001016,-0.10228284063690914,-0.742088927002651,0.34329395413481584,1439
oos,svm,regression,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6566820276497696,0.6566820276497696,0.0,0.09538658451149451,0.04788201714326701,0.12394605446804036,-0.48315753902174285,0.36427566807313644,711
oos,svm,regression,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5321441186859767,0.5321441186859767,0.0,-0.6228376136332969,-0.0809893081482852,-0.2231033337363561,-0.7701138285208922,0.23730422401518747,4214
oos,svm,regression,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5074324324324324,0.5074324324324324,0.0,-0.48166192528375285,-0.15734719799535724,-0.44785491362731394,-0.6593398749271018,0.1748750892219843,1401
oos,svm,regression,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5010416666666667,0.5010416666666667,0.0,-0.36846909191273225,-0.11004014025202691,-0.25051025409780825,-0.7346483495887901,0.33773453787352326,1439
oos,svm,regression,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6290322580645161,0.6290322580645161,0.0,0.1521249543478429,0.07540367442340412,0.19647283098378407,-0.4588808101630381,0.37834036568213786,711
oos,svm,regression,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4629106322854115,0.4629106322854115,0.0,-0.6982493668373209,-0.0985758565413235,-0.2996196276798364,-0.7745930068342332,0.2510678690080683,4214
oos,svm,regression,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.372972972972973,0.372972972972973,0.0,-0.45165560295016205,-0.14490167406024068,-0.5239023562358317,-0.48487096286562953,0.20770877944325483,1401
oos,svm,regression,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.4600694444444444,0.4600694444444444,0.0,-0.5334935989506733,-0.1758499812502603,-0.4227306402306243,-0.7489889097413168,0.3425990271021543,1439
oos,svm,regression,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5714285714285714,0.5714285714285714,0.0,0.1801392370811421,0.08874897316129537,0.23680541328485244,-0.4525686035223747,0.38396624472573837,711
oos,svm,regression,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.576827975980219,0.576827975980219,0.0,-0.5612411820101655,-0.0688684979347648,-0.18285161286149737,-0.7701845295672023,0.22781205505457996,4214
oos,svm,regression,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5452702702702703,0.5452702702702703,0.0,-0.3274668687523681,-0.09819101662468566,-0.2660996166600403,-0.5840505395894517,0.17059243397573162,1401
oos,svm,regression,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5399305555555556,0.5399305555555556,0.0,-0.24214378837104567,-0.06791097969558735,-0.14973708703387795,-0.7561102591591483,0.3280055594162613,1439
oos,svm,regression,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6943164362519201,0.6943164362519201,0.0,-0.13919597440646048,-0.07406101269894583,-0.18733038949012243,-0.4797663515503027,0.350210970464135,711
oos,svm,regression,onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,-0.10667923487439557,-0.00972353556351313,-0.1092202213812062,-0.3934407227387007,0.054579971523493115,4214
oos,svm,regression,onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.006081081081081081,0.006081081081081081,0.0,-0.0022897182499387325,-0.0005970418544710698,-0.07060204078455956,-0.014593116554889833,0.004282655246252677,1401
oos,svm,regression,onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.06631944444444444,0.06631944444444444,0.0,-0.06560937502769648,-0.017065462612099846,-0.12699052547539558,-0.30803700667176204,0.10006949270326616,1439
oos,svm,regression,onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.06451612903225806,0.06451612903225806,0.0,-0.041759529350614555,-0.021660187884850135,-0.21330189269599906,-0.13270635210404957,0.11251758087201125,711
oos,svm,regression,onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,-0.4647291469854832,-0.05269436823144358,-0.36642632395046465,-0.5663249450996208,0.09776934029425724,4214
oos,svm,regression,onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.019594594594594596,0.019594594594594596,0.0,-0.12821647415460158,-0.035116732307270526,-0.5959769034611214,-0.14144724404870743,0.014989293361884369,1401
oos,svm,regression,onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.12881944444444443,0.12881944444444443,0.0,-0.27709989364303056,-0.07900889016177215,-0.3706920125293527,-0.44796822132734804,0.1702571230020848,1439
oos,svm,regression,onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1282642089093702,0.1282642089093702,0.0,-0.14984155435633506,-0.07995736746502646,-0.5214206884460024,-0.2399893575961242,0.20253164556962025,711
oos,svm,regression,onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,-0.2797641310645016,-0.02802515218022772,-0.13412207033963086,-0.6850105411555296,0.1665875652586616,4214
oos,svm,regression,onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.07905405405405405,0.07905405405405405,0.0,0.03516661263687326,0.009045139877888797,0.08594194122410427,-0.11080457985588256,0.06209850107066381,1401
oos,svm,regression,onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.23715277777777777,0.23715277777777777,0.0,-0.339899792364155,-0.09999621071169917,-0.3351356085066224,-0.6850105411555295,0.2717164697706741,1439
oos,svm,regression,onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.2557603686635945,0.2557603686635945,0.0,0.055037375625833995,0.02788567836081235,0.11727063593702754,-0.2572352032734588,0.31223628691983124,711
oos,svm,regression,onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,-0.28570533054957015,-0.028722251070136928,-0.2124387512260354,-0.418058464454675,0.09302325581395349,4214
oos,svm,regression,onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.013513513513513514,0.006081081081081081,0.007432432432432433,-0.06368736728807567,-0.016998152115893395,-0.3033903493298986,-0.10255762553647894,0.009992862241256246,1401
oos,svm,regression,onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.16111111111111112,0.06631944444444444,0.09479166666666666,-0.20387361546346228,-0.05619070449719088,-0.2637044674631032,-0.3361209333139864,0.207088255733148,1439
oos,svm,regression,onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.06451612903225806,0.06451612903225806,0.0,-0.041759529350614555,-0.021660187884850135,-0.21330189269599906,-0.13270635210404957,0.11251758087201125,711
oos,svm,regression,onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,-0.7755284900607633,-0.12138188361404734,-0.5656921366701868,-0.7981742532340081,0.1722828666350261,4214
oos,svm,regression,onchain,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.08243243243243244,0.019594594594594596,0.06283783783783783,-0.33753648233660327,-0.10172843945132759,-0.7319419384357065,-0.34545204763947757,0.06923625981441828,1401
oos,svm,regression,onchain,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.28888888888888886,0.12881944444444443,0.16006944444444443,-0.6096431216659157,-0.21227439586042185,-0.6597902373615085,-0.6782839379286093,0.3273106323835997,1439
oos,svm,regression,onchain,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1382488479262673,0.1282642089093702,0.009984639016897081,-0.1311383076897339,-0.06962160602256129,-0.4401658477934151,-0.21879324492292307,0.21940928270042195,711
oos,svm,regression,onchain,quantile_ls_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,-0.8306433890202417,-0.14256364165388868,-0.41443054590634404,-0.8735972396356908,0.31134314190792595,4214
