prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,tcn,classification,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.7848816672553868,0.2151183327446132,5.625066808250378,0.1779537797298898,0.3389220154152557,-0.6369778907455546,0.3412434741338396,4214
oos,tcn,classification,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.8722972972972973,0.1277027027027027,1.5722689134664232,0.2790837534753925,0.49503922681732465,-0.535733769338377,0.22626695217701642,1401
oos,tcn,classification,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.7920138888888889,0.20798611111111112,3.217092167625758,0.4405672933549254,0.7058653980902748,-0.6369778907455529,0.46143154968728284,1439
oos,tcn,classification,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.6697388632872504,0.3302611367127496,-0.38867237051370807,-0.22324989502410109,-0.4770083584233266,-0.5457748137889796,0.639943741209564,711
oos,tcn,classification,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7659837513246203,0.7659837513246203,0.0,7.158821928227821,0.19939314313335998,0.4365616494845504,-0.6844580337404063,0.17702895111532985,4214
oos,tcn,classification,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8662162162162163,0.8662162162162163,0.0,0.8527890543519308,0.1742923130165428,0.3787637251697414,-0.5622779098323184,0.11349036402569593,1401
oos,tcn,classification,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7777777777777778,0.7777777777777778,0.0,4.732299688625758,0.5572160952999226,0.9772268153608745,-0.6844580337404033,0.24183460736622656,1439
oos,tcn,classification,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.6259600614439325,0.6259600614439325,0.0,-0.23145612126919024,-0.12641191881116376,-0.3153008052971235,-0.5246916173949191,0.33473980309423346,711
oos,tcn,classification,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.7492052278346873,0.7492052278346873,0.0,5.720291529987703,0.17941075394748807,0.39649267244449293,-0.6991236652518414,0.18699572852396773,4214
oos,tcn,classification,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8581081081081081,0.8581081081081081,0.0,0.7465131972096002,0.15635877506079998,0.3421099165471709,-0.5695032349845918,0.1206281227694504,1401
oos,tcn,classification,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.7638888888888888,0.7638888888888888,0.0,4.265639721413072,0.5240348698144042,0.9260549400565191,-0.6991236652518393,0.2543432939541348,1439
oos,tcn,classification,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.5929339477726574,0.5929339477726574,0.0,-0.26892627081193965,-0.14854262534561002,-0.37918719076907154,-0.4785035364211401,0.35443037974683544,711
