prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,tcn,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5219003885552809,0.4780996114447192,24.505071500802654,0.3238428177687098,0.617028535006124,-0.6711760540870751,0.36070242050308493,4214
oos,tcn,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.8851351351351351,0.11486486486486487,1.7974453310588676,0.30735639311121377,0.5448592365303051,-0.6711760540870751,0.17201998572448252,1401
oos,tcn,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.48055555555555557,0.5194444444444445,8.559766441586431,0.7729188270960525,1.2397990074404865,-0.4920662635102393,0.6546212647671994,1439
oos,tcn,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.20046082949308755,0.7995391705069125,-0.04442413038903137,-0.023057729746323696,-0.049311884773729636,-0.45125392559990535,0.46835443037974683,711
oos,tcn,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5075944895796538,0.5075944895796538,0.0,9.143755769090212,0.2222300464686202,0.5864104400112664,-0.6714213331485414,0.18082581869957284,4214
oos,tcn,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8777027027027027,0.8777027027027027,0.0,0.8744778901294958,0.17785822117433914,0.3762479139725151,-0.6714213331485414,0.09350463954318344,1401
oos,tcn,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.4638888888888889,0.4638888888888889,0.0,5.024633143738466,0.5769870417205416,1.4170251209953377,-0.5247533641482531,0.3231410701876303,1439
oos,tcn,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1835637480798771,0.1835637480798771,0.0,-0.10091432149679602,-0.05314548419720144,-0.1943360069800582,-0.3504020456143158,0.23066104078762306,711
oos,tcn,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4950547509713882,0.4950547509713882,0.0,6.959495197095299,0.19682633887829915,0.5243737492727815,-0.6714213331485414,0.17655434266729947,4214
oos,tcn,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8743243243243243,0.8743243243243243,0.0,0.8015419892879205,0.16574234148077727,0.3507657291948636,-0.6714213331485414,0.09493219129193434,1401
oos,tcn,classification,onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.4482638888888889,0.4482638888888889,0.0,3.6046136292998217,0.47305129685008085,1.18220437560368,-0.5734294559188127,0.31480194579569143,1439
oos,tcn,classification,onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1674347158218126,0.1674347158218126,0.0,-0.03958006466349984,-0.02051849793817173,-0.07715892989295635,-0.30984403564611007,0.21940928270042195,711
oos,tcn,classification,onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.467502649240551,0.467502649240551,0.0,8.313493388869164,0.21322317707292915,0.5844077056659635,-0.6731471935223772,0.17275747508305647,4214
oos,tcn,classification,onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8601351351351352,0.8601351351351352,0.0,0.7724387727895967,0.16080646112890262,0.3420698806195774,-0.6731471935223772,0.10206995003568879,1401
oos,tcn,classification,onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.41180555555555554,0.41180555555555554,0.0,3.2637301354534225,0.4445917530345427,1.151923094655924,-0.5495401601718004,0.30785267546907574,1439
oos,tcn,classification,onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.1443932411674347,0.1443932411674347,0.0,0.23357308286397793,0.11378288078957399,0.49987298827340193,-0.18531527324325386,0.19690576652601968,711
oos,tcn,classification,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5219003885552809,0.5219003885552809,0.0,14.43208116948193,0.2674668985907922,0.6928005420116012,-0.6714213331485414,0.18035121025154247,4214
oos,tcn,classification,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.8851351351351351,0.8851351351351351,0.0,0.7585663516879673,0.1584325948923222,0.3321301425424385,-0.6714213331485414,0.08636688079942897,1401
oos,tcn,classification,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.48055555555555557,0.48055555555555557,0.0,7.423404515735827,0.7169135687472941,1.7139959709545656,-0.5148881178397119,0.3273106323835997,1439
