prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,tcn,classification,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.5219003885552809,0.4780996114447192,24.505071500802654,0.3238428177687098,0.617028535006124,-0.6711760540870751,0.36070242050308493,4214
oos,tcn,classification,onchain,sign_band_0.0025,2018-03-17,5.0,0.9719180501589544,0.5075944895796538,0.4643235605793006,16.471289502902348,0.2811656045122217,0.5449042062853057,-0.6711760540870751,0.36497389653535833,4214
oos,tcn,classification,onchain,sign_band_0.01,2018-03-17,5.0,0.8943836100317909,0.467502649240551,0.4268809607912398,14.879749709912122,0.27061016087570433,0.546215921764399,-0.6729032027898729,0.35453251067869007,4214
oos,tcn,classification,onchain,sign_band_0.005,2018-03-17,5.0,0.9494878134934652,0.4950547509713882,0.454433062522077,14.76707747593004,0.26982673971746696,0.5295692372530062,-0.6711760540870751,0.35927859515899385,4214
oos,tcn,classification,onchain,long_only_sign,2018-03-17,5.0,0.5219003885552809,0.5219003885552809,0.0,14.43208116948193,0.2674668985907922,0.6928005420116012,-0.6714213331485414,0.18035121025154247,4214
oos,tcn,classification,onchain,long_only_band_0.0025,2018-03-17,5.0,0.5075944895796538,0.5075944895796538,0.0,9.143755769090212,0.2222300464686202,0.5864104400112664,-0.6714213331485414,0.18082581869957284,4214
oos,tcn,classification,onchain,long_only_band_0.01,2018-03-17,5.0,0.467502649240551,0.467502649240551,0.0,8.313493388869164,0.21322317707292915,0.5844077056659635,-0.6731471935223772,0.17275747508305647,4214
oos,tcn,classification,onchain,long_only_band_0.005,2018-03-17,5.0,0.4950547509713882,0.4950547509713882,0.0,6.959495197095299,0.19682633887829915,0.5243737492727815,-0.6714213331485414,0.17655434266729947,4214
oos,tcn,classification,onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,5.261157506689453,0.17220365344470157,0.5006681122813533,-0.6469870432917152,0.23255813953488372,4214
oos,tcn,classification,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,3.773194639833826,0.14497435943139392,0.5896040094932632,-0.6469870432917152,0.10536307546274323,4214
oos,tcn,classification,onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,1.9601845655659407,0.09855996520230992,0.37715520345113096,-0.4281224847166855,0.15187470336971998,4214
oos,tcn,classification,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,1.5046668133842895,0.08277480914404145,0.4694467716929357,-0.4281224847166855,0.07071665875652587,4214
oos,tcn,classification,onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.5744298714649818,0.04009747438648015,0.18869146399941517,-0.42033136882057215,0.07973421926910298,4214
oos,tcn,classification,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.1639931012249496,0.013240086114757021,0.09994940861036104,-0.42033136882057215,0.034171808258187,4214
