prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,tcn,regression,boruta_onchain,sign_band_0.0025,2018-03-17,5.0,0.6852702225362063,0.329388908512893,0.3558813140233133,89.72090887891618,0.4776407697829328,1.0465200415298552,-0.6834291984575712,0.4869482676791647,4214
oos,tcn,regression,boruta_onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.4772165312610385,0.5227834687389615,85.3675368620194,0.4713602489252615,0.8971657175312783,-0.7424190668167554,0.5386805885144755,4214
oos,tcn,regression,boruta_onchain,sign_band_0.005,2018-03-17,5.0,0.4540798304486047,0.22659837513246203,0.2274814553161427,31.170708628974744,0.35073537099046237,0.8857417861603883,-0.6636025663994111,0.37731371618414805,4214
oos,tcn,regression,boruta_onchain,long_only_sign,2018-03-17,5.0,0.4772165312610385,0.4772165312610385,0.0,27.383722096803147,0.3361619961842013,0.9156696537878147,-0.5137228120000346,0.26957759848125296,4214
oos,tcn,regression,boruta_onchain,long_only_band_0.0025,2018-03-17,5.0,0.329388908512893,0.329388908512893,0.0,17.608935815611574,0.28818504735102524,0.9195821277347223,-0.5434994553767428,0.23160892263882296,4214
oos,tcn,regression,boruta_onchain,sign_band_0.01,2018-03-17,5.0,0.21935711762628046,0.1125044154009184,0.10685270222536206,14.709298955821971,0.26942301446025096,0.8577562339192244,-0.4856715334060786,0.22591362126245848,4214
oos,tcn,regression,boruta_onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,11.89913292783248,0.24793612347136507,0.6545566904160456,-0.6849397787932658,0.34266729947793073,4214
oos,tcn,regression,boruta_onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,11.414676021620558,0.24380515798322167,0.8035446130363176,-0.47684857457863417,0.21452301850972946,4214
oos,tcn,regression,boruta_onchain,long_only_band_0.005,2018-03-17,5.0,0.22659837513246203,0.22659837513246203,0.0,11.09443383238505,0.24099283652668912,0.8818538209990524,-0.44985343071896144,0.1855719031798766,4214
oos,tcn,regression,boruta_onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,6.083754130217606,0.18480385068006622,0.7072484555929175,-0.4446519525978255,0.16990982439487423,4214
oos,tcn,regression,boruta_onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,4.590622739151394,0.16075895474534252,0.6601830404957219,-0.45025513306750214,0.11627906976744186,4214
oos,tcn,regression,boruta_onchain,long_only_band_0.01,2018-03-17,5.0,0.1125044154009184,0.1125044154009184,0.0,2.589287427085216,0.11705000975909963,0.5515024626831098,-0.4037121450259227,0.1115329852871381,4214
oos,tcn,regression,boruta_onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,2.0513677983273757,0.10145054190702307,0.5130608583343362,-0.3010942551624048,0.10488846701471286,4214
oos,tcn,regression,boruta_onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,1.5317800270728452,0.08378506164581334,0.551426248837189,-0.22042624343139267,0.05742762221167537,4214
