prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,tcn,regression,onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,4.745601913246808,0.163511387566458,0.524342630594066,-0.38656017475347026,0.11960132890365449,4214
oos,tcn,regression,onchain,long_only_band_0.0025,2018-03-17,5.0,0.3428117273048393,0.3428117273048393,0.0,2.4583591300077767,0.11346044663614552,0.371807953319007,-0.47028100960960106,0.20740389178927385,4214
oos,tcn,regression,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,2.06567629600069,0.10189695255134912,0.49658442374226636,-0.22354477619597293,0.07308970099667775,4214
oos,tcn,regression,onchain,long_only_band_0.01,2018-03-17,5.0,0.1437654539032144,0.1437654539032144,0.0,1.7270668021259934,0.09078270562037827,0.3954009791463625,-0.328781254633513,0.10299003322259136,4214
oos,tcn,regression,onchain,long_only_band_0.005,2018-03-17,5.0,0.26174496644295303,0.26174496644295303,0.0,1.5650133505156623,0.08500995899840524,0.3057731291172323,-0.5060094718393543,0.17940199335548174,4214
oos,tcn,regression,onchain,long_only_sign,2018-03-17,5.0,0.43730130695867186,0.43730130695867186,0.0,1.3912761755069072,0.07843856315126119,0.2348950744900109,-0.5519275112410472,0.21926910299003322,4214
oos,tcn,regression,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,0.6168099162916791,0.04249315853292934,0.16668335382097088,-0.5402186835100631,0.14428096820123398,4214
oos,tcn,regression,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.28089877309449496,0.021674390126999343,0.14743226487291264,-0.23666867192866442,0.04318936877076412,4214
oos,tcn,regression,onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.08631995503924372,0.00719722051266003,0.03617775850760998,-0.37685393234734776,0.06549596582819174,4214
oos,tcn,regression,onchain,sign_band_0.01,2018-03-17,5.0,0.3830801836806782,0.1437654539032144,0.2393147297774638,0.021487168515829103,0.001843116585879212,0.004754527864323445,-0.6989100301611725,0.24489795918367346,4214
oos,tcn,regression,onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,-0.24174761825620572,-0.023685036407750326,-0.06083225276816536,-0.7640144269937578,0.26578073089701,4214
oos,tcn,regression,onchain,sign_band_0.0025,2018-03-17,5.0,0.8092546803249735,0.3428117273048393,0.4664429530201342,-0.3336894995311849,-0.03455492819420103,-0.07122326605134166,-0.8975225853288298,0.42524916943521596,4214
oos,tcn,regression,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.43730130695867186,0.5626986930413281,-0.38759740628088446,-0.04158414467666005,-0.07908915707151551,-0.8817748915488041,0.43853820598006643,4214
oos,tcn,regression,onchain,sign_band_0.005,2018-03-17,5.0,0.6349346520664076,0.26174496644295303,0.3731896856234546,-0.5784656528315346,-0.0720928597686008,-0.16223319928094623,-0.9309900287749492,0.3811105837683911,4214
