prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,all,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.516955139526669,0.483044860473331,2.292988278140779,0.10874484353830693,0.20723329903286838,-0.894929823927131,0.5030849549121974,4214
oos,xgboost,classification,all,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.5621621621621622,0.43783783783783786,10.050103650530444,0.8699343152977901,1.5460575956943796,-0.5934461952456422,0.44182726623840113,1401
oos,xgboost,classification,all,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.5295138888888888,0.4704861111111111,-0.7518094945906354,-0.29775566397906705,-0.4770938052143212,-0.8801702649386155,0.7463516330785267,1439
oos,xgboost,classification,all,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.4377880184331797,0.5622119815668203,0.2443303639489991,0.11875845167697818,0.25450381451736637,-0.44291092937460813,0.60056258790436,711
oos,xgboost,classification,all,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.5127163546450018,0.5127163546450018,0.0,3.92432545724815,0.14806991080123044,0.3685003208011854,-0.6872849287397337,0.2515424774560987,4214
oos,xgboost,classification,all,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5601351351351351,0.5601351351351351,0.0,2.4968602650399454,0.3856180113658496,0.8252099445275332,-0.5301531090251652,0.22055674518201285,1401
oos,xgboost,classification,all,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5246527777777777,0.5246527777777777,0.0,0.2972569193956449,0.06824005723971305,0.1501335033561945,-0.6872849287397297,0.37178596247394025,1439
oos,xgboost,classification,all,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.4324116743471582,0.4324116743471582,0.0,0.10504624741627233,0.052615724348583415,0.15967352495219014,-0.4356976396205932,0.3037974683544304,711
oos,xgboost,classification,all,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.5077711056163899,0.5077711056163899,0.0,3.483544325203434,0.1387827298541875,0.346183162955227,-0.6872849287397319,0.24964404366397722,4214
oos,xgboost,classification,all,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5560810810810811,0.5560810810810811,0.0,2.462028911132795,0.38200893479737186,0.8201612302608741,-0.5214667385729935,0.21627408993576017,1401
oos,xgboost,classification,all,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5190972222222222,0.5190972222222222,0.0,0.1708823153707757,0.04082633715133954,0.0899750017583683,-0.6872849287397296,0.37109103544127864,1439
oos,xgboost,classification,all,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.42780337941628266,0.42780337941628266,0.0,0.1265037910871032,0.06305945077816189,0.19153430668095411,-0.43569763962059316,0.3009845288326301,711
oos,xgboost,classification,all,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.49911691981631934,0.49911691981631934,0.0,3.8953709156419762,0.14748363003977172,0.3686549141621422,-0.6810253551989824,0.24869482676791646,4214
oos,xgboost,classification,all,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.55,0.55,0.0,2.395961385059704,0.3750888629609892,0.8053771509116827,-0.5230599304801056,0.21770164168451106,1401
oos,xgboost,classification,all,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.509375,0.509375,0.0,0.246102454294433,0.05739451433414544,0.12670737131480378,-0.6810253551989793,0.3683113273106324,1439
oos,xgboost,classification,all,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.4185867895545315,0.4185867895545315,0.0,0.1782141535609747,0.08783687867629886,0.2698223351270324,-0.3875172959146208,0.2981715893108298,711
