prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,all,quantile_ls_0.20,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,12.858658246978344,0.2557158320479578,0.7329956904551257,-0.5378058692468772,0.3588039867109635,4214
oos,xgboost,classification,all,quantile_long_only_0.20,5.0,0.2001059696220417,0.2001059696220417,0.0,11.563627363330513,0.24509071591888532,0.9105877676492681,-0.36182784067881135,0.18699572852396773,4214
oos,xgboost,classification,all,long_only_sign,5.0,0.516955139526669,0.516955139526669,0.0,4.545060879418967,0.15993651620741178,0.39656767802529164,-0.6882521797226148,0.2515424774560987,4214
oos,xgboost,classification,all,quantile_ls_0.10,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,4.423092992072656,0.1577041051643524,0.6077428778313954,-0.3847668475141109,0.2178452776459421,4214
oos,xgboost,classification,all,long_only_band_0.0025,5.0,0.5127163546450018,0.5127163546450018,0.0,3.92432545724815,0.14806991080123044,0.3685003208011854,-0.6872849287397337,0.2515424774560987,4214
oos,xgboost,classification,all,long_only_band_0.01,5.0,0.49911691981631934,0.49911691981631934,0.0,3.8953709156419762,0.14748363003977172,0.3686549141621422,-0.6810253551989824,0.24869482676791646,4214
oos,xgboost,classification,all,long_only_band_0.005,5.0,0.5077711056163899,0.5077711056163899,0.0,3.483544325203434,0.1387827298541875,0.346183162955227,-0.6872849287397319,0.24964404366397722,4214
oos,xgboost,classification,all,sign_band_0.01,5.0,0.9666195690568704,0.49911691981631934,0.467502649240551,3.0975799919210427,0.12993822918305042,0.2513039734568899,-0.8857734956532123,0.5021357380161366,4214
oos,xgboost,classification,all,quantile_long_only_0.10,5.0,0.10014129282938891,0.10014129282938891,0.0,2.336710333275743,0.11001226520160001,0.524209176270561,-0.3293949673743788,0.11200759373516848,4214
oos,xgboost,classification,all,sign_band_0.005,5.0,0.9821617802896503,0.5077711056163899,0.47439067467326035,2.3042256474726805,0.10907205501367812,0.20951905229279122,-0.903035845276534,0.5021357380161366,4214
oos,xgboost,classification,all,full_exposure_sign,5.0,1.0,0.516955139526669,0.483044860473331,2.292988278140779,0.10874484353830693,0.20723329903286838,-0.894929823927131,0.5030849549121974,4214
oos,xgboost,classification,all,sign_band_0.0025,5.0,0.9909925821264571,0.5127163546450018,0.4782762274814553,2.2635793479396864,0.10788365782079579,0.20675206059753595,-0.9135720384083835,0.5040341718082582,4214
oos,xgboost,classification,all,quantile_ls_0.05,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.3715786495018736,0.027745337627473665,0.16366089444750756,-0.40078916517275553,0.11722828666350261,4214
oos,xgboost,classification,all,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,0.15620742830327572,0.012651260446310042,0.0965086024101454,-0.3140587706103079,0.05790223065970574,4214
