prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,boruta_all,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.5374425997880607,0.46255740021193925,8.381074183495516,0.21398317915434872,0.4078963426026874,-0.8545045422202359,0.5548172757475083,4214
oos,xgboost,classification,boruta_all,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.5412162162162162,0.45878378378378376,3.1676781160847263,0.4504404689016803,0.7996054084525192,-0.5762751820497454,0.4989293361884368,1401
oos,xgboost,classification,boruta_all,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.5854166666666667,0.41458333333333336,6.092570621054428,0.6436334123059664,1.0328447228667093,-0.6056778418806338,0.7963863794301599,1439
oos,xgboost,classification,boruta_all,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.4270353302611367,0.5729646697388633,-0.6823052073474947,-0.44492563006049446,-0.952920719159794,-0.7498067642651928,0.6905766526019691,711
oos,xgboost,classification,boruta_all,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.5317908866125044,0.5317908866125044,0.0,7.8344607929172785,0.20768694191881942,0.5294456797050103,-0.5474850270073152,0.27717133364973895,4214
oos,xgboost,classification,boruta_all,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5378378378378378,0.5378378378378378,0.0,1.1777885790323666,0.2247927982541571,0.5574796544639107,-0.5474850270073152,0.24982155603140613,1401
oos,xgboost,classification,boruta_all,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5784722222222223,0.5784722222222223,0.0,5.975003051026151,0.6366795648866406,1.3065005040507525,-0.47583995420213376,0.39958304378040305,1439
oos,xgboost,classification,boruta_all,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.4216589861751152,0.4216589861751152,0.0,-0.41811511369339094,-0.2426852458283052,-0.7307568078574532,-0.5128859885777052,0.340365682137834,711
oos,xgboost,classification,boruta_all,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.5280819498410456,0.5280819498410456,0.0,7.176928566728716,0.19962346252420016,0.510086904206394,-0.5474850270073152,0.27669672520170857,4214
oos,xgboost,classification,boruta_all,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5331081081081082,0.5331081081081082,0.0,1.0392207028584144,0.203993541879256,0.5073207150921171,-0.5474850270073152,0.251249107780157,1401
oos,xgboost,classification,boruta_all,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5756944444444444,0.5756944444444444,0.0,5.8945518548310165,0.6318704876785639,1.2999787151992221,-0.4534387151577809,0.3968033356497568,1439
oos,xgboost,classification,boruta_all,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.41705069124423966,0.41705069124423966,0.0,-0.41811511369339094,-0.2426852458283052,-0.7307568078574532,-0.5128859885777052,0.340365682137834,711
oos,xgboost,classification,boruta_all,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.520840692334864,0.520840692334864,0.0,6.208825570607578,0.1866013247252527,0.48003613540180057,-0.5622960124917583,0.2747982914095871,4214
oos,xgboost,classification,boruta_all,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5277027027027027,0.5277027027027027,0.0,0.8437534602483114,0.17279763971300355,0.4318598550883825,-0.5622960124917583,0.24982155603140613,1401
oos,xgboost,classification,boruta_all,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.56875,0.56875,0.0,5.906135153972742,0.6325654670025747,1.3106225332701233,-0.4272382213450355,0.3940236275191105,1439
oos,xgboost,classification,boruta_all,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.40706605222734255,0.40706605222734255,0.0,-0.433573266119923,-0.25308099380479554,-0.7703986863178122,-0.5258264907541058,0.33755274261603374,711
oos,xgboost,classification,boruta_all,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.5374425997880607,0.5374425997880607,0.0,8.354495365351818,0.21368487679256787,0.5437938710360656,-0.5474850270073152,0.2776459420977693,4214
oos,xgboost,classification,boruta_all,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5412162162162162,0.5412162162162162,0.0,1.1464710719599362,0.22017950384239304,0.5455736876250318,-0.5474850270073152,0.24982155603140613,1401
oos,xgboost,classification,boruta_all,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5854166666666667,0.5854166666666667,0.0,6.255475010526818,0.6531280214365964,1.3372690553846642,-0.45888657118778114,0.39819318971507994,1439
