prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5056517131755563,0.49434828682444365,18.74283582971244,0.2948016564182263,0.5618433723390455,-0.684975972210309,0.5984812529663028,4214
oos,xgboost,classification,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.4966216216216216,0.5033783783783784,4.417415252044424,0.5530074442356647,0.9813597366449,-0.39569961960406463,0.4875089221984297,1401
oos,xgboost,classification,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5604166666666667,0.4395833333333333,3.4730374099964445,0.46225888647135593,0.7410706644511014,-0.6849759722103103,0.8825573314801946,1439
oos,xgboost,classification,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.39477726574500765,0.6052227342549923,-0.21304093400280166,-0.11572806846449313,-0.2476600773732458,-0.5307368080660135,0.7974683544303798,711
oos,xgboost,classification,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.49911691981631934,0.49911691981631934,0.0,13.63184180082251,0.2616345874754076,0.6800258569576988,-0.641805824070733,0.2971048884670147,4214
oos,xgboost,classification,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.4918918918918919,0.4918918918918919,0.0,1.7454831576841574,0.300985809962095,0.7839247128099969,-0.3921057849166188,0.2426837972876517,1401
oos,xgboost,classification,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5524305555555555,0.5524305555555555,0.0,4.707814686493384,0.5555262550695319,1.1532820059702706,-0.6418058240707285,0.43710910354412785,1439
oos,xgboost,classification,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.38940092165898615,0.38940092165898615,0.0,-0.08236821953459128,-0.04316860014695301,-0.12620172511124186,-0.5248110395686967,0.39662447257383965,711
oos,xgboost,classification,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4939950547509714,0.4939950547509714,0.0,14.56218926768522,0.26838893556234966,0.698275258453074,-0.6418058240707332,0.29805410536307547,4214
oos,xgboost,classification,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.4871621621621622,0.4871621621621622,0.0,1.8339654457079266,0.3117816013229511,0.812791602327608,-0.39210578491661874,0.24411134903640258,1401
oos,xgboost,classification,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5482638888888889,0.5482638888888889,0.0,4.820826841564738,0.5632812349755192,1.170556078008545,-0.6418058240707283,0.438498957609451,1439
oos,xgboost,classification,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.3817204301075269,0.3817204301075269,0.0,-0.07285094519891222,-0.03808687625733431,-0.11147565873999989,-0.5167868337929324,0.39662447257383965,711
