prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,boruta_onchain,sign_band_0.01,2018-03-17,5.0,0.9565524549629106,0.48322147651006714,0.4733309784528435,42.40778426093396,0.38624382687283654,0.7537426118862827,-0.6057339229106922,0.5994304698623636,4214
oos,xgboost,classification,boruta_onchain,sign_band_0.005,2018-03-17,5.0,0.9777463793712469,0.4939950547509714,0.48375132462027554,26.134718649797467,0.3309639400288753,0.6369923996793813,-0.6969328035835215,0.5970574276222117,4214
oos,xgboost,classification,boruta_onchain,sign_band_0.0025,2018-03-17,5.0,0.986930413281526,0.49911691981631934,0.48781349346520664,25.062832313437866,0.32632570590950816,0.6270594350765474,-0.6882298150145069,0.5951589938300902,4214
oos,xgboost,classification,boruta_onchain,long_only_band_0.01,2018-03-17,5.0,0.48322147651006714,0.48322147651006714,0.0,22.041702345946398,0.31224708955534264,0.8191185864203532,-0.5921887374976816,0.299952539155197,4214
oos,xgboost,classification,boruta_onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.5056517131755563,0.49434828682444365,18.74283582971244,0.2948016564182263,0.5618433723390455,-0.684975972210309,0.5984812529663028,4214
oos,xgboost,classification,boruta_onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,15.228967548484238,0.2730064567913222,0.7800521720651418,-0.37140017987566226,0.37731371618414805,4214
oos,xgboost,classification,boruta_onchain,long_only_band_0.005,2018-03-17,5.0,0.4939950547509714,0.4939950547509714,0.0,14.56218926768522,0.26838893556234966,0.698275258453074,-0.6418058240707332,0.29805410536307547,4214
oos,xgboost,classification,boruta_onchain,long_only_band_0.0025,2018-03-17,5.0,0.49911691981631934,0.49911691981631934,0.0,13.63184180082251,0.2616345874754076,0.6800258569576988,-0.641805824070733,0.2971048884670147,4214
oos,xgboost,classification,boruta_onchain,long_only_sign,2018-03-17,5.0,0.5056517131755563,0.5056517131755563,0.0,12.570593639990411,0.25343330151901955,0.6527950543585095,-0.6284762601781736,0.2994779307071666,4214
oos,xgboost,classification,boruta_onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,6.695487428559546,0.1933346906957254,0.752434058916325,-0.48509384835463726,0.18984337921214997,4214
oos,xgboost,classification,boruta_onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,3.6521775206415095,0.14243038149347997,0.596022434813398,-0.3719591890439052,0.2230659705742762,4214
oos,xgboost,classification,boruta_onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,1.7092148757530259,0.09016236853319248,0.5208950013446236,-0.27161558249090617,0.12292358803986711,4214
oos,xgboost,classification,boruta_onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,1.5056967822927039,0.08281336843885767,0.4275692829973861,-0.4310006239897485,0.1115329852871381,4214
oos,xgboost,classification,boruta_onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,1.2898313396873826,0.07439691973546414,0.5134177921903864,-0.33308545417795066,0.061699098243948744,4214
