prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,boruta_ta,long_only_band_0.01,5.0,0.48251501236312255,0.48251501236312255,0.0,3.982787486057134,0.14924413350308896,0.42580182669353045,-0.5635057386982121,0.2757475083056478,4214
oos,xgboost,classification,boruta_ta,long_only_band_0.005,5.0,0.4846344048039562,0.4846344048039562,0.0,3.8106065563551823,0.1457489020312832,0.4146181471400792,-0.5658615222870013,0.2747982914095871,4214
oos,xgboost,classification,boruta_ta,long_only_sign,5.0,0.4881667255386789,0.4881667255386789,0.0,3.600250125101626,0.14132020411492086,0.40039137059152163,-0.5684013747376317,0.2747982914095871,4214
oos,xgboost,classification,boruta_ta,long_only_band_0.0025,5.0,0.4871070293182621,0.4871070293182621,0.0,3.5785484901269378,0.14085284112198337,0.39925492595834744,-0.5684013747376316,0.2747982914095871,4214
oos,xgboost,classification,boruta_ta,quantile_long_only_0.20,5.0,0.2001059696220417,0.2001059696220417,0.0,1.4234716044719171,0.07968854138698211,0.35177269542773937,-0.456127044560709,0.18272425249169436,4214
oos,xgboost,classification,boruta_ta,full_exposure_sign,5.0,1.0,0.4881667255386789,0.5118332744613211,1.2686877894808468,0.07353398915143239,0.13982045336312515,-0.6876038840271439,0.5491219743711439,4214
oos,xgboost,classification,boruta_ta,quantile_long_only_0.10,5.0,0.10014129282938891,0.10014129282938891,0.0,0.9272731194538248,0.05847512854714432,0.3453589043151855,-0.408681542950332,0.10631229235880399,4214
oos,xgboost,classification,boruta_ta,sign_band_0.0025,5.0,0.9966442953020134,0.4871070293182621,0.5095372659837514,0.8829610428632786,0.05634472644294042,0.10769656825263288,-0.7226746885438191,0.5500711912672046,4214
oos,xgboost,classification,boruta_ta,sign_band_0.005,5.0,0.9931119745672907,0.4846344048039562,0.5084775697633345,0.8090376558451258,0.05268659512095253,0.10092360886956114,-0.7417386681392245,0.5495965828191742,4214
oos,xgboost,classification,boruta_ta,sign_band_0.01,5.0,0.986930413281526,0.48251501236312255,0.5044154009184034,0.7890898450923178,0.05167608182892702,0.09915349173688869,-0.7356606776514995,0.550545799715235,4214
oos,xgboost,classification,boruta_ta,quantile_ls_0.10,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,0.7817041833341485,0.051299327928735705,0.22324621994461236,-0.4590697285853716,0.21689606074988135,4214
oos,xgboost,classification,boruta_ta,quantile_ls_0.20,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,0.7463311328218951,0.04947487885949853,0.14096857844173455,-0.8105321943910725,0.3725676317038443,4214
oos,xgboost,classification,boruta_ta,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,0.3329462440119253,0.025205143580117273,0.17614162172146025,-0.33387586083656984,0.05837683910773612,4214
oos,xgboost,classification,boruta_ta,quantile_ls_0.05,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.3087224474617061,0.023577833804200532,0.12817968820594594,-0.37281006289019114,0.12102515424774561,4214
