prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5330271988696573,0.4669728011303426,23.730369707119948,0.3203106322780287,0.6110860846603309,-0.7282745506205569,0.5813953488372093,4214
oos,xgboost,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5993243243243244,0.4006756756756757,9.934312895128938,0.864809499827971,1.5378289793031967,-0.5759877318541603,0.4875089221984297,1401
oos,xgboost,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5416666666666666,0.4583333333333333,2.591926099942211,0.3831137102355242,0.6143598963187238,-0.6299638775030645,0.8644892286309938,1439
oos,xgboost,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.43855606758832566,0.5614439324116743,-0.3461511914412414,-0.19596829268605898,-0.4204920222756965,-0.5094656034954729,0.729957805907173,711
oos,xgboost,classification,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5279053338043095,0.5279053338043095,0.0,12.815268816051054,0.25537481645365956,0.6611880365277683,-0.5820804659989398,0.2899857617465591,4214
oos,xgboost,classification,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5966216216216216,0.5966216216216216,0.0,2.5446531216652577,0.39052709111899664,0.964966396108135,-0.5761782925511714,0.2462526766595289,1401
oos,xgboost,classification,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5347222222222222,0.5347222222222222,0.0,3.470715879714823,0.46206635031664844,0.9826467909588469,-0.5820804659989346,0.4294649061848506,1439
oos,xgboost,classification,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.434715821812596,0.434715821812596,0.0,-0.11165676072683062,-0.058970225117072506,-0.17490434516551373,-0.4766124212554922,0.36146272855133615,711
oos,xgboost,classification,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5219003885552809,0.5219003885552809,0.0,11.281582508616177,0.24264449027778978,0.6301216335963384,-0.5894253143964175,0.2899857617465591,4214
oos,xgboost,classification,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5918918918918918,0.5918918918918918,0.0,2.397669864897429,0.3752690617387451,0.9318900684506238,-0.5894253143964175,0.244825124910778,1401
