prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.5022960084775697,0.4977039915224302,0.8758105962571703,0.055996669589313486,0.10661796795617486,-0.8919945218238983,0.49691504508780254,4214
oos,xgboost,classification,ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.6554054054054054,0.34459459459459457,7.657671653054106,0.754766838858616,1.338707718528944,-0.48909097341247904,0.3618843683083512,1401
oos,xgboost,classification,ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.490625,0.509375,-0.39638135276859143,-0.12018613119996058,-0.19249762242782525,-0.7065859332836896,0.7852675469075747,1439
oos,xgboost,classification,ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.35407066052227343,0.6459293394777266,-0.6406806622579119,-0.4087095485758785,-0.8760013314912413,-0.7573028756091121,0.639943741209564,711
oos,xgboost,classification,ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.4987636877428471,0.4987636877428471,0.0,3.5715697892973877,0.14070211892201323,0.3709399830488894,-0.6856051730861799,0.25011865211200757,4214
oos,xgboost,classification,ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.654054054054054,0.654054054054054,0.0,1.9444551698823411,0.32491803477120507,0.7569368962633207,-0.5527231832766375,0.1827266238401142,1401
oos,xgboost,classification,ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.4857638888888889,0.4857638888888889,0.0,1.4151956274193043,0.25064839181371124,0.5718241296805371,-0.6856051730861787,0.3954134815844336,1439
oos,xgboost,classification,ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.3509984639016897,0.3509984639016897,0.0,-0.3568307965944716,-0.20273708092344445,-0.6388434288101463,-0.5054942606134029,0.3206751054852321,711
oos,xgboost,classification,ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.49487813493465205,0.49487813493465205,0.0,3.187279198439813,0.13205957183682826,0.34943665737054747,-0.700277383445519,0.24869482676791646,4214
oos,xgboost,classification,ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6527027027027027,0.6527027027027027,0.0,1.736080401161999,0.2998235202944677,0.7010988650843221,-0.5527231832766375,0.1827266238401142,1401
oos,xgboost,classification,ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.48020833333333335,0.48020833333333335,0.0,1.388449717804364,0.24712082688841286,0.5660006846463196,-0.7002773834455184,0.3898540653231411,1439
oos,xgboost,classification,ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.347926267281106,0.347926267281106,0.0,-0.3589319853077654,-0.20407524785494824,-0.6445176857524914,-0.5071097762082983,0.3234880450070324,711
