prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,all,quantile_ls_0.10,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,14.665997452892041,0.2691195567400959,0.8412050632336017,-0.3216833110334248,0.16801139060275272,4214
oos,xgboost,regression,all,quantile_ls_0.20,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,10.88425987871898,0.23910991413768645,0.615732507305113,-0.6041534653630177,0.27005220692928333,4214
oos,xgboost,regression,all,sign_band_0.005,5.0,0.34263511126810314,0.15983751324620277,0.18279759802190038,10.374353408143842,0.2344121641444108,0.6267674823509697,-0.5889049355977529,0.24347413383958236,4214
oos,xgboost,regression,all,quantile_long_only_0.20,5.0,0.2001059696220417,0.2001059696220417,0.0,7.908530439956856,0.20856062857876756,0.8078176347604299,-0.3075071678520099,0.1400094921689606,4214
oos,xgboost,regression,all,sign_band_0.0025,5.0,0.5759448957965383,0.2870010596962204,0.28894383610031793,7.182288146888482,0.19969154790718568,0.44526946657565,-0.8173569246593002,0.36022781205505455,4214
oos,xgboost,regression,all,sign_band_0.01,5.0,0.13122571529494878,0.0460967855881314,0.08512892970681737,6.380412093575753,0.18902149694812187,0.7042075335598219,-0.41973843077822626,0.11770289511153298,4214
oos,xgboost,regression,all,long_only_band_0.0025,5.0,0.2870010596962204,0.2870010596962204,0.0,6.253439562146655,0.1872356110454403,0.6171825639648,-0.6721063552508078,0.1817750355956336,4214
oos,xgboost,regression,all,long_only_band_0.005,5.0,0.15983751324620277,0.15983751324620277,0.0,5.469445067233182,0.17553101646153735,0.7200620744466005,-0.263420555265376,0.12055054579971523,4214
oos,xgboost,regression,all,long_only_sign,5.0,0.4994701518897916,0.4994701518897916,0.0,5.386720706484543,0.17422138728847214,0.479745755770635,-0.6578026302218569,0.23113431419079258,4214
oos,xgboost,regression,all,quantile_long_only_0.10,5.0,0.10014129282938891,0.10014129282938891,0.0,3.563889189210011,0.14053599436545028,0.6722857033845338,-0.24086803773925866,0.08970099667774087,4214
oos,xgboost,regression,all,full_exposure_sign,5.0,1.0,0.4994701518897916,0.5005298481102084,3.3728813267358486,0.1363202891220554,0.25895191063079975,-0.8159227547339836,0.46179401993355484,4214
oos,xgboost,regression,all,quantile_ls_0.05,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,2.2120223514986566,0.10635665557813256,0.4953591451565877,-0.40366802521538014,0.09634551495016612,4214
oos,xgboost,regression,all,long_only_band_0.01,5.0,0.0460967855881314,0.0460967855881314,0.0,1.504995693033453,0.08278712309653313,0.5798712728929406,-0.224442944139749,0.045562411010915994,4214
oos,xgboost,regression,all,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,0.984391362593859,0.061156163881052716,0.3994318442640192,-0.25037474341942834,0.04793545325106787,4214
