prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,boruta_all,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.5547509713882021,0.44524902861179794,2.631225770721308,0.11817453069402539,0.22417538448759877,-0.7841001454416441,0.47982914095870904,4214
oos,xgboost,regression,boruta_all,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.5716216216216217,0.4283783783783784,3.270923606247899,0.45971713746081466,0.8130939825519392,-0.5892065514660124,0.3875802997858672,1401
oos,xgboost,regression,boruta_all,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.5361111111111111,0.4638888888888889,0.11700619453267724,0.028464296926541843,0.045387288153726335,-0.7841001454416443,0.6810284920083391,1439
oos,xgboost,regression,boruta_all,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.5768049155145929,0.42319508448540705,-0.23880322964833678,-0.13070917825909412,-0.2780003786395958,-0.53870471396201,0.7018284106891702,711
oos,xgboost,regression,boruta_all,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.32797598021900387,0.32797598021900387,0.0,6.3782215720924205,0.18899092565429032,0.5902439839438349,-0.5817938287228304,0.21499762695775984,4214
oos,xgboost,regression,boruta_all,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.37027027027027026,0.37027027027027026,0.0,2.422387547122422,0.3778686475058852,1.1240190926468268,-0.34961783423555687,0.20556745182012848,1401
oos,xgboost,regression,boruta_all,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.32881944444444444,0.32881944444444444,0.0,1.9030071656713208,0.3103902911464156,0.805523684916101,-0.5817938287228279,0.2946490618485059,1439
oos,xgboost,regression,boruta_all,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.2780337941628264,0.2780337941628264,0.0,-0.25736673574117996,-0.14165761976934477,-0.48805215455652584,-0.45849961673295614,0.27285513361462727,711
oos,xgboost,regression,boruta_all,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.1882726951607206,0.1882726951607206,0.0,6.169543773038261,0.1860398720049179,0.728928822134426,-0.432072857707467,0.14428096820123398,4214
oos,xgboost,regression,boruta_all,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.21756756756756757,0.21756756756756757,0.0,3.4815075150758554,0.4781358556751376,1.8140715870420545,-0.2710117447820512,0.15703069236259815,1401
oos,xgboost,regression,boruta_all,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.19340277777777778,0.19340277777777778,0.0,0.6076290984712065,0.12797300544272905,0.40588242900769483,-0.4320728577074638,0.20152883947185546,1439
oos,xgboost,regression,boruta_all,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.1436251920122888,0.1436251920122888,0.0,-0.0048660722366778986,-0.002501018833663826,-0.011443609334789377,-0.22978449972491227,0.13783403656821377,711
oos,xgboost,regression,boruta_all,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.0683504062168845,0.0683504062168845,0.0,0.7410512842335408,0.04919966794552666,0.31305287431925466,-0.28476448414297667,0.06929283341243474,4214
oos,xgboost,regression,boruta_all,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.09594594594594595,0.09594594594594595,0.0,0.5128350775611945,0.11388608121565058,0.7142331947575294,-0.28476448414297667,0.07423269093504639,1401
oos,xgboost,regression,boruta_all,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.07291666666666667,0.07291666666666667,0.0,0.34947011124349436,0.07898572966310136,0.43318973567553765,-0.2411192137283325,0.11118832522585129,1439
oos,xgboost,regression,boruta_all,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.026881720430107527,0.026881720430107527,0.0,-0.14718131306019044,-0.07848056605270004,-0.46071476590906824,-0.2520034177191743,0.03938115330520394,711
oos,xgboost,regression,boruta_all,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.5547509713882021,0.5547509713882021,0.0,4.819969450060689,0.16480815818578232,0.42340763341065724,-0.7484327169525959,0.2401518747033697,4214
oos,xgboost,regression,boruta_all,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.5716216216216217,0.5716216216216217,0.0,1.1728955811557786,0.22407527206157885,0.5690361442884149,-0.4483404786714709,0.19414703783012136,1401
oos,xgboost,regression,boruta_all,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5361111111111111,0.5361111111111111,0.0,1.8793324186922566,0.3076713740488124,0.6498276712149218,-0.7484327169525966,0.3405142460041696,1439
oos,xgboost,regression,boruta_all,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.5768049155145929,0.5768049155145929,0.0,-0.06977064306757164,-0.03644759970573341,-0.09775990779780593,-0.4916073021749535,0.35161744022503516,711
oos,xgboost,regression,boruta_all,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.05015895443306252,0.05015895443306252,0.0,0.5657708827234105,0.03960075683100772,0.29960868931334633,-0.28033303943534127,0.052206929283341245,4214
oos,xgboost,regression,boruta_all,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.07364864864864865,0.07364864864864865,0.0,0.49872138875101846,0.1111693413671535,0.9721141698842528,-0.08701308047678276,0.06138472519628837,1401
oos,xgboost,regression,boruta_all,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.05416666666666667,0.05416666666666667,0.0,0.13200226918715963,0.03194910579288157,0.20366473426103543,-0.2803330394353416,0.07922168172341904,1439
oos,xgboost,regression,boruta_all,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.014592933947772658,0.014592933947772658,0.0,-0.07708860139254259,-0.040346411340937194,-0.24115515204761614,-0.19052597875928404,0.02812939521800281,711
oos,xgboost,regression,boruta_all,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,5.0,0.10014129282938891,0.10014129282938891,0.0,2.2427172518339478,0.10726844206901887,0.5409349292053179,-0.34444810208759596,0.09065021357380161,4214
oos,xgboost,regression,boruta_all,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.1331081081081081,0.1331081081081081,0.0,1.2120066243974659,0.22977761688962084,1.161400534889597,-0.29699799701139,0.10421127765881513,1401
oos,xgboost,regression,boruta_all,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.10520833333333333,0.10520833333333333,0.0,0.42393187106232944,0.09378581701832456,0.3886572991648624,-0.3444481020875975,0.13064628214037527,1439
oos,xgboost,regression,boruta_all,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.05145929339477726,0.05145929339477726,0.0,0.02951682413832568,0.015045535617309369,0.07706680350910845,-0.2212808345043385,0.06751054852320675,711
oos,xgboost,regression,boruta_all,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,5.0,0.2001059696220417,0.2001059696220417,0.0,7.344910816281196,0.20173829403803922,0.7673557126112195,-0.4061930187488329,0.15092548647365922,4214
oos,xgboost,regression,boruta_all,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.22905405405405405,0.22905405405405405,0.0,3.8508875225820933,0.5089531638363183,1.8624200178309027,-0.2710117447820511,0.15703069236259815,1401
