prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5134228187919463,0.4865771812080537,16.369209770494294,0.2805155050821897,0.5329222562848499,-0.8029602885402,0.5339345040341718,4214
oos,xgboost,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.504054054054054,0.49594594594594593,5.761047729210571,0.6452884502356349,1.1421633441954173,-0.5327892499956951,0.4760885082084226,1401
oos,xgboost,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5506944444444445,0.44930555555555557,3.4417458708601645,0.4596574235072812,0.7348552793064062,-0.8029602885402,0.7421820708825573,1439
oos,xgboost,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.4416282642089094,0.5583717357910907,-0.4407784346151292,-0.2579736849692691,-0.5493039463839506,-0.6017301845011956,0.7187060478199718,711
oos,xgboost,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.29265277287177677,0.29265277287177677,0.0,2.318937974018001,0.10949891774616782,0.36584063709910486,-0.766853831262692,0.20503084954912199,4214
oos,xgboost,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.2777027027027027,0.2777027027027027,0.0,1.7925918810136805,0.30676508142699066,1.026679493252291,-0.3852199759742971,0.18843683083511778,1401
oos,xgboost,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.3347222222222222,0.3347222222222222,0.0,0.3541270868644557,0.07992898644374802,0.20708277987232102,-0.766853831262693,0.31549687282835304,1439
oos,xgboost,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.21658986175115208,0.21658986175115208,0.0,-0.12232800766709917,-0.0647904012409346,-0.2799781006279615,-0.24296132782005436,0.20534458509142053,711
oos,xgboost,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.15224302366654893,0.15224302366654893,0.0,3.5575386697588227,0.14039844530494916,0.6438063845084046,-0.45929950772967754,0.12624584717607973,4214
oos,xgboost,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1527027027027027,0.1527027027027027,0.0,1.6913702798445849,0.29425605979897473,1.3341593498193238,-0.19037778765514152,0.11705924339757316,1401
oos,xgboost,regression,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.190625,0.190625,0.0,0.7743418833090627,0.15655930093011228,0.5371001245193182,-0.45929950772967776,0.21403752605976373,1439
oos,xgboost,regression,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.06682027649769585,0.06682027649769585,0.0,-0.04562378835242664,-0.0236875507765264,-0.2002711520337619,-0.12966490293069613,0.08438818565400844,711
oos,xgboost,regression,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.04786294595549276,0.04786294595549276,0.0,0.34281737880916063,0.025860532647923096,0.21143582967916438,-0.37692955547938306,0.05030849549121975,4214
oos,xgboost,regression,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.062162162162162166,0.062162162162162166,0.0,0.6316279585555542,0.13604046584723717,1.1856232464156384,-0.10485575418763113,0.05139186295503212,1401
oos,xgboost,regression,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.06180555555555556,0.06180555555555556,0.0,-0.17880084144785502,-0.04873832354892638,-0.27697958008890655,-0.376929555479384,0.09589993050729674,1439
oos,xgboost,regression,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0007680491551459293,0.0007680491551459293,0.0,0.0021836634971503788,0.0011204137080205179,0.5731802326349832,-0.000499875020830709,0.0028129395218002813,711
oos,xgboost,regression,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5134228187919463,0.5134228187919463,0.0,11.728701709257574,0.24649926437133085,0.6459643959731096,-0.7676685737658298,0.26720455624110107,4214
oos,xgboost,regression,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.504054054054054,0.504054054054054,0.0,1.733914673777217,0.2995553928959007,0.7529977474648699,-0.5135684098822704,0.238401142041399,1401
oos,xgboost,regression,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5506944444444445,0.5506944444444445,0.0,4.74170492787553,0.5578637688691277,1.179816330559727,-0.7676685737658246,0.37109103544127864,1439
oos,xgboost,regression,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.4416282642089094,0.4416282642089094,0.0,-0.20267840264825854,-0.10976955195271099,-0.3500751588306814,-0.37537356027343427,0.360056258790436,711
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.23479081898641896,0.01843533060103364,0.1456600994100695,-0.36695805596759185,0.05173232083531087,4214
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.06486486486486487,0.06486486486486487,0.0,0.44390759063487195,0.1004352957238579,0.7953125769790723,-0.19034920622733928,0.05281941470378301,1401
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.06493055555555556,0.06493055555555556,0.0,-0.1466903183624675,-0.039438180751923735,-0.22264778877087976,-0.3669580559675924,0.09867963863794302,1439
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0007680491551459293,0.0007680491551459293,0.0,0.0021836634971503788,0.0011204137080205179,0.5731802326349832,-0.000499875020830709,0.0028129395218002813,711
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,3.5351410267494146,0.13991192206264147,0.7199083565376849,-0.41859730726796945,0.09492168960607499,4214
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.10945945945945947,0.10945945945945947,0.0,1.8349932770578539,0.3119055338612262,1.534571921026155,-0.20763950754574767,0.0913633119200571,1401
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.13020833333333334,0.13020833333333334,0.0,0.5925695481159023,0.12528344838848593,0.4897055506333398,-0.4185973072679698,0.1695621959694232,1439
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.02304147465437788,0.02304147465437788,0.0,0.004477830582131359,0.0022962466186620123,0.023071353750970577,-0.10624645269565433,0.03938115330520394,711
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,1.6717888635852698,0.08884963926605893,0.34841637173341095,-0.6200807038430854,0.1570953962980541,4214
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.19527027027027027,0.19527027027027027,0.0,1.040458950268063,0.20418396715942766,0.8177121636955289,-0.3474668533469835,0.1441827266238401,1401
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.24375,0.24375,0.0,0.5789530104250755,0.12283521573413037,0.36237763882590457,-0.6200807038430876,0.26268241834607364,1439
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.10906298003072197,0.10906298003072197,0.0,-0.17071259860922272,-0.09162261266379512,-0.5285690326279118,-0.2421539878610682,0.11533052039381153,711
oos,xgboost,regression,boruta_onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,1.503924530844102,0.08274701108025528,0.35963428693321514,-0.43654886164423656,0.10678690080683437,4214
oos,xgboost,regression,boruta_onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1358108108108108,0.06486486486486487,0.07094594594594594,1.4638140046771166,0.26480887428491373,0.8694213043320341,-0.2229605965324511,0.1270521056388294,1401
oos,xgboost,regression,boruta_onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.11736111111111111,0.06493055555555556,0.05243055555555556,0.03879441732179156,0.009700817342947365,0.03860802569585911,-0.43654886164423856,0.17095205003474634,1439
oos,xgboost,regression,boruta_onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.02227342549923195,0.0007680491551459293,0.021505376344086023,-0.021184460037294017,-0.01093193935242831,-0.19495309742761305,-0.06260687830847385,0.035161744022503515,711
oos,xgboost,regression,boruta_onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,8.369146031173216,0.21384940139113784,0.743109437452864,-0.5636695296468722,0.1931656383483626,4214
