prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,boruta_ta,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.4750971388202049,0.5249028611797951,-0.5719817162124221,-0.07086520321700085,-0.13447757890857137,-0.8882686387152138,0.2956810631229236,4214
oos,xgboost,regression,boruta_ta,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.5824324324324325,0.4175675675675676,2.0683318522491527,0.3392195617690361,0.600031507795708,-0.8123623408542543,0.18772305496074232,1401
oos,xgboost,regression,boruta_ta,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.47152777777777777,0.5284722222222222,-0.6974351678358013,-0.2615681046116577,-0.41762764702837657,-0.8073322195544049,0.4197359277275886,1439
oos,xgboost,regression,boruta_ta,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.36098310291858676,0.6390168970814132,-0.5389345121305532,-0.3279699635662191,-0.6969679577883662,-0.6234489403257392,0.5330520393811533,711
oos,xgboost,regression,boruta_ta,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.26722006358177325,0.26722006358177325,0.0,1.6630179619684249,0.08853956885212177,0.32732806718966184,-0.5211995359987024,0.10251542477456099,4214
oos,xgboost,regression,boruta_ta,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.4277027027027027,0.4277027027027027,0.0,1.1911424623673188,0.22674501023233185,0.6641234794429578,-0.48049381108688266,0.10563882940756603,1401
oos,xgboost,regression,boruta_ta,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.28402777777777777,0.28402777777777777,0.0,0.3124748718948016,0.07140480221579382,0.22786989672885277,-0.5211995359987035,0.17095205003474634,1439
oos,xgboost,regression,boruta_ta,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.047619047619047616,0.047619047619047616,0.0,-0.07399680903402939,-0.03869735876899549,-0.5323021867270396,-0.13069217613761733,0.053445850914205346,711
oos,xgboost,regression,boruta_ta,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.1292829388908513,0.1292829388908513,0.0,1.3428213607461985,0.0765280340168033,0.3789386033896958,-0.37937207350466584,0.06929283341243474,4214
oos,xgboost,regression,boruta_ta,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.24054054054054055,0.24054054054054055,0.0,1.2717962058887218,0.23835245193538235,0.869065613872625,-0.31654686875553645,0.0913633119200571,1401
oos,xgboost,regression,boruta_ta,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.12777777777777777,0.12777777777777777,0.0,0.025291084144491993,0.006355373068141823,0.029673258495258814,-0.3793720735046665,0.10701876302988186,1439
oos,xgboost,regression,boruta_ta,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.006144393241167435,0.006144393241167435,0.0,0.00582545965605008,0.002986339714693864,0.11957807897692217,-0.020771648701329085,0.014064697609001406,711
oos,xgboost,regression,boruta_ta,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.018368067820558106,0.018368067820558106,0.0,0.10108719982166647,0.008375839062587431,0.07660444651168444,-0.17831606357099394,0.012814428096820124,4214
