prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.527375485694101,0.47262451430589897,10.090804848735534,0.23171594728250167,0.44016972561795104,-0.8368867735415915,0.5253915519696251,4214
oos,xgboost,regression,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5358108108108108,0.46418918918918917,9.525157813427061,0.8463727223821154,1.5002225217326541,-0.4902929762784077,0.39900071377587437,1401
oos,xgboost,regression,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5003472222222223,0.4996527777777778,0.09443278784981524,0.0231522180414232,0.03696314127272909,-0.8368867735415911,0.7602501737317582,1439
oos,xgboost,regression,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.5775729646697388,0.42242703533026116,-0.07000070992713092,-0.03656994542036429,-0.07787023277709319,-0.5213806272846353,0.7862165963431786,711
oos,xgboost,regression,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.3166725538678912,0.3166725538678912,0.0,6.086417515266597,0.1848424287688184,0.6033303525781918,-0.6046452944203734,0.21309919316563836,4214
oos,xgboost,regression,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.4081081081081081,0.4081081081081081,0.0,1.7633517832322916,0.30318649176437806,0.8511999186045095,-0.28886261346111686,0.19129193433261957,1401
oos,xgboost,regression,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.30868055555555557,0.30868055555555557,0.0,1.5239606361313625,0.2647002054498995,0.7826440927474164,-0.6046452944203728,0.310632383599722,1439
oos,xgboost,regression,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.2304147465437788,0.2304147465437788,0.0,-0.0014585871246409754,-0.00074904835671874,-0.0027397155084954465,-0.35584324566546593,0.2559774964838256,711
oos,xgboost,regression,onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.1873896149770399,0.1873896149770399,0.0,2.8225634500650574,0.12315904593093996,0.5024767524595611,-0.37369812843278893,0.14712861888941622,4214
oos,xgboost,regression,onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3,0.3,0.0,0.45152337944277976,0.10194450530921562,0.35936458272324284,-0.37369812843278893,0.17130620985010706,1401
