prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.527375485694101,0.47262451430589897,10.090804848735534,0.23171594728250167,0.44016972561795104,-0.8368867735415915,0.5253915519696251,4214
oos,xgboost,regression,onchain,long_only_sign,2018-03-17,5.0,0.527375485694101,0.527375485694101,0.0,9.171280020416688,0.22251694639746722,0.5965447402174715,-0.7011335390071199,0.2629330802088277,4214
oos,xgboost,regression,onchain,long_only_band_0.0025,2018-03-17,5.0,0.3166725538678912,0.3166725538678912,0.0,6.086417515266597,0.1848424287688184,0.6033303525781918,-0.6046452944203734,0.21309919316563836,4214
oos,xgboost,regression,onchain,sign_band_0.0025,2018-03-17,5.0,0.5858353938537619,0.3166725538678912,0.2691628399858707,4.377317131895574,0.1568544056993093,0.35927044179517015,-0.8097718861977392,0.40389178927384906,4214
oos,xgboost,regression,onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,3.6507741148640163,0.14240052664313851,0.4777713481481592,-0.4472541215122559,0.17987660180351212,4214
oos,xgboost,regression,onchain,sign_band_0.005,2018-03-17,5.0,0.3472271282232427,0.1873896149770399,0.15983751324620277,3.2658304619475906,0.1338834524132979,0.3699175551542427,-0.6744974489095117,0.27195064072140485,4214
oos,xgboost,regression,onchain,long_only_band_0.005,2018-03-17,5.0,0.1873896149770399,0.1873896149770399,0.0,2.8225634500650574,0.12315904593093996,0.5024767524595611,-0.37369812843278893,0.14712861888941622,4214
oos,xgboost,regression,onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,2.5763473556848386,0.11670061571930712,0.45767467480890184,-0.32924854283824534,0.15567157095396297,4214
oos,xgboost,regression,onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,2.0879901971429766,0.10258933998075515,0.7441666491946539,-0.13216019335943488,0.052206929283341245,4214
oos,xgboost,regression,onchain,long_only_band_0.01,2018-03-17,5.0,0.05916637230660544,0.05916637230660544,0.0,1.8312699384246032,0.09433132057898774,0.618002037073708,-0.2199861627936285,0.061699098243948744,4214
oos,xgboost,regression,onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,1.777437067308997,0.09251323520381516,0.49195905498432135,-0.24000673861853605,0.09017560512577123,4214
oos,xgboost,regression,onchain,sign_band_0.01,2018-03-17,5.0,0.1139173436948075,0.05916637230660544,0.05475097138820205,1.7095835551122063,0.09017521749099688,0.42788834368355566,-0.5371701011065046,0.11912672045562411,4214
oos,xgboost,regression,onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,1.4251232740667983,0.07975225715579337,0.4041498814567628,-0.4243701374331287,0.10536307546274323,4214
oos,xgboost,regression,onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,1.2064421770811897,0.07095022969776377,0.18614758099298997,-0.6901373324488445,0.30612244897959184,4214
