prediction_scope,model,task,variant,strategy,period,period_start,period_end,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,univariate,full_exposure_sign,full_sample,1677-09-21,2026-04-02,5.0,1.0,0.5280819498410456,0.47191805015895444,-0.9360872931549133,-0.2119664784391011,-0.40301123508001835,-0.9567393533927526,0.1267204556241101,4214
oos,xgboost,regression,univariate,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,1.0,0.6648648648648648,0.33513513513513515,-0.10321487059628531,-0.027982701752904515,-0.04950483497156997,-0.741434297519619,0.07066381156316917,1401
oos,xgboost,regression,univariate,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,1.0,0.5829861111111111,0.4170138888888889,-0.7030225886155366,-0.2650510802412397,-0.42407177944021374,-0.850541676965588,0.23627519110493397,1439
oos,xgboost,regression,univariate,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,1.0,0.2511520737327189,0.7488479262672811,-0.7600081653981114,-0.5193634971730824,-1.1101839077030355,-0.8037482610422613,0.13361462728551335,711
oos,xgboost,regression,univariate,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,5.0,0.28117273048392794,0.28117273048392794,0.0,-0.1736289459920798,-0.016382980565790906,-0.060343881243054974,-0.5982814461268785,0.059800664451827246,4214
oos,xgboost,regression,univariate,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.44054054054054054,0.44054054054054054,0.0,0.23751879652619,0.05709094912568191,0.1774485918201513,-0.5568751928052597,0.05281941470378301,1401
oos,xgboost,regression,univariate,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.3263888888888889,0.3263888888888889,0.0,-0.3322355536517039,-0.09735707078170541,-0.2869179590633304,-0.5982814461268782,0.12369701181375956,1439
oos,xgboost,regression,univariate,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,xgboost,regression,univariate,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,5.0,0.19798657718120805,0.19798657718120805,0.0,-0.6620933284157873,-0.08969644024735535,-0.38102291825866397,-0.7058650242419019,0.03844328429046037,4214
oos,xgboost,regression,univariate,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.39054054054054055,0.39054054054054055,0.0,-0.1702384955385311,-0.04745600159711871,-0.17100337818566466,-0.5568751928052597,0.037116345467523196,1401
oos,xgboost,regression,univariate,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.18854166666666666,0.18854166666666666,0.0,-0.5927665121033531,-0.20377201643033183,-0.689650056079921,-0.639753930977465,0.07644197359277276,1439
oos,xgboost,regression,univariate,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,xgboost,regression,univariate,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,5.0,0.045920169551395267,0.045920169551395267,0.0,-0.5450881658520631,-0.06594809379796418,-0.639484772372592,-0.5649748000151495,0.02420503084954912,4214
oos,xgboost,regression,univariate,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.10540540540540541,0.10540540540540541,0.0,-0.2915492117131011,-0.08588369958668529,-0.7951879302453972,-0.3040563802057159,0.05281941470378301,1401
oos,xgboost,regression,univariate,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.03611111111111111,0.03611111111111111,0.0,-0.35787800413355975,-0.10627788429959195,-0.7556071762416117,-0.40401631944800726,0.019457956914523976,1439
oos,xgboost,regression,univariate,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,xgboost,regression,univariate,long_only_sign,full_sample,1677-09-21,2026-04-02,5.0,0.5280819498410456,0.5280819498410456,0.0,-0.22787487500560288,-0.02215064911519604,-0.056432793476937436,-0.7000976520692057,0.06359753203607024,4214
oos,xgboost,regression,univariate,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.6648648648648648,0.6648648648648648,0.0,-0.004314565276517968,-0.0011258635650372995,-0.0022628002879061335,-0.6716664292494331,0.03568879371877231,1401
oos,xgboost,regression,univariate,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.5829861111111111,0.5829861111111111,0.0,0.4846556143419145,0.10543340627365172,0.24539023734577306,-0.7000976520692056,0.11813759555246699,1439
oos,xgboost,regression,univariate,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.2511520737327189,0.2511520737327189,0.0,-0.47767621156344364,-0.28352479399729313,-1.2455288273064549,-0.5231346532853047,0.06751054852320675,711
oos,xgboost,regression,univariate,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,5.0,0.05969622041681385,0.05969622041681385,0.0,-0.651644911406013,-0.08729217865051431,-0.721101395188868,-0.6668733791786612,0.030849549121974372,4214
oos,xgboost,regression,univariate,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.10608108108108108,0.10608108108108108,0.0,-0.2915492117131011,-0.08588369958668529,-0.7951879302453972,-0.3040563802057159,0.05281941470378301,1401
oos,xgboost,regression,univariate,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.06284722222222222,0.06284722222222222,0.0,-0.5082861161939805,-0.16477521818710317,-0.9279196363351057,-0.54361717534096,0.03891591382904795,1439
oos,xgboost,regression,univariate,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,xgboost,regression,univariate,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,5.0,0.10314376545390322,0.10314376545390322,0.0,-0.7505329587423499,-0.11331029088799027,-0.7138911595309593,-0.7753213981355641,0.04129093497864262,4214
oos,xgboost,regression,univariate,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.20135135135135135,0.20135135135135135,0.0,-0.4303324790654789,-0.13636049444851228,-0.8231226094945554,-0.44038953283251187,0.06281227694503926,1401
oos,xgboost,regression,univariate,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.09930555555555555,0.09930555555555555,0.0,-0.5620830886612465,-0.18896500342672984,-0.8713681061513645,-0.5985089360432014,0.059763724808895066,1439
oos,xgboost,regression,univariate,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
oos,xgboost,regression,univariate,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,5.0,0.2027552101730837,0.2027552101730837,0.0,-0.6552008543271453,-0.08810294524481843,-0.3712046150081161,-0.6898614365198521,0.041765543426673,4214
oos,xgboost,regression,univariate,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,5.0,0.40878378378378377,0.40878378378378377,0.0,-0.15331337937423595,-0.042431778622613825,-0.15024047776419522,-0.5568751928052597,0.047109207708779445,1401
oos,xgboost,regression,univariate,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,5.0,0.18854166666666666,0.18854166666666666,0.0,-0.5927665121033531,-0.20377201643033183,-0.689650056079921,-0.639753930977465,0.07644197359277276,1439
oos,xgboost,regression,univariate,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711
