prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,univariate,long_only_band_0.0025,5.0,0.28117273048392794,0.28117273048392794,0.0,-0.1736289459920798,-0.016382980565790906,-0.060343881243054974,-0.5982814461268785,0.059800664451827246,4214
oos,xgboost,regression,univariate,long_only_sign,5.0,0.5280819498410456,0.5280819498410456,0.0,-0.22787487500560288,-0.02215064911519604,-0.056432793476937436,-0.7000976520692057,0.06359753203607024,4214
oos,xgboost,regression,univariate,long_only_band_0.01,5.0,0.045920169551395267,0.045920169551395267,0.0,-0.5450881658520631,-0.06594809379796418,-0.639484772372592,-0.5649748000151495,0.02420503084954912,4214
oos,xgboost,regression,univariate,sign_band_0.01,5.0,0.11056163899682091,0.045920169551395267,0.06464146944542565,-0.5965025782771811,-0.0756009570935553,-0.3568570166670762,-0.6141416129410735,0.04413858566682487,4214
oos,xgboost,regression,univariate,quantile_long_only_0.05,5.0,0.05969622041681385,0.05969622041681385,0.0,-0.651644911406013,-0.08729217865051431,-0.721101395188868,-0.6668733791786612,0.030849549121974372,4214
oos,xgboost,regression,univariate,quantile_long_only_0.20,5.0,0.2027552101730837,0.2027552101730837,0.0,-0.6552008543271453,-0.08810294524481843,-0.3712046150081161,-0.6898614365198521,0.041765543426673,4214
oos,xgboost,regression,univariate,long_only_band_0.005,5.0,0.19798657718120805,0.19798657718120805,0.0,-0.6620933284157873,-0.08969644024735535,-0.38102291825866397,-0.7058650242419019,0.03844328429046037,4214
oos,xgboost,regression,univariate,quantile_ls_0.05,5.0,0.12433768986223949,0.05969622041681385,0.06464146944542565,-0.6910162155817037,-0.09672446369784837,-0.43740782403140105,-0.7045235526562859,0.05078310393925012,4214
oos,xgboost,regression,univariate,quantile_long_only_0.10,5.0,0.10314376545390322,0.10314376545390322,0.0,-0.7505329587423499,-0.11331029088799027,-0.7138911595309593,-0.7753213981355641,0.04129093497864262,4214
oos,xgboost,regression,univariate,sign_band_0.0025,5.0,0.4540798304486047,0.28117273048392794,0.1729070999646768,-0.7832475712136064,-0.1240409019905615,-0.3356717561997587,-0.87471430330425,0.083531086853346,4214
oos,xgboost,regression,univariate,sign_band_0.005,5.0,0.30007064641469444,0.19798657718120805,0.1020840692334864,-0.9013498522416558,-0.18177503189964406,-0.5580350304302253,-0.9141287779747138,0.04935927859515899,4214
oos,xgboost,regression,univariate,quantile_ls_0.20,5.0,0.42193571176262806,0.2027552101730837,0.21918050158954433,-0.9061733798568358,-0.18532019239982778,-0.5237402865997077,-0.9176615164801699,0.09349786426198387,4214
oos,xgboost,regression,univariate,quantile_ls_0.10,5.0,0.20452137054044509,0.10314376545390322,0.10137760508654185,-0.9201822243648016,-0.1966510786627843,-0.7179357134190575,-0.9281133646222867,0.053156146179401995,4214
oos,xgboost,regression,univariate,full_exposure_sign,5.0,1.0,0.5280819498410456,0.47191805015895444,-0.9360872931549133,-0.2119664784391011,-0.40301123508001835,-0.9567393533927526,0.1267204556241101,4214
