model,task,variant,best_strategy,period,period_start,period_end,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
cnn_lstm,classification,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,11.741580221551107,0.2466084514778819,0.5128278560163214,-0.7223003095196141,0.0493592785951589
cnn_lstm,classification,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,0.1217002555474335,0.030372638589611,0.0634346656305706,-0.6716664292494331,0.0549607423269093
cnn_lstm,classification,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,8.991766094569174,0.7929064369158476,1.350086778472742,-0.7223003095196132,0.0903405142460041
cnn_lstm,classification,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,0.1367975932151548,0.068035236186543,0.1450239272937162,-0.4973881729854681,0.0014064697609001
cnn_lstm,classification,onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2.627405625684289,0.1180725910115492,0.67726423985383,-0.2682670770544467,0.0854295206454675
cnn_lstm,classification,onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2.0072264600332272,0.3322194176631421,1.1854111748294212,-0.2682670770544467,0.2062812276945039
cnn_lstm,classification,onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,0.1984251731572162,0.0469827641645788,0.4295452020775869,-0.1405535798900862,0.0416956219596942
cnn_lstm,classification,onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,0.0251187857173262,0.0128171696937504,0.4483828119917524,-0.0139840807626043,0.0140646976090014
cnn_lstm,regression,boruta_onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,12.763877365628984,0.2549696418576339,0.5876193124512383,-0.6404786223792911,0.3179876601803512
cnn_lstm,regression,boruta_onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,0.6050651048480871,0.1311927937599117,0.2584049374909919,-0.6404786223792911,0.3147751605995717
cnn_lstm,regression,boruta_onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,7.034029927434879,0.6964258850020881,1.3934267115007393,-0.5041285808741525,0.4551772063933287
cnn_lstm,regression,boruta_onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,0.0490443857218134,0.0248841302111981,0.0779059371077557,-0.2744906470940024,0.3417721518987341
cnn_lstm,regression,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2.6699800276208427,0.1192031780447642,0.2869201182632747,-0.6584229577994333,0.1841480778357855
cnn_lstm,regression,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,0.0577661162399616,0.0147386251504164,0.0340800030939591,-0.6584229577994333,0.1463240542469664
cnn_lstm,regression,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,3.0652156494221217,0.4272270151230615,0.8508856746367662,-0.583855726544664,0.2612925642807505
cnn_lstm,regression,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,-0.1303134869728044,-0.0691682999776982,-0.1821908871294466,-0.489281738475545,0.2714486638537271
gru,classification,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,14.884653713296904,0.2706441434693192,0.6631636863334369,-0.6072212471600761,0.1452301850972947
gru,classification,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,0.5764960723894095,0.1259123229137688,0.2855944994179924,-0.6072212471600761,0.0935046395431834
gru,classification,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,6.954225606827411,0.6921356986986815,1.5016108695415356,-0.5108608402269882,0.2279360667129951
gru,classification,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,0.2673104939502213,0.1293178257076843,0.3102890109798455,-0.501900743489654,0.2137834036568213
gru,classification,onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,3.797344686715994,0.1454749717163188,0.5706640548440386,-0.4449534743770066,0.0450878025628856
gru,classification,onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,3.077110427339889,0.4421619333463122,1.2904311135323585,-0.187740555698953,0.0585296216987865
gru,classification,onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,0.1766531155365367,0.0421251181237585,0.1529315623518206,-0.4449534743770071,0.0750521195274496
gru,classification,onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,0.0,0.0,0.0,0.0,0.0
gru,regression,boruta_onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,10.409541073740892,0.2347424648180693,0.5345379851271045,-0.5916914186572166,0.3331751305173232
